scenario_id,marker,result,detail
"S01","COMPONENT_FIXTURE_PASS","PASS","verified"
"S02","REAL_CURRENT_ITEM_STATE_ASSEMBLY_PASS","PASS","verified"
"S03","ITEM_COMBAT_EFFECT_REQUEST_CONTRACT_PASS","PASS","verified"
"S04","DIRECT_DAMAGE_REQUESTS_29_42_53_46_55_76_PASS","PASS","verified"
"S05","LIHUO_BUILD2_800BP_PASS","PASS","verified"
"S06","I008_ADJACENCY_THREE_PASS","PASS","verified"
"S07","I011_TRADEOFF_DAMAGE_BRANCH_PASS","PASS","verified"
"S08","UNSUPPORTED_UNKNOWN_NOT_ZERO_PASS","PASS","verified"
"S09","STALE_MISMATCH_FAIL_CLOSED_PASS","PASS","verified"
"S10","I031_EXCLUSION_PASS","PASS","verified"
"S11","UPSTREAM_CANONICAL_IMMUTABLE_PASS","PASS","verified"
"S12","PROTECTED_HASHES_PASS","PASS","verified"
"S13","LEAKCHECK_PASS","PASS","verified"
"S14","PACKAGE_SCOPED_GIT_DIFF_CHECK_PASS","PASS","verified"
