supersededId,decisionId,statementId,artSourceId,sourceTextExact,supersededMeaning,userSelectedMeaning,selectedForRuntime,candidateEligible,historicalEvidenceRetained,replacementRequiresLaterDesign,notesDeveloperOnly
BA-SUP-001,BA-D1,BA-ART-01-S051,BA-ART-01,替主承伤,该词若解释为主人实体间承伤转移，与 BA-D1 明确 false 冲突。,"Blind woman is narrative/presentation-only; all actor, target, HP, damage-receiver, damage-transfer and second-truth-source fields are false.",false,false,true,true,历史美术证据保留，但语义已被用户决定否决。
BA-SUP-002,BA-D2,BA-ART-01-S055,BA-ART-01,竞价护盾,用户选择 FALSE_CLONE，竞价护盾辅助路线被否决。,FALSE_CLONE; Scholar -> General -> Merchant remains sequential and single-active; simultaneous three-form combat and seizure stage are false.,false,false,true,true,历史美术证据保留，但语义已被用户决定否决。
BA-SUP-003,BA-D1,BA-ART-02-S002,BA-ART-02,替骨承伤,题名把保护关系具体化为替主承伤运行时语义。,"Blind woman is narrative/presentation-only; all actor, target, HP, damage-receiver, damage-transfer and second-truth-source fields are false.",false,false,true,true,历史美术证据保留，但语义已被用户决定否决。
BA-SUP-004,BA-D1,BA-ART-02-S003,BA-ART-02,第二阶段：替骨承伤,该阶段以跨目标承伤为核心，已被 BA-D1 否决。,"Blind woman is narrative/presentation-only; all actor, target, HP, damage-receiver, damage-transfer and second-truth-source fields are false.",false,false,true,true,历史美术证据保留，但语义已被用户决定否决。
BA-SUP-005,BA-D1,BA-ART-02-S004,BA-ART-02,为主承受伤害，替主分担一切侵袭。,女人实体不存在可转移伤害。,"Blind woman is narrative/presentation-only; all actor, target, HP, damage-receiver, damage-transfer and second-truth-source fields are false.",false,false,true,true,历史美术证据保留，但语义已被用户决定否决。
BA-SUP-006,BA-D1,BA-ART-02-S008,BA-ART-02,守门骨相第二阶段形态。,这张第二阶段以替主承伤为成立条件，整体阶段不进入候选。,"Blind woman is narrative/presentation-only; all actor, target, HP, damage-receiver, damage-transfer and second-truth-source fields are false.",false,false,true,true,历史美术证据保留，但语义已被用户决定否决。
BA-SUP-007,BA-D1,BA-ART-02-S009,BA-ART-02,以环门之势，护主承伤,用户仅保留叙事保护关系。,"Blind woman is narrative/presentation-only; all actor, target, HP, damage-receiver, damage-transfer and second-truth-source fields are false.",false,false,true,true,历史美术证据保留，但语义已被用户决定否决。
BA-SUP-008,BA-D1,BA-ART-02-S015,BA-ART-02,能拦截并转移绝大部分伤害,伤害转移被明确否决。,"Blind woman is narrative/presentation-only; all actor, target, HP, damage-receiver, damage-transfer and second-truth-source fields are false.",false,false,true,true,历史美术证据保留，但语义已被用户决定否决。
BA-SUP-009,BA-D1,BA-ART-02-S018,BA-ART-02,直至战斗终结,不得以女人为 Owner 建立贯穿战斗的保护状态。,"Blind woman is narrative/presentation-only; all actor, target, HP, damage-receiver, damage-transfer and second-truth-source fields are false.",false,false,true,true,历史美术证据保留，但语义已被用户决定否决。
BA-SUP-010,BA-D1,BA-ART-02-S024,BA-ART-02,护板转移,技能题名的“转移”依赖跨目标承伤。,"Blind woman is narrative/presentation-only; all actor, target, HP, damage-receiver, damage-transfer and second-truth-source fields are false.",false,false,true,true,历史美术证据保留，但语义已被用户决定否决。
