englishStableKey,chineseDisplayName,category,reuseChannel,reuseSurface,playerChineseText,atmosphereChinese,sourceDataPath,developerDataPanelFieldKey,playerVisible,maskedFromPlayer,developerPanelVisible,canWriteFormalUi,createsDedicatedPanel,exposesFullAnswerToPlayer
mapMechanic.dev_map_black_furnace_smoke,地图机制线索,mapMechanic,BattleHint,PlacementFeedback / BattleHint lane,【黑炉烟尘】压上阵面时，场上会偏向破盾、清场。先看棋盘气息和供能变化，再决定是否换位。,灯火、地气和阵眼变化只做氛围提示，不显示解法清单。,BuildProblemSeedDataset.mapRules,hardSolutionTags,True,False,True,False,False,False
mapMechanic.dev_map_bluestone_damp,地图机制线索,mapMechanic,BattleHint,PlacementFeedback / BattleHint lane,【青石回潮】压上阵面时，场上会偏向净厄、供能。先看棋盘气息和供能变化，再决定是否换位。,灯火、地气和阵眼变化只做氛围提示，不显示解法清单。,BuildProblemSeedDataset.mapRules,hardSolutionTags,True,False,True,False,False,False
mapMechanic.dev_map_lamp_shortage,地图机制线索,mapMechanic,BattleHint,PlacementFeedback / BattleHint lane,【灯火不足】压上阵面时，场上会偏向短窗爆发、镇魂、清场。先看棋盘气息和供能变化，再决定是否换位。,灯火、地气和阵眼变化只做氛围提示，不显示解法清单。,BuildProblemSeedDataset.mapRules,hardSolutionTags,True,False,True,False,False,False
mapMechanic.dev_map_copper_bell_night,地图机制线索,mapMechanic,BattleHint,PlacementFeedback / BattleHint lane,【铜铃夜响】压上阵面时，场上会偏向镇魂、护阵。先看棋盘气息和供能变化，再决定是否换位。,灯火、地气和阵眼变化只做氛围提示，不显示解法清单。,BuildProblemSeedDataset.mapRules,hardSolutionTags,True,False,True,False,False,False
mapMechanic.dev_map_formation_eye_shift,地图机制线索,mapMechanic,BattleHint,PlacementFeedback / BattleHint lane,【阵眼偏移】压上阵面时，场上会偏向摆放形态、供能、护阵。先看棋盘气息和供能变化，再决定是否换位。,灯火、地气和阵眼变化只做氛围提示，不显示解法清单。,BuildProblemSeedDataset.mapRules,hardSolutionTags,True,False,True,False,False,False
mapMechanic.dev_map_talisman_paper_damp,地图机制线索,mapMechanic,BattleHint,PlacementFeedback / BattleHint lane,【符纸受潮】压上阵面时，场上会偏向净厄、供能、短窗爆发。先看棋盘气息和供能变化，再决定是否换位。,灯火、地气和阵眼变化只做氛围提示，不显示解法清单。,BuildProblemSeedDataset.mapRules,hardSolutionTags,True,False,True,False,False,False
mapMechanic.dev_map_old_lane_echo,地图机制线索,mapMechanic,BattleHint,PlacementFeedback / BattleHint lane,【旧巷回音】压上阵面时，场上会偏向清场、短窗爆发、连锁清场。先看棋盘气息和供能变化，再决定是否换位。,灯火、地气和阵眼变化只做氛围提示，不显示解法清单。,BuildProblemSeedDataset.mapRules,hardSolutionTags,True,False,True,False,False,False
mapMechanic.dev_map_furnace_ash_fall,地图机制线索,mapMechanic,BattleHint,PlacementFeedback / BattleHint lane,【炉灰落阵】压上阵面时，场上会偏向净厄、护阵。先看棋盘气息和供能变化，再决定是否换位。,灯火、地气和阵眼变化只做氛围提示，不显示解法清单。,BuildProblemSeedDataset.mapRules,hardSolutionTags,True,False,True,False,False,False
mapMechanic.dev_map_night_watch_lamp_out,地图机制线索,mapMechanic,BattleHint,PlacementFeedback / BattleHint lane,【夜巡灯灭】压上阵面时，场上会偏向短窗爆发、镇魂、破盾。先看棋盘气息和供能变化，再决定是否换位。,灯火、地气和阵眼变化只做氛围提示，不显示解法清单。,BuildProblemSeedDataset.mapRules,hardSolutionTags,True,False,True,False,False,False
mapMechanic.dev_map_bluestone_crack,地图机制线索,mapMechanic,BattleHint,PlacementFeedback / BattleHint lane,【青石裂纹】压上阵面时，场上会偏向摆放形态、供能、短窗爆发。先看棋盘气息和供能变化，再决定是否换位。,灯火、地气和阵眼变化只做氛围提示，不显示解法清单。,BuildProblemSeedDataset.mapRules,hardSolutionTags,True,False,True,False,False,False
enemyMechanic.dev_enemy_shield_problem,敌人机制线索,enemyMechanic,CombatLog,CombatLog / Tooltip language,【护盾】会制造护盾压力。补惊雷破盾、破甲词条或短窗爆发。,敌人压力通过战斗日志和状态提示露出，不展示硬解标签。,BuildProblemSeedDataset.enemyProblems,hardSolutionTags,True,False,True,False,False,False
enemyMechanic.dev_enemy_swarm_problem,敌人机制线索,enemyMechanic,CombatLog,CombatLog / Tooltip language,【群怪】会制造群怪压力。补离火清场、连锁或短冷却词条。,敌人压力通过战斗日志和状态提示露出，不展示硬解标签。,BuildProblemSeedDataset.enemyProblems,hardSolutionTags,True,False,True,False,False,False
enemyMechanic.dev_enemy_poison_burn_problem,敌人机制线索,enemyMechanic,CombatLog,CombatLog / Tooltip language,【毒 / 燃】会制造污染压力。补净厄、清污词条或护阵承伤。,敌人压力通过战斗日志和状态提示露出，不展示硬解标签。,BuildProblemSeedDataset.enemyProblems,hardSolutionTags,True,False,True,False,False,False
enemyMechanic.dev_enemy_spirit_thief_problem,敌人机制线索,enemyMechanic,CombatLog,CombatLog / Tooltip language,【偷灵】会制造供能压力。补聚能、镇魂或缩短关键道具供能链。,敌人压力通过战斗日志和状态提示露出，不展示硬解标签。,BuildProblemSeedDataset.enemyProblems,hardSolutionTags,True,False,True,False,False,False
enemyMechanic.dev_enemy_seal_problem,敌人机制线索,enemyMechanic,CombatLog,CombatLog / Tooltip language,【封符】会制造封锁压力。补镇魂打断或净厄解封。,敌人压力通过战斗日志和状态提示露出，不展示硬解标签。,BuildProblemSeedDataset.enemyProblems,hardSolutionTags,True,False,True,False,False,False
enemyMechanic.dev_enemy_burst_problem,敌人机制线索,enemyMechanic,CombatLog,CombatLog / Tooltip language,【高爆发】会制造爆发压力。补护阵、减伤词条或先手镇魂。,敌人压力通过战斗日志和状态提示露出，不展示硬解标签。,BuildProblemSeedDataset.enemyProblems,hardSolutionTags,True,False,True,False,False,False
enemyMechanic.dev_enemy_caster_problem,敌人机制线索,enemyMechanic,CombatLog,CombatLog / Tooltip language,【施法】会制造施法压力。补镇魂、控制词条或在施法前压低血线。,敌人压力通过战斗日志和状态提示露出，不展示硬解标签。,BuildProblemSeedDataset.enemyProblems,hardSolutionTags,True,False,True,False,False,False
enemyMechanic.dev_enemy_thick_blood_problem,敌人机制线索,enemyMechanic,CombatLog,CombatLog / Tooltip language,【厚血】会制造长线压力。补破防、持续离火或供能稳定。,敌人压力通过战斗日志和状态提示露出，不展示硬解标签。,BuildProblemSeedDataset.enemyProblems,hardSolutionTags,True,False,True,False,False,False
enemyMechanic.dev_enemy_polluted_tile_problem,敌人机制线索,enemyMechanic,CombatLog,CombatLog / Tooltip language,【污染格】会制造格位压力。补净化次数，或调整摆放避开污染位。,敌人压力通过战斗日志和状态提示露出，不展示硬解标签。,BuildProblemSeedDataset.enemyProblems,hardSolutionTags,True,False,True,False,False,False
enemyMechanic.dev_enemy_formation_eye_problem,敌人机制线索,enemyMechanic,CombatLog,CombatLog / Tooltip language,【阵眼干扰】会制造阵眼压力。补供能链、护阵或调整核心符箓形态。,敌人压力通过战斗日志和状态提示露出，不展示硬解标签。,BuildProblemSeedDataset.enemyProblems,hardSolutionTags,True,False,True,False,False,False
bossSkill.dev_boss_black_furnace_shell,首领技能线索,bossSkill,BossInfo,BossInfoPanel language,【黑炉护壳师】会分段试探破盾、短窗爆发。首领信息只显示阶段线索和威胁感，不列出完整钥匙。,首领提示保持 首领 的技能、威胁、应对语气，但答案留在数据面板。,BuildProblemSeedDataset.bossProblems,bossSixKeyFullAnswer,True,False,True,False,False,False
bossSkill.dev_boss_dirty_dream_mother,首领技能线索,bossSkill,BossInfo,BossInfoPanel language,【秽签梦母】会分段试探净厄、镇魂。首领信息只显示阶段线索和威胁感，不列出完整钥匙。,首领提示保持 首领 的技能、威胁、应对语气，但答案留在数据面板。,BuildProblemSeedDataset.bossProblems,bossSixKeyFullAnswer,True,False,True,False,False,False
bossSkill.dev_boss_spirit_thief_core,首领技能线索,bossSkill,BossInfo,BossInfoPanel language,【偷灵炉心】会分段试探供能、镇魂、短窗爆发。首领信息只显示阶段线索和威胁感，不列出完整钥匙。,首领提示保持 首领 的技能、威胁、应对语气，但答案留在数据面板。,BuildProblemSeedDataset.bossProblems,bossSixKeyFullAnswer,True,False,True,False,False,False
bossSkill.dev_boss_bronze_formation_general,首领技能线索,bossSkill,BossInfo,BossInfoPanel language,【叩阵铜将】会分段试探护阵、摆放形态、供能。首领信息只显示阶段线索和威胁感，不列出完整钥匙。,首领提示保持 首领 的技能、威胁、应对语气，但答案留在数据面板。,BuildProblemSeedDataset.bossProblems,bossSixKeyFullAnswer,True,False,True,False,False,False
bossSkill.dev_boss_paper_faces,首领技能线索,bossSkill,BossInfo,BossInfoPanel language,【纸人千面阵】会分段试探清场、短窗爆发、镇魂。首领信息只显示阶段线索和威胁感，不列出完整钥匙。,首领提示保持 首领 的技能、威胁、应对语气，但答案留在数据面板。,BuildProblemSeedDataset.bossProblems,bossSixKeyFullAnswer,True,False,True,False,False,False
bossSkill.dev_boss_black_furnace_complex_eye,首领技能线索,bossSkill,BossInfo,BossInfoPanel language,【黑炉复合阵眼】会分段试探破盾、净厄、镇魂。首领信息只显示阶段线索和威胁感，不列出完整钥匙。,首领提示保持 首领 的技能、威胁、应对语气，但答案留在数据面板。,BuildProblemSeedDataset.bossProblems,bossSixKeyFullAnswer,True,False,True,False,False,False
failureFeedback.hint_enemy_shield_break,失败反馈,failureFeedback,BattleHint,BattleHint / failed placement feedback lane,【破盾不足】补惊雷破盾、破甲词条或短窗爆发。,失败反馈只告诉玩家缺口方向和下一步感受，不显示配置答案。,BuildProblemSeedDataset.failureHints,requiredStats,True,False,True,False,False,False
failureFeedback.hint_enemy_swarm_clear,失败反馈,failureFeedback,BattleHint,BattleHint / failed placement feedback lane,【清场不足】补离火清场、连锁或短冷却词条。,失败反馈只告诉玩家缺口方向和下一步感受，不显示配置答案。,BuildProblemSeedDataset.failureHints,requiredStats,True,False,True,False,False,False
failureFeedback.hint_enemy_dot_cleanse,失败反馈,failureFeedback,BattleHint,BattleHint / failed placement feedback lane,【净化不足】补净厄、清污词条或护阵承伤。,失败反馈只告诉玩家缺口方向和下一步感受，不显示配置答案。,BuildProblemSeedDataset.failureHints,requiredStats,True,False,True,False,False,False
failureFeedback.hint_enemy_energy_stability,失败反馈,failureFeedback,BattleHint,BattleHint / failed placement feedback lane,【供能不稳】补聚能、镇魂或缩短关键道具供能链。,失败反馈只告诉玩家缺口方向和下一步感受，不显示配置答案。,BuildProblemSeedDataset.failureHints,requiredStats,True,False,True,False,False,False
failureFeedback.hint_enemy_seal_unlock,失败反馈,failureFeedback,BattleHint,BattleHint / failed placement feedback lane,【封符未解】补镇魂打断或净厄解封。,失败反馈只告诉玩家缺口方向和下一步感受，不显示配置答案。,BuildProblemSeedDataset.failureHints,requiredStats,True,False,True,False,False,False
failureFeedback.hint_enemy_burst_guard,失败反馈,failureFeedback,BattleHint,BattleHint / failed placement feedback lane,【承伤不足】补护阵、减伤词条或先手镇魂。,失败反馈只告诉玩家缺口方向和下一步感受，不显示配置答案。,BuildProblemSeedDataset.failureHints,requiredStats,True,False,True,False,False,False
failureFeedback.hint_enemy_caster_interrupt,失败反馈,failureFeedback,BattleHint,BattleHint / failed placement feedback lane,【打断不足】补镇魂、控制词条或在施法前压低血线。,失败反馈只告诉玩家缺口方向和下一步感受，不显示配置答案。,BuildProblemSeedDataset.failureHints,requiredStats,True,False,True,False,False,False
failureFeedback.hint_enemy_thick_blood,失败反馈,failureFeedback,BattleHint,BattleHint / failed placement feedback lane,【长线输出不足】补破防、持续离火或供能稳定。,失败反馈只告诉玩家缺口方向和下一步感受，不显示配置答案。,BuildProblemSeedDataset.failureHints,requiredStats,True,False,True,False,False,False
failureFeedback.hint_enemy_polluted_tile,失败反馈,failureFeedback,BattleHint,BattleHint / failed placement feedback lane,【污染格未清】补净化次数，或调整摆放避开污染位。,失败反馈只告诉玩家缺口方向和下一步感受，不显示配置答案。,BuildProblemSeedDataset.failureHints,requiredStats,True,False,True,False,False,False
failureFeedback.hint_enemy_formation_eye,失败反馈,failureFeedback,BattleHint,BattleHint / failed placement feedback lane,【阵眼失稳】补供能链、护阵或调整核心符箓形态。,失败反馈只告诉玩家缺口方向和下一步感受，不显示配置答案。,BuildProblemSeedDataset.failureHints,requiredStats,True,False,True,False,False,False
