capabilityKey,currentC01Status,e10RequirementReferenceCount,c02BlockedRowCount,candidateSourceContract,candidateStableKeyOrMember,sourceUnit,requiredConditions,aggregationQuestion,classification,confidence,recommendedNextAction,evidenceFile,evidenceLineOrSymbol
"capability.break_power","SUPPORTED","2","16","ItemInstanceProjectionContractSnapshot.v1+ItemAffixPoolAndRangeSchemaSnapshot.v1","Affixes.affixId=affix_break_up","basisPoint","complete projection set and affix schema","C01 already defines deterministic saturating sum 0..10000","ALREADY_SUPPORTED","HIGH","NONE_C01_READ_ONLY","Assets/_Game/Scripts/TalismanBag/CrossSystem/ItemEnemy/ItemBuildCapabilityProjectionAdapter.cs","DefaultItemBuildCapabilityProjectionAdapter.Rules / affix_break_up"
"capability.burst_window","UNKNOWN_NOT_MAPPED","5","24","ItemBalanceWorkbenchCatalog candidate payload","affix_first_trigger_bonus:effect","basisPoint","on_first_trigger + first_trigger_in_battle","Confirm semantic eligibility and whether conditional extra-trigger BP is aggregated as burst capability","MAPPABLE_REQUIRES_RULE_CONFIRMATION","MEDIUM","DECISION_IMCGS01_BURST_KEEP_UNKNOWN","Assets/_Game/Scripts/TalismanBag/Items/Balance/ItemCompleteCandidateContent.cs","ItemCompleteCandidateContentSeed.BuildRandomAffixDictionary / affix_first_trigger_bonus"
"capability.caster_interrupt","OUT_OF_SCOPE","0","0","ItemBalanceWorkbenchCatalog candidate payload + runtime combat signal contract","SignatureSeeds targetStatId=castProgress","turn + runtime event","on_hit + target_casting + active cast outcome","Conditional cast-progress facts require live target/cast state and cannot be derived from a static Item projection","REQUIRES_RUNTIME_SIGNAL","HIGH","KEEP_OUT_OF_C02B_STATIC_MAPPING_RUNTIME_CONTRACT_REQUIRED","Assets/_Game/Scripts/TalismanBag/CrossSystem/ItemEnemy/ItemBuildCapabilityProjectionAdapter.cs","DefaultItemBuildCapabilityProjectionAdapter.OutOfScopeCapabilityKeys"
"capability.chain_reaction","UNKNOWN_NOT_MAPPED","0","0","ItemBalanceWorkbenchCatalog candidate payload","affix_chain_target:effect","count","on_consecutive_trigger + chain_count_3","No E10 aggregation decision is currently required","NOT_REQUIRED_BY_E10","HIGH","DEFER_E10_SCOPE_KEEP_C01_STATUS","Docs/V0.4/Reports/ItemEnemyMatchupCapabilityCoverage.csv","capability.chain_reaction coverage row"
"capability.cleanse_power","UNKNOWN_NOT_MAPPED","8","32","ItemBalanceWorkbenchCatalog candidate payload","affix_cleanse_up:effect","stack","on_cleanse + cleanse_success","Confirm stack-to-capability conversion and aggregation across eligible active items","MAPPABLE_REQUIRES_RULE_CONFIRMATION","MEDIUM","DECISION_IMCGS01_CLEANSE_KEEP_UNKNOWN","Assets/_Game/Scripts/TalismanBag/Items/Balance/ItemCompleteCandidateContent.cs","ItemCompleteCandidateContentSeed.BuildRandomAffixDictionary / affix_cleanse_up"
"capability.clear_power","UNKNOWN_NOT_MAPPED","2","16","ItemBalanceWorkbenchCatalog candidate payload","affix_chain_target:effect","count","on_consecutive_trigger + chain_count_3","Confirm whether conditional extra targets qualify as clear power and how count converts to BP","MAPPABLE_REQUIRES_RULE_CONFIRMATION","MEDIUM","DECISION_IMCGS01_CLEAR_KEEP_UNKNOWN","Assets/_Game/Scripts/TalismanBag/Items/Balance/ItemCompleteCandidateContent.cs","ItemCompleteCandidateContentSeed.BuildRandomAffixDictionary / affix_chain_target"
"capability.control_power","UNKNOWN_NOT_MAPPED","10","32","ItemBalanceWorkbenchCatalog candidate payload","affix_control_up:effect","point","always","Confirm point-to-capability conversion and aggregation across eligible active items","MAPPABLE_REQUIRES_RULE_CONFIRMATION","MEDIUM","DECISION_IMCGS01_CONTROL_KEEP_UNKNOWN","Assets/_Game/Scripts/TalismanBag/Items/Balance/ItemCompleteCandidateContent.cs","ItemCompleteCandidateContentSeed.BuildRandomAffixDictionary / affix_control_up"
"capability.cooldown_recovery","SUPPORTED","0","0","ItemInstanceProjectionContractSnapshot.v1+ItemAffixPoolAndRangeSchemaSnapshot.v1","Affixes.affixId=affix_cooldown_reduction","basisPoint","complete projection set and affix schema","C01 already defines deterministic saturating sum 0..10000","ALREADY_SUPPORTED","HIGH","NONE_C01_READ_ONLY","Assets/_Game/Scripts/TalismanBag/CrossSystem/ItemEnemy/ItemBuildCapabilityProjectionAdapter.cs","DefaultItemBuildCapabilityProjectionAdapter.Rules / affix_cooldown_reduction"
"capability.debuff_counter","UNKNOWN_NOT_MAPPED","1","8","ItemInstanceProjectionContractSnapshot.v1 + candidate catalog survey","NONE_CONFIRMED","NONE","self-side debuff reduction immunity or counter fact","No dedicated stable Item fact exists; target_has_debuff is an offensive target condition","NO_STABLE_ITEM_SOURCE","HIGH","REQUEST_STABLE_ITEM_CONTRACT_SOURCE_OR_KEEP_UNKNOWN","Assets/_Game/Scripts/TalismanBag/Items/Balance/ItemCompleteCandidateContent.cs","affix_debuff_target_power uses target_has_debuff and basicEffect"
"capability.energy_stability","UNKNOWN_NOT_MAPPED","11","32","ItemBalanceWorkbenchCatalog candidate payload + affix schema","affix_nian_efficiency:effect;affix_trigger_refund:effect","basisPoint/point schema-payload mismatch + point","before_trigger nian_cost_gt_0; after_trigger trigger_success","Reconcile unit contract then confirm cost reduction/refund eligibility conversion and aggregation","MAPPABLE_REQUIRES_RULE_CONFIRMATION","MEDIUM","DECISION_IMCGS01_ENERGY_KEEP_UNKNOWN","Assets/_Game/Scripts/TalismanBag/Items/Balance/ItemCompleteCandidateContent.cs","ItemCompleteCandidateContentSeed.BuildRandomAffixDictionary / resource candidates"
"capability.guard_power","SUPPORTED","9","32","ItemInstanceProjectionContractSnapshot.v1+ItemAffixPoolAndRangeSchemaSnapshot.v1","Affixes.affixId=affix_guard_up","basisPoint","complete projection set and affix schema","C01 already defines deterministic saturating sum 0..10000","ALREADY_SUPPORTED","HIGH","NONE_C01_READ_ONLY","Assets/_Game/Scripts/TalismanBag/CrossSystem/ItemEnemy/ItemBuildCapabilityProjectionAdapter.cs","DefaultItemBuildCapabilityProjectionAdapter.Rules / affix_guard_up"
"capability.interrupt_timing","OUT_OF_SCOPE","1","8","ItemBalanceWorkbenchCatalog candidate payload + runtime combat signal contract","SignatureSeeds targetStatId=castProgress","turn + runtime event/time","on_hit + target_casting + active cast window/timestamp/outcome","Conditional cast-progress facts require live timing evidence and cannot be derived from a static Item projection","REQUIRES_RUNTIME_SIGNAL","HIGH","KEEP_OUT_OF_C02B_STATIC_MAPPING_RUNTIME_CONTRACT_REQUIRED","Assets/_Game/Scripts/TalismanBag/CrossSystem/ItemEnemy/ItemBuildCapabilityProjectionAdapter.cs","DefaultItemBuildCapabilityProjectionAdapter.OutOfScopeCapabilityKeys"
"capability.placement_shape","UNKNOWN_NOT_MAPPED","7","32","ItemSystemSnapshot.v1","ItemSystemCatalogItemSnapshot.ShapeCells;ItemSystemPlacementSnapshot.OccupiedCells/isLit/isCountedInBuild/ActiveCoreEffectIds","cells/booleans/categorical IDs","explicit instance-to-placement binding and valid ItemSystemSnapshot","Confirm which shape lighting and Build facts qualify plus deterministic conversion/aggregation to BP","MAPPABLE_REQUIRES_RULE_CONFIRMATION","MEDIUM","DECISION_IMCGS01_PLACEMENT_KEEP_UNKNOWN","Assets/_Game/Scripts/TalismanBag/Items/ItemSystemSnapshot.cs","ItemSystemCatalogItemSnapshot + ItemSystemPlacementSnapshot"
"capability.spirit_lock","UNKNOWN_NOT_MAPPED","2","16","ItemInstanceProjectionContractSnapshot.v1 + candidate catalog survey","NONE_CONFIRMED","NONE","resource theft/cut prevention fact","Cost efficiency and refund facts do not prove prevention of theft or cutoff","NO_STABLE_ITEM_SOURCE","HIGH","REQUEST_STABLE_ITEM_CONTRACT_SOURCE_OR_KEEP_UNKNOWN","Assets/_Game/Scripts/TalismanBag/Items/Generation/Projection/ItemInstanceProjectionContract.cs","ItemInstanceProjectionContractSnapshot public fact surface"
"capability.sustained_damage","UNKNOWN_NOT_MAPPED","0","0","ItemInstanceProjectionContractSnapshot.v1","Stats.statId=damage candidate fact","rawUnits","projection completeness","No E10 aggregation decision is currently required","NOT_REQUIRED_BY_E10","HIGH","DEFER_E10_SCOPE_KEEP_C01_STATUS","Docs/V0.4/Reports/ItemEnemyMatchupCapabilityCoverage.csv","capability.sustained_damage coverage row"
"capability.thunder_chain","UNKNOWN_NOT_MAPPED","0","0","Item/E10 survey","NONE_CONFIRMED","NONE","NONE","No E10 aggregation decision is currently required","NOT_REQUIRED_BY_E10","HIGH","DEFER_E10_SCOPE_KEEP_C01_STATUS","Docs/V0.4/Reports/ItemEnemyMatchupCapabilityCoverage.csv","capability.thunder_chain coverage row"
