baseItemId,rarity,expectedCount,eligibleCoreEffectIds,visibleCoreEffectIds,status
I001,white,1,candidate_core_i001_01,candidate_core_i001_01,PASS
I001,green,2,candidate_core_i001_01|candidate_core_i001_02,candidate_core_i001_01|candidate_core_i001_02,PASS
I001,blue,3,candidate_core_i001_01|candidate_core_i001_02|candidate_core_i001_03,candidate_core_i001_01|candidate_core_i001_02|candidate_core_i001_03,PASS
I001,purple,3,candidate_core_i001_01|candidate_core_i001_02|candidate_core_i001_03,candidate_core_i001_01|candidate_core_i001_02|candidate_core_i001_03,PASS
I001,orange,4,candidate_core_i001_01|candidate_core_i001_02|candidate_core_i001_03|candidate_core_i001_ultimate,candidate_core_i001_01|candidate_core_i001_02|candidate_core_i001_03|candidate_core_i001_ultimate,PASS
I002,white,1,candidate_core_i002_01,candidate_core_i002_01,PASS
I002,green,2,candidate_core_i002_01|candidate_core_i002_02,candidate_core_i002_01|candidate_core_i002_02,PASS
I002,blue,3,candidate_core_i002_01|candidate_core_i002_02|candidate_core_i002_03,candidate_core_i002_01|candidate_core_i002_02|candidate_core_i002_03,PASS
I002,purple,3,candidate_core_i002_01|candidate_core_i002_02|candidate_core_i002_03,candidate_core_i002_01|candidate_core_i002_02|candidate_core_i002_03,PASS
I002,orange,4,candidate_core_i002_01|candidate_core_i002_02|candidate_core_i002_03|candidate_core_i002_ultimate,candidate_core_i002_01|candidate_core_i002_02|candidate_core_i002_03|candidate_core_i002_ultimate,PASS
I003,white,1,candidate_core_i003_01,candidate_core_i003_01,PASS
I003,green,2,candidate_core_i003_01|candidate_core_i003_02,candidate_core_i003_01|candidate_core_i003_02,PASS
I003,blue,3,candidate_core_i003_01|candidate_core_i003_02|candidate_core_i003_03,candidate_core_i003_01|candidate_core_i003_02|candidate_core_i003_03,PASS
I003,purple,3,candidate_core_i003_01|candidate_core_i003_02|candidate_core_i003_03,candidate_core_i003_01|candidate_core_i003_02|candidate_core_i003_03,PASS
I003,orange,4,candidate_core_i003_01|candidate_core_i003_02|candidate_core_i003_03|candidate_core_i003_ultimate,candidate_core_i003_01|candidate_core_i003_02|candidate_core_i003_03|candidate_core_i003_ultimate,PASS
I004,white,1,candidate_core_i004_01,candidate_core_i004_01,PASS
I004,green,2,candidate_core_i004_01|candidate_core_i004_02,candidate_core_i004_01|candidate_core_i004_02,PASS
I004,blue,3,candidate_core_i004_01|candidate_core_i004_02|candidate_core_i004_03,candidate_core_i004_01|candidate_core_i004_02|candidate_core_i004_03,PASS
I004,purple,3,candidate_core_i004_01|candidate_core_i004_02|candidate_core_i004_03,candidate_core_i004_01|candidate_core_i004_02|candidate_core_i004_03,PASS
I004,orange,4,candidate_core_i004_01|candidate_core_i004_02|candidate_core_i004_03|candidate_core_i004_ultimate,candidate_core_i004_01|candidate_core_i004_02|candidate_core_i004_03|candidate_core_i004_ultimate,PASS
I005,white,1,candidate_core_i005_01,candidate_core_i005_01,PASS
I005,green,2,candidate_core_i005_01|candidate_core_i005_02,candidate_core_i005_01|candidate_core_i005_02,PASS
I005,blue,3,candidate_core_i005_01|candidate_core_i005_02|candidate_core_i005_03,candidate_core_i005_01|candidate_core_i005_02|candidate_core_i005_03,PASS
I005,purple,3,candidate_core_i005_01|candidate_core_i005_02|candidate_core_i005_03,candidate_core_i005_01|candidate_core_i005_02|candidate_core_i005_03,PASS
I005,orange,4,candidate_core_i005_01|candidate_core_i005_02|candidate_core_i005_03|candidate_core_i005_ultimate,candidate_core_i005_01|candidate_core_i005_02|candidate_core_i005_03|candidate_core_i005_ultimate,PASS
I006,white,1,candidate_core_i006_01,candidate_core_i006_01,PASS
I006,green,2,candidate_core_i006_01|candidate_core_i006_02,candidate_core_i006_01|candidate_core_i006_02,PASS
I006,blue,3,candidate_core_i006_01|candidate_core_i006_02|candidate_core_i006_03,candidate_core_i006_01|candidate_core_i006_02|candidate_core_i006_03,PASS
I006,purple,3,candidate_core_i006_01|candidate_core_i006_02|candidate_core_i006_03,candidate_core_i006_01|candidate_core_i006_02|candidate_core_i006_03,PASS
I006,orange,4,candidate_core_i006_01|candidate_core_i006_02|candidate_core_i006_03|candidate_core_i006_ultimate,candidate_core_i006_01|candidate_core_i006_02|candidate_core_i006_03|candidate_core_i006_ultimate,PASS
I007,white,1,candidate_core_i007_01,candidate_core_i007_01,PASS
I007,green,2,candidate_core_i007_01|candidate_core_i007_02,candidate_core_i007_01|candidate_core_i007_02,PASS
I007,blue,3,candidate_core_i007_01|candidate_core_i007_02|candidate_core_i007_03,candidate_core_i007_01|candidate_core_i007_02|candidate_core_i007_03,PASS
I007,purple,3,candidate_core_i007_01|candidate_core_i007_02|candidate_core_i007_03,candidate_core_i007_01|candidate_core_i007_02|candidate_core_i007_03,PASS
I007,orange,4,candidate_core_i007_01|candidate_core_i007_02|candidate_core_i007_03|candidate_core_i007_ultimate,candidate_core_i007_01|candidate_core_i007_02|candidate_core_i007_03|candidate_core_i007_ultimate,PASS
I008,white,1,candidate_core_i008_01,candidate_core_i008_01,PASS
I008,green,2,candidate_core_i008_01|candidate_core_i008_02,candidate_core_i008_01|candidate_core_i008_02,PASS
I008,blue,3,candidate_core_i008_01|candidate_core_i008_02|candidate_core_i008_03,candidate_core_i008_01|candidate_core_i008_02|candidate_core_i008_03,PASS
I008,purple,3,candidate_core_i008_01|candidate_core_i008_02|candidate_core_i008_03,candidate_core_i008_01|candidate_core_i008_02|candidate_core_i008_03,PASS
I008,orange,4,candidate_core_i008_01|candidate_core_i008_02|candidate_core_i008_03|candidate_core_i008_ultimate,candidate_core_i008_01|candidate_core_i008_02|candidate_core_i008_03|candidate_core_i008_ultimate,PASS
I009,white,1,candidate_core_i009_01,candidate_core_i009_01,PASS
I009,green,2,candidate_core_i009_01|candidate_core_i009_02,candidate_core_i009_01|candidate_core_i009_02,PASS
I009,blue,3,candidate_core_i009_01|candidate_core_i009_02|candidate_core_i009_03,candidate_core_i009_01|candidate_core_i009_02|candidate_core_i009_03,PASS
I009,purple,3,candidate_core_i009_01|candidate_core_i009_02|candidate_core_i009_03,candidate_core_i009_01|candidate_core_i009_02|candidate_core_i009_03,PASS
I009,orange,4,candidate_core_i009_01|candidate_core_i009_02|candidate_core_i009_03|candidate_core_i009_ultimate,candidate_core_i009_01|candidate_core_i009_02|candidate_core_i009_03|candidate_core_i009_ultimate,PASS
I010,white,1,candidate_core_i010_01,candidate_core_i010_01,PASS
I010,green,2,candidate_core_i010_01|candidate_core_i010_02,candidate_core_i010_01|candidate_core_i010_02,PASS
I010,blue,3,candidate_core_i010_01|candidate_core_i010_02|candidate_core_i010_03,candidate_core_i010_01|candidate_core_i010_02|candidate_core_i010_03,PASS
I010,purple,3,candidate_core_i010_01|candidate_core_i010_02|candidate_core_i010_03,candidate_core_i010_01|candidate_core_i010_02|candidate_core_i010_03,PASS
I010,orange,4,candidate_core_i010_01|candidate_core_i010_02|candidate_core_i010_03|candidate_core_i010_ultimate,candidate_core_i010_01|candidate_core_i010_02|candidate_core_i010_03|candidate_core_i010_ultimate,PASS
I011,white,1,candidate_core_i011_01,candidate_core_i011_01,PASS
I011,green,2,candidate_core_i011_01|candidate_core_i011_02,candidate_core_i011_01|candidate_core_i011_02,PASS
I011,blue,3,candidate_core_i011_01|candidate_core_i011_02|candidate_core_i011_03,candidate_core_i011_01|candidate_core_i011_02|candidate_core_i011_03,PASS
I011,purple,3,candidate_core_i011_01|candidate_core_i011_02|candidate_core_i011_03,candidate_core_i011_01|candidate_core_i011_02|candidate_core_i011_03,PASS
I011,orange,4,candidate_core_i011_01|candidate_core_i011_02|candidate_core_i011_03|candidate_core_i011_ultimate,candidate_core_i011_01|candidate_core_i011_02|candidate_core_i011_03|candidate_core_i011_ultimate,PASS
I012,white,1,candidate_core_i012_01,candidate_core_i012_01,PASS
I012,green,2,candidate_core_i012_01|candidate_core_i012_02,candidate_core_i012_01|candidate_core_i012_02,PASS
I012,blue,3,candidate_core_i012_01|candidate_core_i012_02|candidate_core_i012_03,candidate_core_i012_01|candidate_core_i012_02|candidate_core_i012_03,PASS
I012,purple,3,candidate_core_i012_01|candidate_core_i012_02|candidate_core_i012_03,candidate_core_i012_01|candidate_core_i012_02|candidate_core_i012_03,PASS
I012,orange,4,candidate_core_i012_01|candidate_core_i012_02|candidate_core_i012_03|candidate_core_i012_ultimate,candidate_core_i012_01|candidate_core_i012_02|candidate_core_i012_03|candidate_core_i012_ultimate,PASS
I013,white,1,candidate_core_i013_01,candidate_core_i013_01,PASS
I013,green,2,candidate_core_i013_01|candidate_core_i013_02,candidate_core_i013_01|candidate_core_i013_02,PASS
I013,blue,3,candidate_core_i013_01|candidate_core_i013_02|candidate_core_i013_03,candidate_core_i013_01|candidate_core_i013_02|candidate_core_i013_03,PASS
I013,purple,3,candidate_core_i013_01|candidate_core_i013_02|candidate_core_i013_03,candidate_core_i013_01|candidate_core_i013_02|candidate_core_i013_03,PASS
I013,orange,4,candidate_core_i013_01|candidate_core_i013_02|candidate_core_i013_03|candidate_core_i013_ultimate,candidate_core_i013_01|candidate_core_i013_02|candidate_core_i013_03|candidate_core_i013_ultimate,PASS
I014,white,1,candidate_core_i014_01,candidate_core_i014_01,PASS
I014,green,2,candidate_core_i014_01|candidate_core_i014_02,candidate_core_i014_01|candidate_core_i014_02,PASS
I014,blue,3,candidate_core_i014_01|candidate_core_i014_02|candidate_core_i014_03,candidate_core_i014_01|candidate_core_i014_02|candidate_core_i014_03,PASS
I014,purple,3,candidate_core_i014_01|candidate_core_i014_02|candidate_core_i014_03,candidate_core_i014_01|candidate_core_i014_02|candidate_core_i014_03,PASS
I014,orange,4,candidate_core_i014_01|candidate_core_i014_02|candidate_core_i014_03|candidate_core_i014_ultimate,candidate_core_i014_01|candidate_core_i014_02|candidate_core_i014_03|candidate_core_i014_ultimate,PASS
I015,white,1,candidate_core_i015_01,candidate_core_i015_01,PASS
I015,green,2,candidate_core_i015_01|candidate_core_i015_02,candidate_core_i015_01|candidate_core_i015_02,PASS
I015,blue,3,candidate_core_i015_01|candidate_core_i015_02|candidate_core_i015_03,candidate_core_i015_01|candidate_core_i015_02|candidate_core_i015_03,PASS
I015,purple,3,candidate_core_i015_01|candidate_core_i015_02|candidate_core_i015_03,candidate_core_i015_01|candidate_core_i015_02|candidate_core_i015_03,PASS
I015,orange,4,candidate_core_i015_01|candidate_core_i015_02|candidate_core_i015_03|candidate_core_i015_ultimate,candidate_core_i015_01|candidate_core_i015_02|candidate_core_i015_03|candidate_core_i015_ultimate,PASS
I016,white,1,candidate_core_i016_01,candidate_core_i016_01,PASS
I016,green,2,candidate_core_i016_01|candidate_core_i016_02,candidate_core_i016_01|candidate_core_i016_02,PASS
I016,blue,3,candidate_core_i016_01|candidate_core_i016_02|candidate_core_i016_03,candidate_core_i016_01|candidate_core_i016_02|candidate_core_i016_03,PASS
I016,purple,3,candidate_core_i016_01|candidate_core_i016_02|candidate_core_i016_03,candidate_core_i016_01|candidate_core_i016_02|candidate_core_i016_03,PASS
I016,orange,4,candidate_core_i016_01|candidate_core_i016_02|candidate_core_i016_03|candidate_core_i016_ultimate,candidate_core_i016_01|candidate_core_i016_02|candidate_core_i016_03|candidate_core_i016_ultimate,PASS
I017,white,1,candidate_core_i017_01,candidate_core_i017_01,PASS
I017,green,2,candidate_core_i017_01|candidate_core_i017_02,candidate_core_i017_01|candidate_core_i017_02,PASS
I017,blue,3,candidate_core_i017_01|candidate_core_i017_02|candidate_core_i017_03,candidate_core_i017_01|candidate_core_i017_02|candidate_core_i017_03,PASS
I017,purple,3,candidate_core_i017_01|candidate_core_i017_02|candidate_core_i017_03,candidate_core_i017_01|candidate_core_i017_02|candidate_core_i017_03,PASS
I017,orange,4,candidate_core_i017_01|candidate_core_i017_02|candidate_core_i017_03|candidate_core_i017_ultimate,candidate_core_i017_01|candidate_core_i017_02|candidate_core_i017_03|candidate_core_i017_ultimate,PASS
I018,white,1,candidate_core_i018_01,candidate_core_i018_01,PASS
I018,green,2,candidate_core_i018_01|candidate_core_i018_02,candidate_core_i018_01|candidate_core_i018_02,PASS
I018,blue,3,candidate_core_i018_01|candidate_core_i018_02|candidate_core_i018_03,candidate_core_i018_01|candidate_core_i018_02|candidate_core_i018_03,PASS
I018,purple,3,candidate_core_i018_01|candidate_core_i018_02|candidate_core_i018_03,candidate_core_i018_01|candidate_core_i018_02|candidate_core_i018_03,PASS
I018,orange,4,candidate_core_i018_01|candidate_core_i018_02|candidate_core_i018_03|candidate_core_i018_ultimate,candidate_core_i018_01|candidate_core_i018_02|candidate_core_i018_03|candidate_core_i018_ultimate,PASS
I019,white,1,candidate_core_i019_01,candidate_core_i019_01,PASS
I019,green,2,candidate_core_i019_01|candidate_core_i019_02,candidate_core_i019_01|candidate_core_i019_02,PASS
I019,blue,3,candidate_core_i019_01|candidate_core_i019_02|candidate_core_i019_03,candidate_core_i019_01|candidate_core_i019_02|candidate_core_i019_03,PASS
I019,purple,3,candidate_core_i019_01|candidate_core_i019_02|candidate_core_i019_03,candidate_core_i019_01|candidate_core_i019_02|candidate_core_i019_03,PASS
I019,orange,4,candidate_core_i019_01|candidate_core_i019_02|candidate_core_i019_03|candidate_core_i019_ultimate,candidate_core_i019_01|candidate_core_i019_02|candidate_core_i019_03|candidate_core_i019_ultimate,PASS
I020,white,1,candidate_core_i020_01,candidate_core_i020_01,PASS
I020,green,2,candidate_core_i020_01|candidate_core_i020_02,candidate_core_i020_01|candidate_core_i020_02,PASS
I020,blue,3,candidate_core_i020_01|candidate_core_i020_02|candidate_core_i020_03,candidate_core_i020_01|candidate_core_i020_02|candidate_core_i020_03,PASS
I020,purple,3,candidate_core_i020_01|candidate_core_i020_02|candidate_core_i020_03,candidate_core_i020_01|candidate_core_i020_02|candidate_core_i020_03,PASS
I020,orange,4,candidate_core_i020_01|candidate_core_i020_02|candidate_core_i020_03|candidate_core_i020_ultimate,candidate_core_i020_01|candidate_core_i020_02|candidate_core_i020_03|candidate_core_i020_ultimate,PASS
I021,white,1,candidate_core_i021_01,candidate_core_i021_01,PASS
I021,green,2,candidate_core_i021_01|candidate_core_i021_02,candidate_core_i021_01|candidate_core_i021_02,PASS
I021,blue,3,candidate_core_i021_01|candidate_core_i021_02|candidate_core_i021_03,candidate_core_i021_01|candidate_core_i021_02|candidate_core_i021_03,PASS
I021,purple,3,candidate_core_i021_01|candidate_core_i021_02|candidate_core_i021_03,candidate_core_i021_01|candidate_core_i021_02|candidate_core_i021_03,PASS
I021,orange,4,candidate_core_i021_01|candidate_core_i021_02|candidate_core_i021_03|candidate_core_i021_ultimate,candidate_core_i021_01|candidate_core_i021_02|candidate_core_i021_03|candidate_core_i021_ultimate,PASS
I022,white,1,candidate_core_i022_01,candidate_core_i022_01,PASS
I022,green,2,candidate_core_i022_01|candidate_core_i022_02,candidate_core_i022_01|candidate_core_i022_02,PASS
I022,blue,3,candidate_core_i022_01|candidate_core_i022_02|candidate_core_i022_03,candidate_core_i022_01|candidate_core_i022_02|candidate_core_i022_03,PASS
I022,purple,3,candidate_core_i022_01|candidate_core_i022_02|candidate_core_i022_03,candidate_core_i022_01|candidate_core_i022_02|candidate_core_i022_03,PASS
I022,orange,4,candidate_core_i022_01|candidate_core_i022_02|candidate_core_i022_03|candidate_core_i022_ultimate,candidate_core_i022_01|candidate_core_i022_02|candidate_core_i022_03|candidate_core_i022_ultimate,PASS
I023,white,1,candidate_core_i023_01,candidate_core_i023_01,PASS
I023,green,2,candidate_core_i023_01|candidate_core_i023_02,candidate_core_i023_01|candidate_core_i023_02,PASS
I023,blue,3,candidate_core_i023_01|candidate_core_i023_02|candidate_core_i023_03,candidate_core_i023_01|candidate_core_i023_02|candidate_core_i023_03,PASS
I023,purple,3,candidate_core_i023_01|candidate_core_i023_02|candidate_core_i023_03,candidate_core_i023_01|candidate_core_i023_02|candidate_core_i023_03,PASS
I023,orange,4,candidate_core_i023_01|candidate_core_i023_02|candidate_core_i023_03|candidate_core_i023_ultimate,candidate_core_i023_01|candidate_core_i023_02|candidate_core_i023_03|candidate_core_i023_ultimate,PASS
I024,white,1,candidate_core_i024_01,candidate_core_i024_01,PASS
I024,green,2,candidate_core_i024_01|candidate_core_i024_02,candidate_core_i024_01|candidate_core_i024_02,PASS
I024,blue,3,candidate_core_i024_01|candidate_core_i024_02|candidate_core_i024_03,candidate_core_i024_01|candidate_core_i024_02|candidate_core_i024_03,PASS
I024,purple,3,candidate_core_i024_01|candidate_core_i024_02|candidate_core_i024_03,candidate_core_i024_01|candidate_core_i024_02|candidate_core_i024_03,PASS
I024,orange,4,candidate_core_i024_01|candidate_core_i024_02|candidate_core_i024_03|candidate_core_i024_ultimate,candidate_core_i024_01|candidate_core_i024_02|candidate_core_i024_03|candidate_core_i024_ultimate,PASS
I025,white,1,candidate_core_i025_01,candidate_core_i025_01,PASS
I025,green,2,candidate_core_i025_01|candidate_core_i025_02,candidate_core_i025_01|candidate_core_i025_02,PASS
I025,blue,3,candidate_core_i025_01|candidate_core_i025_02|candidate_core_i025_03,candidate_core_i025_01|candidate_core_i025_02|candidate_core_i025_03,PASS
I025,purple,3,candidate_core_i025_01|candidate_core_i025_02|candidate_core_i025_03,candidate_core_i025_01|candidate_core_i025_02|candidate_core_i025_03,PASS
I025,orange,4,candidate_core_i025_01|candidate_core_i025_02|candidate_core_i025_03|candidate_core_i025_ultimate,candidate_core_i025_01|candidate_core_i025_02|candidate_core_i025_03|candidate_core_i025_ultimate,PASS
I026,white,1,candidate_core_i026_01,candidate_core_i026_01,PASS
I026,green,2,candidate_core_i026_01|candidate_core_i026_02,candidate_core_i026_01|candidate_core_i026_02,PASS
I026,blue,3,candidate_core_i026_01|candidate_core_i026_02|candidate_core_i026_03,candidate_core_i026_01|candidate_core_i026_02|candidate_core_i026_03,PASS
I026,purple,3,candidate_core_i026_01|candidate_core_i026_02|candidate_core_i026_03,candidate_core_i026_01|candidate_core_i026_02|candidate_core_i026_03,PASS
I026,orange,4,candidate_core_i026_01|candidate_core_i026_02|candidate_core_i026_03|candidate_core_i026_ultimate,candidate_core_i026_01|candidate_core_i026_02|candidate_core_i026_03|candidate_core_i026_ultimate,PASS
I027,white,1,candidate_core_i027_01,candidate_core_i027_01,PASS
I027,green,2,candidate_core_i027_01|candidate_core_i027_02,candidate_core_i027_01|candidate_core_i027_02,PASS
I027,blue,3,candidate_core_i027_01|candidate_core_i027_02|candidate_core_i027_03,candidate_core_i027_01|candidate_core_i027_02|candidate_core_i027_03,PASS
I027,purple,3,candidate_core_i027_01|candidate_core_i027_02|candidate_core_i027_03,candidate_core_i027_01|candidate_core_i027_02|candidate_core_i027_03,PASS
I027,orange,4,candidate_core_i027_01|candidate_core_i027_02|candidate_core_i027_03|candidate_core_i027_ultimate,candidate_core_i027_01|candidate_core_i027_02|candidate_core_i027_03|candidate_core_i027_ultimate,PASS
I028,white,1,candidate_core_i028_01,candidate_core_i028_01,PASS
I028,green,2,candidate_core_i028_01|candidate_core_i028_02,candidate_core_i028_01|candidate_core_i028_02,PASS
I028,blue,3,candidate_core_i028_01|candidate_core_i028_02|candidate_core_i028_03,candidate_core_i028_01|candidate_core_i028_02|candidate_core_i028_03,PASS
I028,purple,3,candidate_core_i028_01|candidate_core_i028_02|candidate_core_i028_03,candidate_core_i028_01|candidate_core_i028_02|candidate_core_i028_03,PASS
I028,orange,4,candidate_core_i028_01|candidate_core_i028_02|candidate_core_i028_03|candidate_core_i028_ultimate,candidate_core_i028_01|candidate_core_i028_02|candidate_core_i028_03|candidate_core_i028_ultimate,PASS
I029,white,1,candidate_core_i029_01,candidate_core_i029_01,PASS
I029,green,2,candidate_core_i029_01|candidate_core_i029_02,candidate_core_i029_01|candidate_core_i029_02,PASS
I029,blue,3,candidate_core_i029_01|candidate_core_i029_02|candidate_core_i029_03,candidate_core_i029_01|candidate_core_i029_02|candidate_core_i029_03,PASS
I029,purple,3,candidate_core_i029_01|candidate_core_i029_02|candidate_core_i029_03,candidate_core_i029_01|candidate_core_i029_02|candidate_core_i029_03,PASS
I029,orange,4,candidate_core_i029_01|candidate_core_i029_02|candidate_core_i029_03|candidate_core_i029_ultimate,candidate_core_i029_01|candidate_core_i029_02|candidate_core_i029_03|candidate_core_i029_ultimate,PASS
I030,white,1,candidate_core_i030_01,candidate_core_i030_01,PASS
I030,green,2,candidate_core_i030_01|candidate_core_i030_02,candidate_core_i030_01|candidate_core_i030_02,PASS
I030,blue,3,candidate_core_i030_01|candidate_core_i030_02|candidate_core_i030_03,candidate_core_i030_01|candidate_core_i030_02|candidate_core_i030_03,PASS
I030,purple,3,candidate_core_i030_01|candidate_core_i030_02|candidate_core_i030_03,candidate_core_i030_01|candidate_core_i030_02|candidate_core_i030_03,PASS
I030,orange,4,candidate_core_i030_01|candidate_core_i030_02|candidate_core_i030_03|candidate_core_i030_ultimate,candidate_core_i030_01|candidate_core_i030_02|candidate_core_i030_03|candidate_core_i030_ultimate,PASS
