checkId,area,expected,actual,status,notes
"schema-id","schema","BoneAspectCarrierPresentationCatalog.v1","BoneAspectCarrierPresentationCatalog.v1",PASS,"Schema identity is exact."
"schema-version","schema","1","1",PASS,"Schema version is independently readable."
"carrier-counts","coverage","16 / 12 / 4","16 / 12 / 4",PASS,"Carrier, Enemy, and Boss counts are locked."
"chapter-family-counts","coverage","4 / 4","4 / 4",PASS,"Four chapters map to four visual families."
"art-slot-counts","coverage","93 = 72 / 16 / 5","93 = 72 / 16 / 5",PASS,"Art delivery rows are base-only plus unresolved decision slots."
"e02-reference-counts","coverage","34 = 24 / 1 / 9","34 = 24 / 1 / 9",PASS,"Typed E02 candidate reference counts are exact."
"carrier-identities-unique","identity","16/16 contentId, presentationKey, and commitmentId unique","16/16 each",PASS,"Stable identities cannot alias."
"p0-exact-equality","identity","PASS","PASS",PASS,"Validator compares every Carrier against the accepted P0 identity blueprint."
"e02-typed-resolution","reference","12 distinct / 0 unresolved","12 distinct / 0 unresolved",PASS,"Every reference resolves by typed E02 category and exact key."
"candidate-reuse-only","reference","34/34 CandidateReuseOnly; runtime=0","34/34; runtime=0",PASS,"No candidate key is promoted to runtime implementation."
"many-to-many-reuse","reference","PASS","PASS",PASS,"Carrier-to-key and key-to-Carrier reuse are both represented."
"gap-and-decisions","decision","gap=16/16; selected=0/4","gap=16/16; selected=0/4",PASS,"P2 survey remains required and BA-D1..D4 remain unresolved."
"forbidden-binding-rows","scope","MechanicProfile / SkillPattern / BossPhase / Runtime consumer = 0 / 0 / 0 / 0","0 / 0 / 0 / 0",PASS,"Catalog contains presentation metadata and candidate references only."
"input-defensive-copy","immutability","PASS","PASS",PASS,"Caller list mutation cannot alter Catalog input or output."
"output-read-only","immutability","All collections reject mutation","all rejected",PASS,"All exposed collections are read-only."
