assertion,actual,expected,status
profiles,30,30,PASS
rarityVersions,150,150,PASS
candidateCoreRows,120,120,PASS
uniqueCandidateIds,120,120,PASS
identityKinds,120,120,PASS
activeCore04,0,0,PASS
ultimateRows,30,30,PASS
rarityMatrixRows,150,150,PASS
eligibleEqualsVisible,150,150,PASS
nullEmptyDuplicateIdentity,0,0,PASS
rngDomainChanges,0,0,PASS
retainedSemanticHashes,120,120,PASS
nonCoreProfileFields,30,30,PASS
catalogProtectedFields,1,1,PASS
compiledCoreBuildSchema,1,1,PASS
rollProjectionSamples,150,150,PASS
deterministicRepeats,150,150,PASS
i031OrdinaryCandidateRows,0,0,PASS
p2p3ProtectedHashes,20,20,PASS
exactOutputWhitelist,1,1,PASS
