checkId,requirement,status,evidence,notes
UBR-R-001,Unity lock released before retry,PASS,"Initial process/lock check","No Unity process and Temp/UnityLockfile=false before first retry command"
UBR-R-002,BattleSnapshotAdapter menu PASS,PASS,"Logs/codex_unified_battle_regression_retry_snapshot_report.log","Report refreshed; Status PASS; Leak Count 0"
UBR-R-003,BattleSnapshot sandbox result devOnly true,PASS,"Docs/V0.4/Reports/BattleSnapshotAdapterReport.md","devOnly=True"
UBR-R-004,BattleSnapshot sandbox shouldWriteSave false,PASS,"Docs/V0.4/Reports/BattleSnapshotAdapterReport.md","shouldWriteSave=False"
UBR-R-005,BattleSnapshot sandbox shouldGrantReward false,PASS,"Docs/V0.4/Reports/BattleSnapshotAdapterReport.md","shouldGrantReward=False"
UBR-R-006,UnifiedBattlePageShell menu PASS,PASS,"Logs/codex_unified_battle_regression_retry_shell_report.log","status=PASS leakCount=0"
UBR-R-007,Shell scene exists,PASS,"Assets/_Game/Scenes/Scene_TalismanBag_V04_UnifiedBattlePageShell.unity","Physical devOnly shell scene exists"
UBR-R-008,Shell prefab exists,PASS,"Assets/_Game/Prefabs/TalismanBag/UnifiedBattle/UnifiedBattlePageShell.prefab","Physical devOnly shell prefab exists"
UBR-R-009,Shell scene absent from BuildSettings,PASS,"UnifiedBattlePageShellReport.md","Scene in BuildSettings: NO"
UBR-R-010,11 shell slots exist,PASS,"UnifiedBattlePageShellReport.md and hierarchy map","Asset slots present 11"
UBR-R-011,Marker flags isolated,PASS,"UnifiedBattlePageShellReport.md","devOnly=true; isEnabled=false; formalFlow=false; connectedToFormalRoute=false"
UBR-R-012,ResultRewardPlaceholder no save/reward,PASS,"UnifiedBattlePageShellLeakCheckReport.md","Sample result no save and no reward"
UBR-R-013,DevOnlyDiagnosticsSlot separated,PASS,"UnifiedBattlePageShellAdapterSlotMap.csv","Developer-only slot not player-visible"
UBR-R-014,Player-visible answer tokens not exposed,PASS,"UnifiedBattlePageShellLeakCheckReport.md","Player-visible answer token leaks 0"
UBR-R-015,MainHome Fix02 PlayMode smoke PASS,PASS,"Logs/codex_unified_battle_regression_retry_mainhome_fix02_playmode.log","FIX02_PLAYMODE_FIRST_FRAME_SUCCESS and FIX02_SMOKE_SUCCESS"
UBR-R-016,FullBackgroundBlackUnderlay failure fixed,PASS,"Logs/codex_unified_battle_regression_retry_mainhome_fix02_playmode.log","Missing-underlay exception not present"
UBR-R-017,Old formal flow smoke PASS,BLOCKED,"Logs/codex_unified_battle_regression_retry_oldflow_mainhome_smoke.log","Blocked before smoke by CS0103 in dirty BuildSandbox file"
UBR-R-018,Unity Console/project compile 0 error,FAIL,"Logs/codex_unified_battle_regression_retry_oldflow_mainhome_smoke.log","3 CS0103 errors in BuildGridInteractionPreviewController.cs"
UBR-R-019,BossInfoPanel/2-10 protection runtime check,BLOCKED,"Old-flow smoke did not execute","Config-side Task09-10 did not rerun because compile failed before executeMethod"
UBR-R-020,SaveData/Reward/chapter progress runtime abnormality check,BLOCKED,"Old-flow smoke did not execute","Compile blocker prevented smoke"
UBR-R-021,UnifiedBattle formal route not connected,PASS,"Source/report scan","No formal route connected by Package 3 retry"
UBR-R-022,Package 4 not started,PASS,"File scope review","No LegacyChapterBattleAdapter or BattleRouteBridge added"
UBR-R-023,UnifiedBattle leak count zero,PASS,"UnifiedBattleRegressionLeakCheckReport.md","unifiedBattleStaticLeakTotal=0"
UBR-R-024,Final Unity lock released,PASS,"Final process/lock check","No Unity process and Temp/UnityLockfile=false after cleanup"
