"sourceId","capabilityKey","evidencePath","evidenceSymbol","sourceKind","stability","qualifiedUse","qualificationStatus","missingFact","forbiddenInference","conclusion"
"BRSS01-S01","capability.placement_shape","Assets/_Game/Scripts/TalismanBag/EnemySystem/Vocabulary/DefaultEnemyMechanicVocabularyCatalog.cs","capability.placement_shape;pressure.placement_formation","Enemy vocabulary","stable","Planning meaning and pressure vocabulary only","QUALIFIED_PLANNING_MEANING_ONLY","Operational encounter transform and predicate","Do not derive a value from vocabulary text","Meaning is stable but no result source exists"
"BRSS01-S02","capability.placement_shape","Assets/_Game/Scripts/TalismanBag/Items/ItemSystemSnapshot.cs","ShapeCells;OccupiedCells;isLit;isCountedInBuild;eyeCell;coreCellWorld","Item Snapshot","stable","Geometry placement lighting and Build-membership inputs only","QUALIFIED_STABLE_INPUT_FACT_ONLY","Encounter pressure transform applicability and approved predicate","shapeId or occupiedCells is not placement_shape","Eligible predicate inputs after D1 and new contract only"
"BRSS01-S03","capability.placement_shape","Assets/_Game/Scripts/TalismanBag/Items/Capability/ItemInstancePlacementBindingContract.cs","itemInstanceId;placementId;baseItemId","IF01","stable","Explicit identity join only","QUALIFIED_IDENTITY_ONLY","Structural pressure and predicate outcome","Identity equality is not layout resilience","Required join support but no capability result"
"BRSS01-S04","capability.placement_shape","Docs/V0.4/Reports/BuildCapabilityNormalizationRuleSurveyReport.md","SEMANTIC_UNRESOLVED / KEEP_UNKNOWN","N01 survey","stable report","Prior unresolved disposition and missing-direction evidence only","REFERENCE_ONLY","Approved meaning pressure denominator and predicate","Do not convert geometry count to BP","Remains Unknown"
"BRSS01-S05","capability.debuff_counter","Assets/_Game/Scripts/TalismanBag/EnemySystem/Vocabulary/DefaultEnemyMechanicVocabularyCatalog.cs","capability.debuff_counter;pressure.status_damage","Enemy vocabulary","stable","Planning meaning only","QUALIFIED_PLANNING_MEANING_ONLY","Resistance immunity suppression or counter fact","Do not derive a value from vocabulary text","Meaning separates prevention from cleanse"
"BRSS01-S06","capability.debuff_counter","Docs/V0.4/BuildCapabilityRemainingBlockerSemanticSurvey01_Assignment.md","D2","Guard semantic authority","stable assignment","Records that source kind is user-decision dependent","NO_CURRENT_STABLE_SOURCE","Chosen mitigation model and its fact contract","Do not invent resistance constants","Keep Unknown pending D2"
"BRSS01-S07","capability.debuff_counter","Assets/_Game/Scripts/TalismanBag/Items/Capability/RuntimeFacts/ItemCapabilityRuntimeFactContract.cs","cleanseSuccess;cleanseExtraStackCount","IF03","stable but ineligible","Post-application cleanse evidence only","INELIGIBLE","Pre-application resistance immunity or counter","cleanse_power is not debuff_counter","No eligible debuff-counter fact"
"BRSS01-S08","capability.debuff_counter","Assets/_Game/Scripts/TalismanBag/Items/Balance/ItemCompleteCandidateContent.cs","affix_debuff_target_power;target_has_debuff","Item candidate payload","candidate-only and ineligible","Target-condition or offensive debuff scaling evidence only","INELIGIBLE","Defensive resistance immunity or prevention","Target already debuffed is not player debuff counter","No eligible defensive fact"
"BRSS01-S09","capability.interrupt_timing","Assets/_Game/Scripts/TalismanBag/EnemySystem/Vocabulary/DefaultEnemyMechanicVocabularyCatalog.cs","mechanic.long_cast;capability.interrupt_timing;counter_window.interrupt_stagger","Enemy vocabulary","stable","Planning meaning cast pressure and successful-counter window only","QUALIFIED_PLANNING_MEANING_ONLY","Event timing attempt completion and success facts","Vocabulary does not prove an event occurred","Runtime event signal required"
"BRSS01-S10","capability.interrupt_timing","Assets/_Game/Scripts/TalismanBag/Items/Capability/RuntimeFacts/ItemCapabilityRuntimeFactContract.cs","triggerSuccess;triggerOrdinal;eventId;eventSequence","IF03","stable but insufficient","Generic item trigger evidence only","INELIGIBLE","Enemy cast-window identity timing completion boundary and interrupt outcome","Generic trigger success is not interrupt success","New runtime fact contract is required after D3"
