caseId,area,status,expectation,evidence
"WORKBENCH_CATALOG","fixture",PASS,"Item Sandbox workbench catalog exists.","Assets/_Game/Configs/ItemBalanceWorkbench/ItemBalanceWorkbenchCatalog.asset"
"SAME_BASE_DIFFERENT_RARITY_REJECTED","sandbox",PASS,"I001 with different rarities may be owned but cannot be co-placed.","white=wb_i001_white_710001; orange=wb_i001_orange_710002; second=False/DuplicateBaseItemPlaced"
"SAME_BASE_DIFFERENT_SEED_REJECTED","sandbox",PASS,"I001 with different seeds cannot be co-placed.","seeds=720001|720002; second=False/DuplicateBaseItemPlaced"
"DIFFERENT_BASE_ALLOWED","sandbox",PASS,"I001 and I002 can be placed together when board geometry is legal.","I001=True; I002=True/None"
"I031_UNIQUE_SOURCE_RETAINED","sandbox",PASS,"I031 keeps its existing unique-source rejection.","first=True; second=False/DuplicateJuNian"
"SNAPSHOT_DUPLICATE_ERROR_METADATA","snapshot",PASS,"Provider output is invalid and reports DUPLICATE_BASE_ITEM_PLACED with base item and placement ids.","Error:DUPLICATE_BASE_ITEM_PLACED: placementId=P_I001_B itemId=I001 baseItemId/itemId 'I001' is already placed by placementId 'P_I001_A'; one layout may place only one ordinary item with the same base identity."
"FORGED_SNAPSHOT_VALIDATOR_REJECTS","validator",PASS,"Standalone validator rejects a manually constructed duplicate-base snapshot.","Error:DUPLICATE_BASE_ITEM_PLACED: placementId=P_I001_B itemId=I001 baseItemId/itemId 'I001' is already placed by placementId 'P_I001_A'; one layout may place only one ordinary item with the same base identity."
"DUPLICATE_BASE_CANNOT_BUILD2","build",PASS,"A duplicate I001 is excluded and cannot turn one legal base item into Build2.","count=1; activeStage=0; duplicateCounted=False"
"LEGAL_BUILD6_USES_DISTINCT_BASES","build",PASS,"The legal validation Build6 uses I001-I006 exactly once each.","ids=I001|I002|I003|I004|I005|I006; seeds=610000|610000|610001|610000|610000|610000; count=6; Build6=True"
"READABLE_DUPLICATE_FEEDBACK","feedback",PASS,"Sandbox feedback names the duplicate base id and explains the one-per-layout rule.","重复上阵：同一个基础道具（I001）在同一布局中只能放置 1 件；不同品阶、词条、Seed 或实例 ID 仍视为同一 baseItemId/itemId。"
"SCOPE_Assets__Game_Scripts_TalismanBag_Items_ItemSystemSnapshot_cs","leak",PASS,"Scoped runtime source does not connect forbidden formal systems.","clean"
"SCOPE_Assets__Game_Scripts_TalismanBag_Items_Build_ItemBuildSynergyRules_cs","leak",PASS,"Scoped runtime source does not connect forbidden formal systems.","clean"
"SCOPE_Assets__Game_Scripts_TalismanBag_ItemSandbox_ItemFullDetailBuildSandboxWorkbenchSession_cs","leak",PASS,"Scoped runtime source does not connect forbidden formal systems.","clean"
"SCOPE_Assets__Game_Scripts_TalismanBag_ItemSandbox_ItemSandboxV04BoardFullDetailAdapter_cs","leak",PASS,"Scoped runtime source does not connect forbidden formal systems.","clean"
"PROTECTED_Assets__Game_Scenes_Scene_TalismanBag_V04_ItemSandbox_unity","leak",PASS,"Verifier does not rewrite protected Scene/Prefab/BuildSettings content.","before=8A9614B50BB732A46778356CE704CB405E60F7568055C82AD8BABD851CCB0343; after=8A9614B50BB732A46778356CE704CB405E60F7568055C82AD8BABD851CCB0343"
"PROTECTED_Assets__Game_Scenes_Scene_TalismanBag_V04_BattleSandboxPreview_unity","leak",PASS,"Verifier does not rewrite protected Scene/Prefab/BuildSettings content.","before=554FC001244E76218D47E04C51BD060A560E3297DEE247EEB91E5273F5FD6C17; after=554FC001244E76218D47E04C51BD060A560E3297DEE247EEB91E5273F5FD6C17"
"PROTECTED_Assets__Game_Prefabs","leak",PASS,"Verifier does not rewrite protected Scene/Prefab/BuildSettings content.","before=372B1E7DB1C94BA48E412D7946686556D640D414EAB77E339C32FA3E88044B5D; after=372B1E7DB1C94BA48E412D7946686556D640D414EAB77E339C32FA3E88044B5D"
"PROTECTED_ProjectSettings_EditorBuildSettings_asset","leak",PASS,"Verifier does not rewrite protected Scene/Prefab/BuildSettings content.","before=1079B5D8CEC522B3825F7E55C79FC972C7DA1D0F024FAF7885CBFD92F94EE9D0; after=1079B5D8CEC522B3825F7E55C79FC972C7DA1D0F024FAF7885CBFD92F94EE9D0"
