assertionId,category,expected,actual,result
"assignment-sha256","source","ab4b36da0d83e3edd502af6b919876143c3ed0c9e48e03a4c738d5b83efe4a0a","ab4b36da0d83e3edd502af6b919876143c3ed0c9e48e03a4c738d5b83efe4a0a","PASS"
"read-input-assets--game-scripts-talismanbag-v04-chapterflow-v04chapterflowfeatureflags-cs","source","5102418f6da377f1d40d5feab53c7c1414042e41411e2126f0f744d78f073715","5102418f6da377f1d40d5feab53c7c1414042e41411e2126f0f744d78f073715","PASS"
"read-input-assets--game-scripts-talismanbag-v04-chapterflow-v04chapterflowmanifest-cs","source","acb59867743de4eeced12810fa32d930f587cf195d0c1f7384734424b89bf416","acb59867743de4eeced12810fa32d930f587cf195d0c1f7384734424b89bf416","PASS"
"read-input-assets--game-scripts-talismanbag-v04-chapterflow-v04chapterflowsnapshots-cs","source","851c730347804ed6f09e84b9d4d52a53659893c3152d47166439667bea981a81","851c730347804ed6f09e84b9d4d52a53659893c3152d47166439667bea981a81","PASS"
"read-input-assets--game-scripts-talismanbag-v04-chapterflow-v04chapterflowbattlecontractprojection-cs","source","950475adb4ba9f7d01d608d7c2377b0ee1c7226f74469165df4d68f56bff364b","950475adb4ba9f7d01d608d7c2377b0ee1c7226f74469165df4d68f56bff364b","PASS"
"read-input-docs-v0-4-reports-boneaspectcontentcatalog-csv","source","56bd2430adcaefb69ec2b51297f2ba2c561c63f953571e528d40080f6b6e660c","56bd2430adcaefb69ec2b51297f2ba2c561c63f953571e528d40080f6b6e660c","PASS"
"read-input-docs-v0-4-reports-boneaspectencounternodecatalog-csv","source","7d84bb15b4a878834d5f6ba2396b39c51cd7ebcbcc9f49b2b402b98db7afa3bb","7d84bb15b4a878834d5f6ba2396b39c51cd7ebcbcc9f49b2b402b98db7afa3bb","PASS"
"read-input-docs-v0-4-reports-shougunuphase1runtimeandactioncontractreport-md","source","6b6900d194f0d19f35546e5b380c0c03592c9d623a7837562ae2b040e7344fd2","6b6900d194f0d19f35546e5b380c0c03592c9d623a7837562ae2b040e7344fd2","PASS"
"read-input-docs-v0-4-reports-shougunuphase1battleapplicationcontractreport-md","source","0e15da27ea9979fac585d571a24ac45ff54dfbf64bd7fd30fd1d3b4b54840ccb","0e15da27ea9979fac585d571a24ac45ff54dfbf64bd7fd30fd1d3b4b54840ccb","PASS"
"read-input-docs-v0-4-reports-realitemdamageshougunuphase1battlesandboxverticalslicereport-md","source","40189b1aa91e2fa867d6b611c86aa4da8cc53adef0e8d0568edc7253c1bfe8fc","40189b1aa91e2fa867d6b611c86aa4da8cc53adef0e8d0568edc7253c1bfe8fc","PASS"
"locked-count","protection","15","15","PASS"
"locked-aggregate","protection","7e780edae087eb746e54804b2f310da94efc4586d7a94ba5ad1e58ad5e65001f","7e780edae087eb746e54804b2f310da94efc4586d7a94ba5ad1e58ad5e65001f","PASS"
"governance-count","protection","9","9","PASS"
"governance-aggregate","protection","beb966f88802126703960ca47ef826fa3b5436d222e3a33fd0523668454b15e2","beb966f88802126703960ca47ef826fa3b5436d222e3a33fd0523668454b15e2","PASS"
"formal-v03-count","protection","8","8","PASS"
"formal-v03-aggregate","protection","97601405b64b17f4dd1ff01fefd36e910fe5bbf50e95a12a41a8d2ca3c99cc7d","97601405b64b17f4dd1ff01fefd36e910fe5bbf50e95a12a41a8d2ca3c99cc7d","PASS"
"bline-core-count","protection","14","14","PASS"
"bline-core-aggregate","protection","04c0c1de0752c920bdde2076cced3318e0b074c21ea64b8424e066a45c1f4984","04c0c1de0752c920bdde2076cced3318e0b074c21ea64b8424e066a45c1f4984","PASS"
"decision-inputs-count","protection","5","5","PASS"
"decision-inputs-aggregate","protection","bfb2ad1e9df31390a3f959fdadd18f83769718da6b20ca26f70e0536beeb6f17","bfb2ad1e9df31390a3f959fdadd18f83769718da6b20ca26f70e0536beeb6f17","PASS"
"chapters","counts","1","1","PASS"
"active-stage-bindings","counts","9","9","PASS"
"shattered-host-bindings","counts","4","4","PASS"
"porcelain-hound-bindings","counts","5","5","PASS"
"held-by-ba-d3","counts","1","1","PASS"
"active-bone-swap-bindings","counts","0","0","PASS"
"boss-bindings","counts","0","0","PASS"
"phase1-temporary-clear-policies","counts","1","1","PASS"
"required-phase1-labels","counts","3","3","PASS"
"feature-flag-default","isolation","False","False","PASS"
"package-enabled","isolation","False","False","PASS"
"formal-flow","isolation","False","False","PASS"
"chapter-flow-core-drift","protection","0","0","PASS"
"protected-hash-drift","protection","0","0","PASS"
"negative-duplicate-stage-binding","negative-fixtures","True","True","PASS"
"negative-unknown-stage-id","negative-fixtures","True","True","PASS"
"negative-boss-as-normal-binding","negative-fixtures","True","True","PASS"
