candidateId,contentId,candidateDisplayName,sourceStatementIds,candidateStatus,acceptedDataId,runtimeImplemented,devOnly,isEnabled,entersFormalFlow,userApprovalRequired,decisionDependency,recommendedNextPackage,semanticScope,forbiddenInference,notesDeveloperOnly
ba_boss_skill_candidate.bone_guard.gate_wall,bone_aspect_boss_c1_bone_guard,守门壁,BA-ART-04-S018;BA-ART-04-S019,SURVEY_CANDIDATE_ONLY,,false,true,false,false,true,BA-D1_RESOLVED_NARRATIVE_ONLY,BoneAspectBossPhaseDesignLock01,守骨奴自身门墙/护壳动作候选。,"No cooldown, damage, target rules, HP, lifetime, timing, AI, animation timing or Runtime binding is approved.",Candidate name only; detailed execution is unauthored.
ba_boss_skill_candidate.bone_guard.threshold_push,bone_aspect_boss_c1_bone_guard,门槛推压,BA-ART-04-S022;BA-ART-04-S023;BA-ART-04-S030,SURVEY_CANDIDATE_ONLY,,false,true,false,false,true,BA-D1_RESOLVED_NARRATIVE_ONLY,BoneAspectBossPhaseDesignLock01,地面门槛推压意图候选；位移与区域需 Battle。,"No cooldown, damage, target rules, HP, lifetime, timing, AI, animation timing or Runtime binding is approved.",Candidate name only; detailed execution is unauthored.
ba_boss_skill_candidate.bone_guard.ring_intercept,bone_aspect_boss_c1_bone_guard,环形拦截,BA-ART-02-S010;BA-ART-02-S026;BA-ART-02-S027,SURVEY_CANDIDATE_ONLY,,false,true,false,false,true,BA-D1_RESOLVED_NARRATIVE_ONLY,BoneAspectBossPhaseDesignLock01,守骨奴自身环形防御意图候选。,"No cooldown, damage, target rules, HP, lifetime, timing, AI, animation timing or Runtime binding is approved.",Candidate name only; detailed execution is unauthored.
ba_boss_skill_candidate.bone_guard.bone_rope_pull,bone_aspect_boss_c1_bone_guard,骨绳牵引,BA-ART-02-S011;BA-ART-02-S016;BA-ART-02-S028;BA-ART-02-S029,SURVEY_CANDIDATE_ONLY,,false,true,false,false,true,BA-D1_RESOLVED_NARRATIVE_ONLY,BoneAspectBossPhaseDesignLock01,牵引/控制意图候选；Targeting/Battle 执行。,"No cooldown, damage, target rules, HP, lifetime, timing, AI, animation timing or Runtime binding is approved.",Candidate name only; detailed execution is unauthored.
ba_boss_skill_candidate.bone_guard.loyalty_glyph_shock,bone_aspect_boss_c1_bone_guard,忠字震击,BA-ART-03-S018,SURVEY_CANDIDATE_ONLY,,false,true,false,false,true,BA-D1_RESOLVED_NARRATIVE_ONLY,BoneAspectBossPhaseDesignLock01,“忠”字核心冲击意图候选。,"No cooldown, damage, target rules, HP, lifetime, timing, AI, animation timing or Runtime binding is approved.",Candidate name only; detailed execution is unauthored.
ba_boss_skill_candidate.bone_guard.broken_gate_charge,bone_aspect_boss_c1_bone_guard,残门突进,BA-ART-03-S020;BA-ART-03-S021,SURVEY_CANDIDATE_ONLY,,false,true,false,false,true,BA-D1_RESOLVED_NARRATIVE_ONLY,BoneAspectBossPhaseDesignLock01,破环后突进意图候选。,"No cooldown, damage, target rules, HP, lifetime, timing, AI, animation timing or Runtime binding is approved.",Candidate name only; detailed execution is unauthored.
ba_boss_skill_candidate.bone_guard.martyr_bone_rebound,bone_aspect_boss_c1_bone_guard,殉骨反震,BA-ART-03-S022,SURVEY_CANDIDATE_ONLY,,false,true,false,false,true,BA-D1_RESOLVED_NARRATIVE_ONLY,BoneAspectBossPhaseDesignLock01,反震意图候选；伤害结算由 Battle。,"No cooldown, damage, target rules, HP, lifetime, timing, AI, animation timing or Runtime binding is approved.",Candidate name only; detailed execution is unauthored.
ba_boss_skill_candidate.identity_bidder.mark_price,bone_aspect_boss_c2_identity_bidder,标价,BA-ART-05-S023;BA-ART-05-S024,SURVEY_CANDIDATE_ONLY,,false,true,false,false,true,BA-D2_RESOLVED_FALSE_CLONE_SEQUENTIAL_ONLY,BoneAspectBossPhaseDesignLock01,标价意图候选；目标与效果需 CrossSystem。,"No cooldown, damage, target rules, HP, lifetime, timing, AI, animation timing or Runtime binding is approved.",Candidate name only; detailed execution is unauthored.
ba_boss_skill_candidate.identity_bidder.read_contract,bone_aspect_boss_c2_identity_bidder,读契,BA-ART-05-S025;BA-ART-05-S026;BA-ART-06-S027;BA-ART-06-S028,SURVEY_CANDIDATE_ONLY,,false,true,false,false,true,BA-D2_RESOLVED_FALSE_CLONE_SEQUENTIAL_ONLY,BoneAspectBossPhaseDesignLock01,骨契册读条意图候选。,"No cooldown, damage, target rules, HP, lifetime, timing, AI, animation timing or Runtime binding is approved.",Candidate name only; detailed execution is unauthored.
ba_boss_skill_candidate.identity_bidder.price_drop_seal,bone_aspect_boss_c2_identity_bidder,落价印,BA-ART-05-S029;BA-ART-05-S030,SURVEY_CANDIDATE_ONLY,,false,true,false,false,true,BA-D2_RESOLVED_FALSE_CLONE_SEQUENTIAL_ONLY,BoneAspectBossPhaseDesignLock01,落价区域印记候选；Field/CrossSystem 执行。,"No cooldown, damage, target rules, HP, lifetime, timing, AI, animation timing or Runtime binding is approved.",Candidate name only; detailed execution is unauthored.
ba_boss_skill_candidate.identity_bidder.seal_action,bone_aspect_boss_c2_identity_bidder,封招,BA-ART-06-S029;BA-ART-06-S030,SURVEY_CANDIDATE_ONLY,,false,true,false,false,true,BA-D2_RESOLVED_FALSE_CLONE_SEQUENTIAL_ONLY,BoneAspectBossPhaseDesignLock01,书生相封招意图候选；不直接改玩家技能。,"No cooldown, damage, target rules, HP, lifetime, timing, AI, animation timing or Runtime binding is approved.",Candidate name only; detailed execution is unauthored.
ba_boss_skill_candidate.identity_bidder.ink_prison,bone_aspect_boss_c2_identity_bidder,墨落成狱,BA-ART-06-S031;BA-ART-06-S032,SURVEY_CANDIDATE_ONLY,,false,true,false,false,true,BA-D2_RESOLVED_FALSE_CLONE_SEQUENTIAL_ONLY,BoneAspectBossPhaseDesignLock01,书生相区域围禁候选。,"No cooldown, damage, target rules, HP, lifetime, timing, AI, animation timing or Runtime binding is approved.",Candidate name only; detailed execution is unauthored.
ba_boss_skill_candidate.identity_bidder.bidding_charge,bone_aspect_boss_c2_identity_bidder,竞价冲阵,BA-ART-06-S034,SURVEY_CANDIDATE_ONLY,,false,true,false,false,true,BA-D2_RESOLVED_FALSE_CLONE_SEQUENTIAL_ONLY,BoneAspectBossPhaseDesignLock01,将军相冲阵候选。,"No cooldown, damage, target rules, HP, lifetime, timing, AI, animation timing or Runtime binding is approved.",Candidate name only; detailed execution is unauthored.
ba_boss_skill_candidate.identity_bidder.blazing_blade_sweep,bone_aspect_boss_c2_identity_bidder,烈刃横扫,BA-ART-06-S035,SURVEY_CANDIDATE_ONLY,,false,true,false,false,true,BA-D2_RESOLVED_FALSE_CLONE_SEQUENTIAL_ONLY,BoneAspectBossPhaseDesignLock01,将军相横扫候选。,"No cooldown, damage, target rules, HP, lifetime, timing, AI, animation timing or Runtime binding is approved.",Candidate name only; detailed execution is unauthored.
