"conceptId","conceptKind","conceptLabelZh","primaryClassification","supportingSurveyRowIds","factOwner","runtimeStateOwner","consumer","forbiddenDirectConnection","recommendedPackageFamily","extensionEligible","decisionBlocked","runtimeImplemented","notesDeveloperOnly"
"ba_gap_candidate.charge_attack","SURVEY_EXTENSION_CANDIDATE","冲撞攻击","NEW_VOCABULARY_CANDIDATE","GAP-003","ENEMY_DATA","BATTLE_FIELD_RUNTIME","ENEMY_DATA","不得在本包 mint accepted E02 stable key 或创建 Runtime consumer","BONE_ASPECT_MECHANIC_VOCABULARY_EXTENSION01","true","false","false","Evidence rows=1; this row is ownership routing only, not implementation."
"ba_gap_candidate.contested_mark","SURVEY_EXTENSION_CANDIDATE","争夺标记","NEW_VOCABULARY_CANDIDATE","GAP-015","ENEMY_DATA","ENEMY_RUNTIME_STATE","ENEMY_DATA","不得在本包 mint accepted E02 stable key 或创建 Runtime consumer","BONE_ASPECT_MECHANIC_VOCABULARY_EXTENSION01","true","false","false","Evidence rows=1; this row is ownership routing only, not implementation."
"ba_gap_candidate.damage_reduction","SURVEY_EXTENSION_CANDIDATE","减伤","NEW_VOCABULARY_CANDIDATE","GAP-016","ENEMY_DATA","BATTLE_RESOLVER","ENEMY_DATA","不得在本包 mint accepted E02 stable key 或创建 Runtime consumer","BONE_ASPECT_MECHANIC_VOCABULARY_EXTENSION01","true","false","false","Evidence rows=1; this row is ownership routing only, not implementation."
"ba_gap_candidate.possession_state","SURVEY_EXTENSION_CANDIDATE","附身状态","NEW_VOCABULARY_CANDIDATE","GAP-001","ENEMY_DATA","ENEMY_RUNTIME_STATE","ENEMY_DATA","不得在本包 mint accepted E02 stable key 或创建 Runtime consumer","BONE_ASPECT_MECHANIC_VOCABULARY_EXTENSION01","true","false","false","Evidence rows=1; this row is ownership routing only, not implementation."
"ba_gap_candidate.recognition_reveal_window","SURVEY_EXTENSION_CANDIDATE","识破后显露窗口","NEW_VOCABULARY_CANDIDATE","GAP-010","ENEMY_DATA","BATTLE_RESOLVER","ENEMY_DATA","不得在本包 mint accepted E02 stable key 或创建 Runtime consumer","BONE_ASPECT_MECHANIC_VOCABULARY_EXTENSION01","true","false","false","Evidence rows=1; this row is ownership routing only, not implementation."
"ba_gap_candidate.status_stack","SURVEY_EXTENSION_CANDIDATE","状态叠加","NEW_VOCABULARY_CANDIDATE","GAP-005","ENEMY_DATA","ENEMY_RUNTIME_STATE","ENEMY_DATA","不得在本包 mint accepted E02 stable key 或创建 Runtime consumer","BONE_ASPECT_MECHANIC_VOCABULARY_EXTENSION01","true","false","false","Evidence rows=1; this row is ownership routing only, not implementation."
"ba_gap_candidate.weakpoint_exposure_window","SURVEY_EXTENSION_CANDIDATE","弱点暴露窗口","NEW_VOCABULARY_CANDIDATE","GAP-039","ENEMY_DATA","BATTLE_RESOLVER","ENEMY_DATA","不得在本包 mint accepted E02 stable key 或创建 Runtime consumer","BONE_ASPECT_MECHANIC_VOCABULARY_EXTENSION01","true","false","false","Evidence rows=1; this row is ownership routing only, not implementation."
"e02.counter_window.cleanse_reveal","ACCEPTED_E02_KEY","净化后显形","EXACT_E02_REUSE","REUSE-017","ENEMY_DATA","BATTLE_RESOLVER","ENEMY_DATA","不得把 CandidateReuseOnly 或 SurveyMatchOnly 直接升级为 Runtime binding","BONE_ASPECT_SKILL_COUNTER_WINDOW_BOSS_PHASE_DATA_FUTURE","false","false","false","Evidence rows=1; this row is ownership routing only, not implementation."
"e02.counter_window.interrupt_stagger","ACCEPTED_E02_KEY","打断后僵直","EXACT_E02_REUSE","REUSE-004;REUSE-020;REUSE-026;REUSE-032","ENEMY_DATA","BATTLE_RESOLVER","ENEMY_DATA","不得把 CandidateReuseOnly 或 SurveyMatchOnly 直接升级为 Runtime binding","BONE_ASPECT_SKILL_COUNTER_WINDOW_BOSS_PHASE_DATA_FUTURE","false","false","false","Evidence rows=4; this row is ownership routing only, not implementation."
"e02.counter_window.shell_break","ACCEPTED_E02_KEY","破壳后虚弱","EXACT_E02_REUSE","GAP-004;GAP-017;GAP-033;REUSE-002;REUSE-007;REUSE-013;REUSE-023","ENEMY_DATA","BATTLE_RESOLVER","ENEMY_DATA","不得把 CandidateReuseOnly 或 SurveyMatchOnly 直接升级为 Runtime binding","BONE_ASPECT_SKILL_COUNTER_WINDOW_BOSS_PHASE_DATA_FUTURE","false","false","false","Evidence rows=7; this row is ownership routing only, not implementation."
"e02.mechanic.basic_pressure","ACCEPTED_E02_KEY","基础压力","EXACT_E02_REUSE","REUSE-010;REUSE-014;REUSE-016;REUSE-027;REUSE-033","ENEMY_DATA","ENEMY_RUNTIME_STATE","ENEMY_DATA","不得把 CandidateReuseOnly 或 SurveyMatchOnly 直接升级为 Runtime binding","BONE_ASPECT_SKILL_COUNTER_WINDOW_BOSS_PHASE_DATA_FUTURE","false","false","false","Evidence rows=5; this row is ownership routing only, not implementation."
"e02.mechanic.burst_spike","ACCEPTED_E02_KEY","高爆发","EXACT_E02_REUSE","REUSE-008;REUSE-034","ENEMY_DATA","ENEMY_RUNTIME_STATE","ENEMY_DATA","不得把 CandidateReuseOnly 或 SurveyMatchOnly 直接升级为 Runtime binding","BONE_ASPECT_SKILL_COUNTER_WINDOW_BOSS_PHASE_DATA_FUTURE","false","false","false","Evidence rows=2; this row is ownership routing only, not implementation."
"e02.mechanic.energy_drain","ACCEPTED_E02_KEY","偷灵与能量削减","EXACT_E02_REUSE","GAP-021","ENEMY_DATA","CROSS_SYSTEM_EFFECT_CONTRACT","CROSS_SYSTEM_EFFECT_CONTRACT","不得由 Enemy 保存第二份玩家资源、直接修改资源值或把词汇复用升级为执行授权","CROSS_SYSTEM_EFFECT_CONTRACT","false","false","false","Evidence rows=1; E02 只表达资源窃取机制意图，资源身份与实际增减仍由既有 Player/Battle Resource Owner 执行。"
"e02.mechanic.formation_eye_disruption","ACCEPTED_E02_KEY","阵眼干扰","EXACT_E02_REUSE","REUSE-005","ENEMY_DATA","ENEMY_RUNTIME_STATE","ENEMY_DATA","不得把 CandidateReuseOnly 或 SurveyMatchOnly 直接升级为 Runtime binding","BONE_ASPECT_SKILL_COUNTER_WINDOW_BOSS_PHASE_DATA_FUTURE","false","false","false","Evidence rows=1; this row is ownership routing only, not implementation."
"e02.mechanic.layered_shield","ACCEPTED_E02_KEY","层叠护盾","EXACT_E02_REUSE","REUSE-001;REUSE-006;REUSE-012;REUSE-022","ENEMY_DATA","ENEMY_RUNTIME_STATE","ENEMY_DATA","不得把 CandidateReuseOnly 或 SurveyMatchOnly 直接升级为 Runtime binding","BONE_ASPECT_SKILL_COUNTER_WINDOW_BOSS_PHASE_DATA_FUTURE","false","false","false","Evidence rows=4; this row is ownership routing only, not implementation."
"e02.mechanic.long_cast","ACCEPTED_E02_KEY","长读条施法","EXACT_E02_REUSE","GAP-028;REUSE-003;REUSE-018;REUSE-024;REUSE-030","ENEMY_DATA","ENEMY_RUNTIME_STATE","ENEMY_DATA","不得把 CandidateReuseOnly 或 SurveyMatchOnly 直接升级为 Runtime binding","BONE_ASPECT_SKILL_COUNTER_WINDOW_BOSS_PHASE_DATA_FUTURE","false","false","false","Evidence rows=5; this row is ownership routing only, not implementation."
"e02.mechanic.polluted_tile","ACCEPTED_E02_KEY","污染格","EXACT_E02_REUSE","REUSE-011;REUSE-028","ENEMY_DATA","ENEMY_RUNTIME_STATE","ENEMY_DATA","不得把 CandidateReuseOnly 或 SurveyMatchOnly 直接升级为 Runtime binding","BONE_ASPECT_SKILL_COUNTER_WINDOW_BOSS_PHASE_DATA_FUTURE","false","false","false","Evidence rows=2; this row is ownership routing only, not implementation."
"e02.mechanic.swarm_summon","ACCEPTED_E02_KEY","群怪与召唤","EXACT_E02_REUSE","REUSE-015;REUSE-029","ENEMY_DATA","ENEMY_RUNTIME_STATE","ENEMY_DATA","不得把 CandidateReuseOnly 或 SurveyMatchOnly 直接升级为 Runtime binding","BONE_ASPECT_SKILL_COUNTER_WINDOW_BOSS_PHASE_DATA_FUTURE","false","false","false","Evidence rows=2; this row is ownership routing only, not implementation."
"e02.mechanic.talisman_seal","ACCEPTED_E02_KEY","封符","EXACT_E02_REUSE","GAP-011;GAP-020;REUSE-009;REUSE-019;REUSE-025;REUSE-031","ENEMY_DATA","ENEMY_RUNTIME_STATE","ENEMY_DATA","不得把 CandidateReuseOnly 或 SurveyMatchOnly 直接升级为 Runtime binding","BONE_ASPECT_SKILL_COUNTER_WINDOW_BOSS_PHASE_DATA_FUTURE","false","false","false","Evidence rows=6; this row is ownership routing only, not implementation."
"e02.pressure.multi_target","ACCEPTED_E02_KEY","多目标压力","EXACT_E02_REUSE","GAP-013;GAP-024;REUSE-021","ENEMY_DATA","ENEMY_RUNTIME_STATE","ENEMY_DATA","不得把 CandidateReuseOnly 或 SurveyMatchOnly 直接升级为 Runtime binding","BONE_ASPECT_SKILL_COUNTER_WINDOW_BOSS_PHASE_DATA_FUTURE","false","false","false","Evidence rows=3; this row is ownership routing only, not implementation."
"survey_composition.basic_burst_composite_attack","E02_COMPOSITION","基础与爆发攻击组合","COMPOSED_FROM_EXISTING_E02","GAP-029","ENEMY_DATA","BATTLE_RESOLVER","ENEMY_DATA","不得为可组合语义新增冗余原子 key","BONE_ASPECT_SKILL_COUNTER_WINDOW_BOSS_PHASE_DATA_FUTURE","false","false","false","Evidence rows=1; this row is ownership routing only, not implementation."
"survey_composition.seal_control_suppression","E02_COMPOSITION","封符与控制压力组合","COMPOSED_FROM_EXISTING_E02","GAP-019","ENEMY_DATA","ENEMY_RUNTIME_STATE","ENEMY_DATA","不得为可组合语义新增冗余原子 key","BONE_ASPECT_SKILL_COUNTER_WINDOW_BOSS_PHASE_DATA_FUTURE","false","false","false","Evidence rows=1; this row is ownership routing only, not implementation."
"survey_contract.blank_fragment_unseal","CROSS_SYSTEM_CONTRACT","空白骨片解封合同","CROSS_SYSTEM_CONTRACT_REQUIRED","GAP-043","ITEM_READONLY_FACT_CONTRACT","CROSS_SYSTEM_EFFECT_CONTRACT","CROSS_SYSTEM_EFFECT_CONTRACT","Enemy 不得直接读写其他系统内部状态或建立第二真源","CROSS_SYSTEM_EFFECT_CONTRACT_FUTURE","false","false","false","Evidence rows=1; this row is ownership routing only, not implementation."
"survey_contract.buff_steal","CROSS_SYSTEM_CONTRACT","增益抢夺请求","CROSS_SYSTEM_CONTRACT_REQUIRED","GAP-014","ENEMY_DATA","CROSS_SYSTEM_EFFECT_CONTRACT","CROSS_SYSTEM_EFFECT_CONTRACT","Enemy 不得直接读写其他系统内部状态或建立第二真源","CROSS_SYSTEM_EFFECT_CONTRACT_FUTURE","false","false","false","Evidence rows=1; this row is ownership routing only, not implementation."
"survey_contract.false_target_legality","CROSS_SYSTEM_CONTRACT","错误目标合法性","CROSS_SYSTEM_CONTRACT_REQUIRED","GAP-008","ENEMY_DATA","BATTLE_TARGETING_RUNTIME","BATTLE_TARGETING_RUNTIME","Enemy 不得直接读写其他系统内部状态或建立第二真源","CROSS_SYSTEM_EFFECT_CONTRACT_FUTURE","false","false","false","Evidence rows=1; this row is ownership routing only, not implementation."
"survey_contract.interrupt_player_effect","CROSS_SYSTEM_CONTRACT","打断玩家效果请求","CROSS_SYSTEM_CONTRACT_REQUIRED","GAP-012;GAP-018","ENEMY_DATA","CROSS_SYSTEM_EFFECT_CONTRACT","CROSS_SYSTEM_EFFECT_CONTRACT","Enemy 不得直接读写其他系统内部状态或建立第二真源","CROSS_SYSTEM_EFFECT_CONTRACT_FUTURE","false","false","false","Evidence rows=2; this row is ownership routing only, not implementation."
"survey_contract.item_category_lock","CROSS_SYSTEM_CONTRACT","器类锁定请求","CROSS_SYSTEM_CONTRACT_REQUIRED","GAP-027","ITEM_READONLY_FACT_CONTRACT","CROSS_SYSTEM_EFFECT_CONTRACT","CROSS_SYSTEM_EFFECT_CONTRACT","Enemy 不得直接读写其他系统内部状态或建立第二真源","CROSS_SYSTEM_EFFECT_CONTRACT_FUTURE","false","false","false","Evidence rows=1; this row is ownership routing only, not implementation."
"survey_contract.item_effect_seal","CROSS_SYSTEM_CONTRACT","道具效果封存请求","CROSS_SYSTEM_CONTRACT_REQUIRED","GAP-026","ITEM_READONLY_FACT_CONTRACT","CROSS_SYSTEM_EFFECT_CONTRACT","CROSS_SYSTEM_EFFECT_CONTRACT","Enemy 不得直接读写其他系统内部状态或建立第二真源","CROSS_SYSTEM_EFFECT_CONTRACT_FUTURE","false","false","false","Evidence rows=1; this row is ownership routing only, not implementation."
"survey_contract.true_false_position_swap","CROSS_SYSTEM_CONTRACT","真假位置交换","CROSS_SYSTEM_CONTRACT_REQUIRED","GAP-009","ENEMY_DATA","BATTLE_TARGETING_RUNTIME","BATTLE_TARGETING_RUNTIME","Enemy 不得直接读写其他系统内部状态或建立第二真源","CROSS_SYSTEM_EFFECT_CONTRACT_FUTURE","false","false","false","Evidence rows=1; this row is ownership routing only, not implementation."
"survey_decision.ba_d1_protected_target","USER_DECISION","BA-D1 真实保护目标","USER_DECISION_BLOCKED","GAP-032","USER_DESIGN_DECISION","USER_DESIGN_DECISION","USER_DESIGN_DECISION","不得代用户选择或为未决方案建立默认实现","USER_DESIGN_DECISION","false","true","false","Evidence rows=1; this row is ownership routing only, not implementation."
"survey_decision.ba_d2_auxiliary","USER_DECISION","BA-D2 辅助机制","USER_DECISION_BLOCKED","GAP-036","USER_DESIGN_DECISION","USER_DESIGN_DECISION","USER_DESIGN_DECISION","不得代用户选择或为未决方案建立默认实现","USER_DESIGN_DECISION","false","true","false","Evidence rows=1; this row is ownership routing only, not implementation."
"survey_decision.ba_d3_copy_scope","USER_DECISION","BA-D3 Copy 范围","USER_DECISION_BLOCKED","GAP-007;GAP-022;GAP-023","USER_DESIGN_DECISION","USER_DESIGN_DECISION","USER_DESIGN_DECISION","不得代用户选择或为未决方案建立默认实现","USER_DESIGN_DECISION","false","true","false","Evidence rows=3; this row is ownership routing only, not implementation."
"survey_decision.ba_d4_form_semantics","USER_DECISION","BA-D4 两形态语义","USER_DECISION_BLOCKED","GAP-042","USER_DESIGN_DECISION","USER_DESIGN_DECISION","USER_DESIGN_DECISION","不得代用户选择或为未决方案建立默认实现","USER_DESIGN_DECISION","false","true","false","Evidence rows=1; this row is ownership routing only, not implementation."
"survey_decision.ba_d4_seal_target","USER_DECISION","BA-D4 封存对象","USER_DECISION_BLOCKED","GAP-041","USER_DESIGN_DECISION","USER_DESIGN_DECISION","USER_DESIGN_DECISION","不得代用户选择或为未决方案建立默认实现","USER_DESIGN_DECISION","false","true","false","Evidence rows=1; this row is ownership routing only, not implementation."
"survey_presentation.final_boss_foreshadowing","PRESENTATION_CONCEPT","最终 Boss 机制预演","PRESENTATION_ONLY","GAP-031","SHARED_ENCOUNTER_PRESENTATION","SHARED_ENCOUNTER_PRESENTATION","SHARED_ENCOUNTER_PRESENTATION","不得把视觉 cue 当作 gameplay truth 或玩家答案","SHARED_ENCOUNTER_PRESENTATION_FUTURE","false","false","false","Evidence rows=1; this row is ownership routing only, not implementation."
"survey_presentation.memory_backflow_collapse","PRESENTATION_CONCEPT","记忆回流崩解","PRESENTATION_ONLY","GAP-044","SHARED_ENCOUNTER_PRESENTATION","ENEMY_RUNTIME_STATE","SHARED_ENCOUNTER_PRESENTATION","不得把视觉 cue 当作 gameplay truth 或玩家答案","SHARED_ENCOUNTER_PRESENTATION_FUTURE","false","false","false","Evidence rows=1; this row is ownership routing only, not implementation."
"survey_runtime.attribute_mode_switch","RUNTIME_FACT","属性模式切换","RUNTIME_ONLY_NOT_VOCABULARY","GAP-030","ENEMY_DATA","ENEMY_RUNTIME_STATE","ENEMY_RUNTIME_STATE","不得用 Vocabulary 代替 Runtime producer、状态转换或执行结果","BONE_ASPECT_RUNTIME_OR_BATTLE_CONTRACT_FUTURE","false","false","false","Evidence rows=1; this row is ownership routing only, not implementation."
"survey_runtime.cease_attack_and_yield","RUNTIME_FACT","停止攻击并让路","RUNTIME_ONLY_NOT_VOCABULARY","GAP-040","ENEMY_DATA","ENEMY_RUNTIME_STATE","ENEMY_RUNTIME_STATE","不得用 Vocabulary 代替 Runtime producer、状态转换或执行结果","BONE_ASPECT_RUNTIME_OR_BATTLE_CONTRACT_FUTURE","false","false","false","Evidence rows=1; this row is ownership routing only, not implementation."
"survey_runtime.defense_offense_phase_states","RUNTIME_FACT","防守/进攻阶段状态","RUNTIME_ONLY_NOT_VOCABULARY","GAP-037;GAP-038","ENEMY_DATA","ENEMY_RUNTIME_STATE","ENEMY_RUNTIME_STATE","不得用 Vocabulary 代替 Runtime producer、状态转换或执行结果","BONE_ASPECT_RUNTIME_OR_BATTLE_CONTRACT_FUTURE","false","false","false","Evidence rows=2; this row is ownership routing only, not implementation."
"survey_runtime.identity_linked_weakness","RUNTIME_FACT","身份关联弱点","RUNTIME_ONLY_NOT_VOCABULARY","GAP-035","ENEMY_DATA","ENEMY_RUNTIME_STATE","ENEMY_RUNTIME_STATE","不得用 Vocabulary 代替 Runtime producer、状态转换或执行结果","BONE_ASPECT_RUNTIME_OR_BATTLE_CONTRACT_FUTURE","false","false","false","Evidence rows=1; this row is ownership routing only, not implementation."
"survey_runtime.identity_mode_switch","RUNTIME_FACT","身份模式切换","RUNTIME_ONLY_NOT_VOCABULARY","GAP-034","ENEMY_DATA","ENEMY_RUNTIME_STATE","ENEMY_RUNTIME_STATE","不得用 Vocabulary 代替 Runtime producer、状态转换或执行结果","BONE_ASPECT_RUNTIME_OR_BATTLE_CONTRACT_FUTURE","false","false","false","Evidence rows=1; this row is ownership routing only, not implementation."
"survey_runtime.low_health_split_transition","RUNTIME_FACT","低血量分裂转换","RUNTIME_ONLY_NOT_VOCABULARY","GAP-006","ENEMY_RUNTIME_STATE","BATTLE_FIELD_RUNTIME","BATTLE_FIELD_RUNTIME","不得用 Vocabulary 代替 Runtime producer、状态转换或执行结果","BONE_ASPECT_RUNTIME_OR_BATTLE_CONTRACT_FUTURE","false","false","false","Evidence rows=1; this row is ownership routing only, not implementation."
