"checkId","expected","actual","result"
"schema.id","BuildCapabilityReadContract.v1","BuildCapabilityReadContract.v1","PASS"
"schema.version","1","1","PASS"
"scale.minimum","0","0","PASS"
"scale.maximum","10000","10000","PASS"
"fixture.knownKeys","16","16","PASS"
"fixture.completeValues","16","16","PASS"
"fixture.sparseValues","4","4","PASS"
"fixture.sparseEmptyValues","0","0","PASS"
"fixture.sourceSummaries","6","6","PASS"
"fixture.gapShapes","3","3","PASS"
"fixture.readinessBands","Unknown;Blocked;Strained;Ready;Strong","Unknown;Blocked;Strained;Ready;Strong","PASS"
"query.knownZero","true/0","True/0","PASS"
"query.unknown","false/null","False/null","PASS"
"query.ordinal","false","False","PASS"
"query.null","false","False","PASS"
"canonical.format","^sha256:[0-9a-f]{64}$","sha256:8337c22a3709fa19b5fcf0ff4b9bd34a5a7aae6e694f595ceefb07a531d46776","PASS"
"canonical.orderIndependent","sha256:8337c22a3709fa19b5fcf0ff4b9bd34a5a7aae6e694f595ceefb07a531d46776","sha256:8337c22a3709fa19b5fcf0ff4b9bd34a5a7aae6e694f595ceefb07a531d46776","PASS"
"canonical.valueSensitive","different","sha256:7c7bc9ab18e8377808e02c9cfc1f1853216190955dd6553d58018c4c38c24638","PASS"
"canonical.summarySensitive","different","sha256:46b0458a923aed51840dd74a71d45de8273c18d6c3033fe8000e7fb1e61dac36","PASS"
"canonical.coverageSensitive","different","sha256:b65f5706056c3d8b80f43d9ac02a9147f8656f4ca625597f37ec032b6d44e132","PASS"
"canonical.snapshotIdSensitive","different","sha256:eb6a39ed9201065001c92e067e8a05e1e718cb9c16ccf6f92933e93212e8e4f6","PASS"
"canonical.revisionSensitive","different","sha256:daab1147eedcf48c75047843c9d0167b38e7d75b76cc4953b0893cd772807c5a","PASS"
"immutable.inputDefensiveCopy","16","16","PASS"
"immutable.values","true","True","PASS"
"immutable.summaries","true","True","PASS"
"immutable.mutationRejected","true","True","PASS"
"isolation.fixture","true","True","PASS"
"gap.shapeFields","true","True","PASS"
"gap.knownAndUnknown","Known;Unknown","Unknown;Known","PASS"
"invalid.nullInput","INPUT_NULL","INPUT_NULL","PASS"
"invalid.nullResolver","RESOLVER_NULL","COMPLETE_KEY_COUNT_MISMATCH;RESOLVER_NULL","PASS"
"invalid.schemaId","SCHEMA_ID_MISMATCH","SCHEMA_ID_MISMATCH","PASS"
"invalid.schemaVersion","SCHEMA_VERSION_MISMATCH","SCHEMA_VERSION_MISMATCH","PASS"
"invalid.emptyId","ID_EMPTY","ID_EMPTY","PASS"
"invalid.idWhitespace","ID_OUTER_WHITESPACE","ID_OUTER_WHITESPACE","PASS"
"invalid.idPath","ID_SENSITIVE_SEMANTIC","ID_SENSITIVE_SEMANTIC","PASS"
"invalid.revisionSlot","ID_SENSITIVE_SEMANTIC","ID_SENSITIVE_SEMANTIC","PASS"
"invalid.coverage","COVERAGE_MODE_UNKNOWN","COVERAGE_MODE_UNKNOWN","PASS"
"invalid.nullValue","CAPABILITY_VALUE_NULL","CAPABILITY_VALUE_NULL;COMPLETE_KEY_COUNT_MISMATCH;COMPLETE_KEY_MISSING","PASS"
"invalid.duplicateKey","BUILD_CAPABILITY_KEY_DUPLICATE","BUILD_CAPABILITY_KEY_DUPLICATE","PASS"
"invalid.emptyKey","BUILD_CAPABILITY_KEY_EMPTY","BUILD_CAPABILITY_KEY_EMPTY;COMPLETE_KEY_MISSING","PASS"
"invalid.wrongKeyCategory","BUILD_CAPABILITY_KEY_CATEGORY_INVALID","BUILD_CAPABILITY_KEY_CATEGORY_INVALID;BUILD_CAPABILITY_KEY_UNKNOWN;COMPLETE_KEY_MISSING","PASS"
"invalid.unknownKey","BUILD_CAPABILITY_KEY_UNKNOWN","BUILD_CAPABILITY_KEY_CATEGORY_INVALID;BUILD_CAPABILITY_KEY_UNKNOWN;COMPLETE_KEY_MISSING","PASS"
"invalid.valueLow","VALUE_BASIS_POINTS_OUT_OF_RANGE","VALUE_BASIS_POINTS_OUT_OF_RANGE","PASS"
"invalid.valueHigh","VALUE_BASIS_POINTS_OUT_OF_RANGE","VALUE_BASIS_POINTS_OUT_OF_RANGE","PASS"
"invalid.nullSummary","SOURCE_SUMMARY_NULL","SOURCE_SUMMARY_NULL","PASS"
"invalid.emptySource","SOURCE_CATEGORY_ID_EMPTY","SOURCE_CATEGORY_ID_EMPTY","PASS"
"invalid.sourceWhitespace","SOURCE_CATEGORY_ID_OUTER_WHITESPACE","SOURCE_CATEGORY_ID_OUTER_WHITESPACE","PASS"
"invalid.duplicateSource","SOURCE_CATEGORY_ID_DUPLICATE","SOURCE_CATEGORY_ID_DUPLICATE","PASS"
"invalid.sourceCount","SOURCE_COUNT_INVALID","SOURCE_COUNT_INVALID","PASS"
"invalid.contributionLow","CONTRIBUTION_BASIS_POINTS_OUT_OF_RANGE","CONTRIBUTION_BASIS_POINTS_OUT_OF_RANGE","PASS"
"invalid.contributionHigh","CONTRIBUTION_BASIS_POINTS_OUT_OF_RANGE","CONTRIBUTION_BASIS_POINTS_OUT_OF_RANGE","PASS"
"invalid.completeCount","COMPLETE_KEY_COUNT_MISMATCH","COMPLETE_KEY_COUNT_MISMATCH;COMPLETE_KEY_MISSING","PASS"
"invalid.completeMissing","COMPLETE_KEY_MISSING","COMPLETE_KEY_COUNT_MISMATCH;COMPLETE_KEY_MISSING","PASS"
"valid.sparseSubset","0","0","PASS"
"valid.sparseEmpty","0","0","PASS"
"invalid.devOnly","DEV_ONLY_REQUIRED","DEV_ONLY_REQUIRED","PASS"
"invalid.enabled","ENABLED_FORBIDDEN","ENABLED_FORBIDDEN","PASS"
"invalid.formalFlow","FORMAL_FLOW_FORBIDDEN","FORMAL_FLOW_FORBIDDEN","PASS"
