caseId,category,expected,actual,validationCode,result
"basic-success","basic","true","true","NONE","PASS"
"drop-schema-v1","basic","true","true","NONE","PASS"
"drop-algorithm-v1","basic","true","true","NONE","PASS"
"qa-status-output","isolation","true","true","NONE","PASS"
"complete-generated-instance","basic","true","true","NONE","PASS"
"canonical-signature-stable","basic","true","true","NONE","PASS"
"candidate-domain-golden","golden","6DEE1D6E50111E1B","6DEE1D6E50111E1B","NONE","PASS"
"rarity-domain-golden","golden","7882C5BB16185E78","7882C5BB16185E78","NONE","PASS"
"segmented-domain-collision-vector","golden","57B30C3DC752992A/12F4959138EDF7BC","57B30C3DC752992A/12F4959138EDF7BC","NONE","PASS"
"segmented-domain-collision-separated","domain","true","true","NONE","PASS"
"domain-empty-segment-rejected","domain","true","true","NONE","PASS"
"candidate-pool-exact-i001-i030","candidate","true","true","NONE","PASS"
"candidate-pool-count-30","candidate","true","true","NONE","PASS"
"candidate-pool-no-i031","candidate","true","true","NONE","PASS"
"candidate-many-seeds-stay-i001-i030","candidate","true","true","NONE","PASS"
"stage-1-locked-white","early-stage","true","true","NONE","PASS"
"stage-2-locked-white","early-stage","true","true","NONE","PASS"
"stage-3-locked-white","early-stage","true","true","NONE","PASS"
"stage-4-locked-white","early-stage","true","true","NONE","PASS"
"stage-5-locked-white","early-stage","true","true","NONE","PASS"
"stage-6-locked-white","early-stage","true","true","NONE","PASS"
"stage-7-locked-white","early-stage","true","true","NONE","PASS"
"stage-8-locked-white","early-stage","true","true","NONE","PASS"
"stage-9-locked-white","early-stage","true","true","NONE","PASS"
"stage-10-locked-white","early-stage","true","true","NONE","PASS"
"stage-1-10-many-seeds-white","early-stage","true","true","NONE","PASS"
"early-stage-policy-source","early-stage","true","true","NONE","PASS"
"early-stage-rarity-profile-id-empty","early-stage","true","true","NONE","PASS"
