baseItemId,itemName,coreEffectId,nodeKind,displayName,description,effectType,unlockLevel,requiredRarity,effectId,category,operation,valueUnitKey,valueUnits,stateDescription,dataMaturity,designNote
"I001","震雷符","candidate_core_i001_01","Core1","震雷符·初识","震雷符点亮后，“引雷”的基础候选效果获得第一层强化。","TriggeredEffect","10","white","candidate_core_i001_01","TriggeredEffect","AddPercent","basisPoint","500","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I001","震雷符","candidate_core_i001_02","Core2","震雷符·承式","触发“引雷”后返还一部分节奏资源，并保留下一次触发条件。","TriggeredEffect","20","green","candidate_core_i001_02","TriggeredEffect","AddPercent","basisPoint","666","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I001","震雷符","candidate_core_i001_03","Core3","震雷符·合脉","同属zhenlei法门的已点亮道具达到Build2时，“引雷”追加协同数值。","CoreEffect","30","blue","candidate_core_i001_03","CoreEffect","AddPercent","basisPoint","832","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I001","震雷符","candidate_core_i001_04","Core4","震雷符·转机","“引雷”满足关键条件后额外触发一次，但受独立冷却限制。","CoreEffect","40","purple","candidate_core_i001_04","CoreEffect","ExtraTrigger","basisPoint","998","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I001","震雷符","candidate_core_i001_ultimate","Ultimate","震雷符·成法","震雷符完成成法后，将“引雷”的触发结果转换为一次不消耗原状态的机制回响；每轮限一次。","MechanicConversion","40","orange","candidate_core_i001_ultimate","MechanicConversion","Convert","basisPoint","1164","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","机制转换型终极核心；不是单纯倍率放大。"
"I002","五雷急符","candidate_core_i002_01","Core1","五雷急符·初识","五雷急符点亮后，“急引”的基础候选效果获得第一层强化。","CooldownEffect","10","white","candidate_core_i002_01","CooldownEffect","Refund","point","1","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I002","五雷急符","candidate_core_i002_02","Core2","五雷急符·承式","触发“急引”后返还一部分节奏资源，并保留下一次触发条件。","CooldownEffect","20","green","candidate_core_i002_02","CooldownEffect","Refund","point","2","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I002","五雷急符","candidate_core_i002_03","Core3","五雷急符·合脉","同属zhenlei法门的已点亮道具达到Build2时，“急引”追加协同数值。","CoreEffect","30","blue","candidate_core_i002_03","CoreEffect","AddPercent","point","3","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I002","五雷急符","candidate_core_i002_04","Core4","五雷急符·转机","“急引”满足关键条件后额外触发一次，但受独立冷却限制。","CoreEffect","40","purple","candidate_core_i002_04","CoreEffect","ExtraTrigger","point","4","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I002","五雷急符","candidate_core_i002_ultimate","Ultimate","五雷急符·成法","五雷急符完成成法后，将“急引”的触发结果转换为一次不消耗原状态的机制回响；每轮限一次。","MechanicConversion","40","orange","candidate_core_i002_ultimate","MechanicConversion","Convert","point","5","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","机制转换型终极核心；不是单纯倍率放大。"
"I003","震雷破壳印","candidate_core_i003_01","Core1","震雷破壳印·初识","震雷破壳印点亮后，“破壳”的基础候选效果获得第一层强化。","ConditionalModifier","10","white","candidate_core_i003_01","ConditionalModifier","AddPercent","basisPoint","650","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I003","震雷破壳印","candidate_core_i003_02","Core2","震雷破壳印·承式","触发“破壳”后返还一部分节奏资源，并保留下一次触发条件。","ConditionalModifier","20","green","candidate_core_i003_02","ConditionalModifier","AddPercent","basisPoint","866","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I003","震雷破壳印","candidate_core_i003_03","Core3","震雷破壳印·合脉","同属zhenlei法门的已点亮道具达到Build2时，“破壳”追加协同数值。","CoreEffect","30","blue","candidate_core_i003_03","CoreEffect","AddPercent","basisPoint","1082","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I003","震雷破壳印","candidate_core_i003_04","Core4","震雷破壳印·转机","“破壳”满足关键条件后额外触发一次，但受独立冷却限制。","CoreEffect","40","purple","candidate_core_i003_04","CoreEffect","ExtraTrigger","basisPoint","1298","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
"I003","震雷破壳印","candidate_core_i003_ultimate","Ultimate","震雷破壳印·成法","震雷破壳印完成成法后，将“破壳”的触发结果转换为一次不消耗原状态的机制回响；每轮限一次。","MechanicConversion","40","orange","candidate_core_i003_ultimate","MechanicConversion","Convert","basisPoint","1514","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","机制转换型终极核心；不是单纯倍率放大。"
"I004","五雷急令","candidate_core_i004_01","Core1","五雷急令·初识","五雷急令点亮后，“催雷”的基础候选效果获得第一层强化。","TriggeredEffect","10","white","candidate_core_i004_01","TriggeredEffect","ExtraTarget","count","1","品阶满足后可见；养成解锁且实例点亮时才可激活。","BALANCE_CANDIDATE","同原型五层递进候选核心。"
