caseId,itemId,placementId,contextKind,playerSectionCount,debugFieldCount,lightingState,arrayState,awakeningState,faMenBuildStage,qiLeiBuildStage,monitorState,snapshotFallback,duplicateProjectionCheck,layoutCheck,expectedResult,actualResult
"projection-context-mode","I001","","CatalogPreview","15","25","尚未入阵","阵脉未计算","","当前道具没有可统计的Build轨道。","当前道具没有可统计的Build轨道。","尚未摆放/当前阵局状态不可用","missingSnapshot: Lighting placementId=None itemId=I001 reason=ignored-by-catalog-preview","","","context enum and player/debug context state","PASS: context source and composed state present"
"section-count-order","I001","P_I001_A","PlacedInstance","15","25","直接点亮","阵脉生效","","当前数量：6/6","当前数量：2/4","主Build：已选择","","","","15 player sections / 3 debug sections in fixed order","PASS: 15/3"
"duplicateProjectionCheck","I001","P_I001_A","PlacedInstance","15","25","直接点亮","阵脉生效","","当前数量：6/6","当前数量：2/4","主Build：已选择","","same-signature","","same input repeats without duplicate sections","PASS: same-signature"
"player-debug-separation","I001","P_I001_A","PlacedInstance","15","25","直接点亮","阵脉生效","","当前数量：6/6","当前数量：2/4","主Build：已选择","","","","player has no raw field leaks; debug has required raw fields","PASS: debugFields=25"
"strict-placement-query","I001","P_I001_A","PlacedInstance","15","25","直接点亮","阵脉生效","","当前数量：6/6","当前数量：2/4","主Build：已选择","","","","Distinct legal placements P_I001_A and P_I007_UNLIT do not cross state","PASS: I001 lit / I007 unlit"
"stale-placement-no-item-fallback","I001","P_I001_STALE","PlacedInstance","15","25","实例状态不可用","实例状态不可用","","实例状态不可用","实例状态不可用","主Build：已选择","missingSnapshot: Lighting placementId=P_I001_STALE itemId=I001 reason=placement-not-found","","","stale placement shows unavailable and does not read legal placements","PASS: 实例状态不可用"
"catalog-preview-no-placement-state","I001","","CatalogPreview","15","25","尚未入阵","阵脉未计算","","当前道具没有可统计的Build轨道。","当前道具没有可统计的Build轨道。","尚未摆放/当前阵局状态不可用","missingSnapshot: Lighting placementId=None itemId=I001 reason=ignored-by-catalog-preview","","","CatalogPreview ignores all placed instance snapshots","PASS: 尚未入阵/阵脉未计算"
"catalog-preview-junian-no-placed-source","I031","","CatalogPreview","15","25","尚未入阵","阵脉未计算","","不适用：系统道具不提供法门 Build 资格","不适用：系统道具不提供器类 Build 资格","不适用：不计入主 Build；技能载荷未执行","missingSnapshot: Lighting placementId=None itemId=I031 reason=ignored-by-catalog-preview","","","CatalogPreview JuNian does not read P_SOURCE","PASS: no P_SOURCE"
"placed-junian-requires-placement","I031","P_SOURCE","PlacedInstance","15","25","点亮源","未占阵脉","","不适用：系统道具不提供法门 Build 资格","不适用：系统道具不提供器类 Build 资格","不适用：不计入主 Build；技能载荷未执行","","","","PlacedInstance JuNian via P_SOURCE reads only P_SOURCE","PASS: P_SOURCE lit source"
"snapshot-missing-placement-no-throw","I001","P_I001_A","PlacedInstance","15","25","状态不可用/未接入","状态不可用/未接入","","状态不可用/未接入","状态不可用/未接入","状态不可用/未接入","missingSnapshot: Lighting placementId=P_I001_A itemId=I001 reason=snapshot-missing","","","missing snapshots display unavailable and do not throw","PASS: 状态不可用/未接入"
"runtime-view-namespace","I001","","CatalogPreview","0","0","","","","","","","","","","runtime view namespace","PASS: TalismanBag.Items.Detail.UI"
"reusable-prefab-exists","I001","","CatalogPreview","0","0","","","","","","","","","","prefab asset exists","PASS: Assets/_Game/Prefabs/TalismanBag/Items/ItemDetailPanel.prefab"
"prefab-viewmodel-only","I001","","CatalogPreview","0","0","","","","","","","","","","prefab has runtime view only, no sandbox adapter","PASS: runtime-only"
"prefab-visual-contract","I001","","CatalogPreview","0","0","","","","","","","","","","rarity/status/art slots, chapter bands, section accents, dual scrollbars","PASS: visual-contract"
"meta-text-contract","I001","","CatalogPreview","0","0","","","","","","","","","","MetaText is rarity line plus faMen / qiLei · readable shape","PASS: 良品 + 玄水法 / 符 + 竖排两格"
"power-text-contract","I001","","CatalogPreview","0","0","","","","","","","","","","PowerText reads any provider number dynamically in rarity color and uses -- when missing","PASS: 321 -> 987 -> -- (dynamic rarity color)"
"typography-color-contract","I001","","CatalogPreview","0","0","","","","","","","","","","palette contract only; child font sizes remain Inspector-authorable","PASS: #87B66A/#D8CCB7/#B99A61; font sizes unlocked"
"five-rarity-palette-contract","I001","","CatalogPreview","0","0","","","","","","","","","","Fan/Liang/Ling/Xuan/Dao rarity colors","PASS: #E3D8C3/#87B66A/#68A9E6/#B27DDF/#E4A14B"
"rich-field-style-contract","I001","","CatalogPreview","0","0","","","","","","","","","","actual BodyText receives rarity/restriction/build rich colors","PASS: stats/status/core/build tags applied"
"sandbox-popup-open-close-contract","I001","","CatalogPreview","0","0","","","","","","","","","","hidden on sandbox start, item selection opens, X closes","PASS: popup-contract"
"sandbox-reuses-runtime-view","I001","","CatalogPreview","0","0","","","","","","","","","","sandbox adapter delegates to runtime view","PASS: adapter"
"catalog-all-31-I001","I001","","CatalogPreview","15","25","尚未入阵","阵脉未计算","","当前道具没有可统计的Build轨道。","当前道具没有可统计的Build轨道。","尚未摆放/当前阵局状态不可用","missingSnapshot: Lighting placementId=None itemId=I001 reason=ignored-by-catalog-preview","","","CatalogPreview 15/3 sections with no placed state read","PASS: PASS"
"catalog-all-31-I002","I002","","CatalogPreview","15","25","尚未入阵","阵脉未计算","","当前道具没有可统计的Build轨道。","当前道具没有可统计的Build轨道。","尚未摆放/当前阵局状态不可用","missingSnapshot: Lighting placementId=None itemId=I002 reason=ignored-by-catalog-preview","","","CatalogPreview 15/3 sections with no placed state read","PASS: PASS"
