statementId,artSourceId,contentId,sourceTextExact,statementKind,primaryClassification,acceptedEvidenceId,decisionId,decisionStatus,selectedOption,factOwner,runtimeStateOwner,recommendedNextPackage,candidateId,candidateEligible,selectedForRuntime,runtimeImplemented,playerSafe,semanticReason,forbiddenInference,notesDeveloperOnly
BA-ART-01-S001,BA-ART-01,,《符箓背包》V0.2 首版本《骨相》怪物概念设定总览,TITLE,PRESENTATION_ONLY,,,NOT_APPLICABLE,,SHARED_ENCOUNTER_PRESENTATION,NONE,SharedEncounterPresentation,,false,false,false,false,版本标题只标识这张开发者概念总览。,不得由图片反推 Runtime、数值、目标或正式流程。,
BA-ART-01-S002,BA-ART-01,,12 种小怪,SUMMARY_COUNT,PRESENTATION_ONLY,,,NOT_APPLICABLE,,SHARED_ENCOUNTER_PRESENTATION,NONE,SharedEncounterPresentation,,false,false,false,false,数量标签与已验收 P0 覆盖一致，但图片不是事实源。,不得由图片反推 Runtime、数值、目标或正式流程。,
BA-ART-01-S003,BA-ART-01,,4 位Boss,SUMMARY_COUNT,PRESENTATION_ONLY,,,NOT_APPLICABLE,,SHARED_ENCOUNTER_PRESENTATION,NONE,SharedEncounterPresentation,,false,false,false,false,数量标签与已验收 P0 覆盖一致，但图片不是事实源。,不得由图片反推 Runtime、数值、目标或正式流程。,
BA-ART-01-S004,BA-ART-01,,4章主线,SUMMARY_COUNT,PRESENTATION_ONLY,,,NOT_APPLICABLE,,SHARED_ENCOUNTER_PRESENTATION,NONE,SharedEncounterPresentation,,false,false,false,false,数量标签与已验收 P0 覆盖一致，但图片不是事实源。,不得由图片反推 Runtime、数值、目标或正式流程。,
BA-ART-01-S005,BA-ART-01,,12个场景节点,SUMMARY_COUNT,PRESENTATION_ONLY,,,NOT_APPLICABLE,,SHARED_ENCOUNTER_PRESENTATION,NONE,SharedEncounterPresentation,,false,false,false,false,数量标签与已验收 P0 覆盖一致，但图片不是事实源。,不得由图片反推 Runtime、数值、目标或正式流程。,
BA-ART-01-S006,BA-ART-01,,骨瓷白 / 旧木褐 / 朱砂暗红 / 契纸黄 / 阵石灰 / 灵光青,MATERIAL_STATEMENT,PRESENTATION_ONLY,,,NOT_APPLICABLE,,SHARED_ENCOUNTER_PRESENTATION,NONE,SharedEncounterPresentation,,false,false,false,false,原图色板仅作历史表现参考；P0 的骨瓷白、旧纸黄、旧木褐、暗朱砂红、青石灰仍是权威视觉语言。,不得由图片反推 Runtime、数值、目标或正式流程。,
BA-ART-01-S007,BA-ART-01,,骨铺初现,CHAPTER_FAMILY,PRESENTATION_ONLY,,,NOT_APPLICABLE,,SHARED_ENCOUNTER_PRESENTATION,NONE,SharedEncounterPresentation,,false,false,false,false,章节题名与 P0 视觉家族建立映射，但不替换 visualFamilyId。,不得由图片反推 Runtime、数值、目标或正式流程。,
BA-ART-01-S008,BA-ART-01,,青石坊老街第一次露出骨相异变。,NARRATIVE_STATEMENT,PRESENTATION_ONLY,,,NOT_APPLICABLE,,SHARED_ENCOUNTER_PRESENTATION,NONE,SharedEncounterPresentation,,false,false,false,false,章节叙事氛围不建立运行时规则。,不得由图片反推 Runtime、数值、目标或正式流程。,
BA-ART-01-S009,BA-ART-01,,骨相拍卖,CHAPTER_FAMILY,PRESENTATION_ONLY,,,NOT_APPLICABLE,,SHARED_ENCOUNTER_PRESENTATION,NONE,SharedEncounterPresentation,,false,false,false,false,章节题名与 P0 视觉家族建立映射，但不替换 visualFamilyId。,不得由图片反推 Runtime、数值、目标或正式流程。,
BA-ART-01-S010,BA-ART-01,,罗刹海市把身份与命运摆上交易桌。,NARRATIVE_STATEMENT,PRESENTATION_ONLY,,,NOT_APPLICABLE,,SHARED_ENCOUNTER_PRESENTATION,NONE,SharedEncounterPresentation,,false,false,false,false,章节叙事氛围不建立运行时规则。,不得由图片反推 Runtime、数值、目标或正式流程。,
BA-ART-01-S011,BA-ART-01,,骨相由来,CHAPTER_FAMILY,PRESENTATION_ONLY,,,NOT_APPLICABLE,,SHARED_ENCOUNTER_PRESENTATION,NONE,SharedEncounterPresentation,,false,false,false,false,章节题名与 P0 视觉家族建立映射，但不替换 visualFamilyId。,不得由图片反推 Runtime、数值、目标或正式流程。,
BA-ART-01-S012,BA-ART-01,,明箓山旧阵揭开林照灯过往的一角。,NARRATIVE_STATEMENT,PRESENTATION_ONLY,,,NOT_APPLICABLE,,SHARED_ENCOUNTER_PRESENTATION,NONE,SharedEncounterPresentation,,false,false,false,false,章节叙事氛围不建立运行时规则。,不得由图片反推 Runtime、数值、目标或正式流程。,TRANSCRIPTION_UNCERTAIN excluded from candidate support and acceptance.
BA-ART-01-S013,BA-ART-01,,万相归骨,CHAPTER_FAMILY,PRESENTATION_ONLY,,,NOT_APPLICABLE,,SHARED_ENCOUNTER_PRESENTATION,NONE,SharedEncounterPresentation,,false,false,false,false,章节题名与 P0 视觉家族建立映射，但不替换 visualFamilyId。,不得由图片反推 Runtime、数值、目标或正式流程。,
BA-ART-01-S014,BA-ART-01,,青石坊终局，所有被交易的骨相反噬归来。,NARRATIVE_STATEMENT,PRESENTATION_ONLY,,,NOT_APPLICABLE,,SHARED_ENCOUNTER_PRESENTATION,NONE,SharedEncounterPresentation,,false,false,false,false,章节叙事氛围不建立运行时规则。,不得由图片反推 Runtime、数值、目标或正式流程。,
BA-ART-01-S015,BA-ART-01,,青石坊丁巷外街,ENCOUNTER_NODE,ACCEPTED_BROAD_COMMITMENT,P0_NODE:bone_aspect_node_c1_01_ding_lane_outer,,NOT_APPLICABLE,,ENEMY_DATA,NONE,SharedEncounterPresentation,,false,false,false,false,与 P0 Encounter 节点显示名逐字一致；不等于 Unity Scene 或正式关卡路由。,只承认 P0/P1 广义身份或机制承诺；不批准具体 Phase、Skill、时机、数值或执行。,
BA-ART-01-S016,BA-ART-01,,骨铺外巷,ENCOUNTER_NODE,ACCEPTED_BROAD_COMMITMENT,P0_NODE:bone_aspect_node_c1_02_bone_shop_outer_lane,,NOT_APPLICABLE,,ENEMY_DATA,NONE,SharedEncounterPresentation,,false,false,false,false,与 P0 Encounter 节点显示名逐字一致；不等于 Unity Scene 或正式关卡路由。,只承认 P0/P1 广义身份或机制承诺；不批准具体 Phase、Skill、时机、数值或执行。,
BA-ART-01-S017,BA-ART-01,,骨铺内堂,ENCOUNTER_NODE,ACCEPTED_BROAD_COMMITMENT,P0_NODE:bone_aspect_node_c1_03_bone_shop_inner_hall,,NOT_APPLICABLE,,ENEMY_DATA,NONE,SharedEncounterPresentation,,false,false,false,false,与 P0 Encounter 节点显示名逐字一致；不等于 Unity Scene 或正式关卡路由。,只承认 P0/P1 广义身份或机制承诺；不批准具体 Phase、Skill、时机、数值或执行。,
BA-ART-01-S018,BA-ART-01,,地下停车场入口,ENCOUNTER_NODE,ACCEPTED_BROAD_COMMITMENT,P0_NODE:bone_aspect_node_c2_01_parking_entrance,,NOT_APPLICABLE,,ENEMY_DATA,NONE,SharedEncounterPresentation,,false,false,false,false,与 P0 Encounter 节点显示名逐字一致；不等于 Unity Scene 或正式关卡路由。,只承认 P0/P1 广义身份或机制承诺；不批准具体 Phase、Skill、时机、数值或执行。,
BA-ART-01-S019,BA-ART-01,,罗刹海市内街,ENCOUNTER_NODE,ACCEPTED_BROAD_COMMITMENT,P0_NODE:bone_aspect_node_c2_02_rakshasa_market_street,,NOT_APPLICABLE,,ENEMY_DATA,NONE,SharedEncounterPresentation,,false,false,false,false,与 P0 Encounter 节点显示名逐字一致；不等于 Unity Scene 或正式关卡路由。,只承认 P0/P1 广义身份或机制承诺；不批准具体 Phase、Skill、时机、数值或执行。,
BA-ART-01-S020,BA-ART-01,,骨相拍卖厅,ENCOUNTER_NODE,ACCEPTED_BROAD_COMMITMENT,P0_NODE:bone_aspect_node_c2_03_bone_auction_hall,,NOT_APPLICABLE,,ENEMY_DATA,NONE,SharedEncounterPresentation,,false,false,false,false,与 P0 Encounter 节点显示名逐字一致；不等于 Unity Scene 或正式关卡路由。,只承认 P0/P1 广义身份或机制承诺；不批准具体 Phase、Skill、时机、数值或执行。,
BA-ART-01-S021,BA-ART-01,,荒废山道,ENCOUNTER_NODE,ACCEPTED_BROAD_COMMITMENT,P0_NODE:bone_aspect_node_c3_01_abandoned_mountain_path,,NOT_APPLICABLE,,ENEMY_DATA,NONE,SharedEncounterPresentation,,false,false,false,false,与 P0 Encounter 节点显示名逐字一致；不等于 Unity Scene 或正式关卡路由。,只承认 P0/P1 广义身份或机制承诺；不批准具体 Phase、Skill、时机、数值或执行。,
BA-ART-01-S022,BA-ART-01,,倒塌山门,ENCOUNTER_NODE,ACCEPTED_BROAD_COMMITMENT,P0_NODE:bone_aspect_node_c3_02_collapsed_mountain_gate,,NOT_APPLICABLE,,ENEMY_DATA,NONE,SharedEncounterPresentation,,false,false,false,false,与 P0 Encounter 节点显示名逐字一致；不等于 Unity Scene 或正式关卡路由。,只承认 P0/P1 广义身份或机制承诺；不批准具体 Phase、Skill、时机、数值或执行。,
