checkId,status,detail
"golden-200",PASS,"+2%"
"golden-350",PASS,"+3.5%"
"golden-500",PASS,"+5%"
"golden-1800",PASS,"+18%"
"candidate-I001-white",PASS,"Success; errors="
"player-final-I001-white",PASS,"sections=15; leaks=None"
"affix-I001-white",PASS,"fixed=1/1; random=1/1"
"debug-I001-white",PASS,"technical facts retained"
"candidate-I001-green",PASS,"Success; errors="
"player-final-I001-green",PASS,"sections=15; leaks=None"
"affix-I001-green",PASS,"fixed=1/1; random=1/1"
"debug-I001-green",PASS,"technical facts retained"
"candidate-I001-blue",PASS,"Success; errors="
"player-final-I001-blue",PASS,"sections=15; leaks=None"
"affix-I001-blue",PASS,"fixed=1/1; random=1/1"
"debug-I001-blue",PASS,"technical facts retained"
"candidate-I001-purple",PASS,"Success; errors="
"player-final-I001-purple",PASS,"sections=15; leaks=None"
"affix-I001-purple",PASS,"fixed=1/1; random=1/1"
"debug-I001-purple",PASS,"technical facts retained"
"candidate-I001-orange",PASS,"Success; errors="
"player-final-I001-orange",PASS,"sections=15; leaks=None"
"affix-I001-orange",PASS,"fixed=1/1; random=1/1"
"debug-I001-orange",PASS,"technical facts retained"
"candidate-I002-white",PASS,"Success; errors="
"player-final-I002-white",PASS,"sections=15; leaks=None"
"affix-I002-white",PASS,"fixed=1/1; random=1/1"
"debug-I002-white",PASS,"technical facts retained"
"candidate-I002-green",PASS,"Success; errors="
"player-final-I002-green",PASS,"sections=15; leaks=None"
"affix-I002-green",PASS,"fixed=1/1; random=1/1"
"debug-I002-green",PASS,"technical facts retained"
"candidate-I002-blue",PASS,"Success; errors="
"player-final-I002-blue",PASS,"sections=15; leaks=None"
"affix-I002-blue",PASS,"fixed=1/1; random=1/1"
"debug-I002-blue",PASS,"technical facts retained"
"candidate-I002-purple",PASS,"Success; errors="
"player-final-I002-purple",PASS,"sections=15; leaks=None"
"affix-I002-purple",PASS,"fixed=1/1; random=1/1"
"debug-I002-purple",PASS,"technical facts retained"
"candidate-I002-orange",PASS,"Success; errors="
"player-final-I002-orange",PASS,"sections=15; leaks=None"
