buildId,stableTag,stagePieceCount,displayName,description,effectId,category,operation,valueUnitKey,valueUnits,conditionText,dataMaturity,designNote
"famen:lihuo:build2","lihuo","2","离火法 Build2","余焰持续提高（候选）","famen:lihuo:build2:effect","BuildSynergyEffect","AddPercent","basisPoint","800","已点亮且具有对应Build资格的实例达到2件。","BALANCE_CANDIDATE","Build阶段候选效果；不接正式Battle。"
"famen:lihuo:build4","lihuo","4","离火法 Build4","余焰叠层触发爆燃（候选）","famen:lihuo:build4:effect","BuildSynergyEffect","ExtraTrigger","basisPoint","3000","已点亮且具有对应Build资格的实例达到4件。","BALANCE_CANDIDATE","Build阶段候选效果；不接正式Battle。"
"famen:lihuo:build6","lihuo","6","离火法 Build6","爆燃后保留火种（候选）","famen:lihuo:build6:effect","BuildSynergyEffect","ExtraTarget","count","1","已点亮且具有对应Build资格的实例达到6件。","BALANCE_CANDIDATE","Build阶段候选效果；不接正式Battle。"
"famen:taibai:build2","taibai","2","太白法 Build2","对破绽目标增伤（候选）","famen:taibai:build2:effect","BuildSynergyEffect","AddPercent","basisPoint","800","已点亮且具有对应Build资格的实例达到2件。","BALANCE_CANDIDATE","Build阶段候选效果；不接正式Battle。"
"famen:taibai:build4","taibai","4","太白法 Build4","斩击后追加收割（候选）","famen:taibai:build4:effect","BuildSynergyEffect","ExtraTrigger","basisPoint","3000","已点亮且具有对应Build资格的实例达到4件。","BALANCE_CANDIDATE","Build阶段候选效果；不接正式Battle。"
"famen:taibai:build6","taibai","6","太白法 Build6","击破目标后贯穿连斩（候选）","famen:taibai:build6:effect","BuildSynergyEffect","ExtraTarget","count","1","已点亮且具有对应Build资格的实例达到6件。","BALANCE_CANDIDATE","Build阶段候选效果；不接正式Battle。"
"famen:xuanshui:build2","xuanshui","2","玄水法 Build2","净化与回复提高（候选）","famen:xuanshui:build2:effect","BuildSynergyEffect","AddPercent","basisPoint","800","已点亮且具有对应Build资格的实例达到2件。","BALANCE_CANDIDATE","Build阶段候选效果；不接正式Battle。"
"famen:xuanshui:build4","xuanshui","4","玄水法 Build4","净化后推进冷却（候选）","famen:xuanshui:build4:effect","BuildSynergyEffect","ExtraTrigger","basisPoint","3000","已点亮且具有对应Build资格的实例达到4件。","BALANCE_CANDIDATE","Build阶段候选效果；不接正式Battle。"
"famen:xuanshui:build6","xuanshui","6","玄水法 Build6","溢出回复转为护势（候选）","famen:xuanshui:build6:effect","BuildSynergyEffect","ExtraTarget","count","1","已点亮且具有对应Build资格的实例达到6件。","BALANCE_CANDIDATE","Build阶段候选效果；不接正式Battle。"
"famen:zhenlei:build2","zhenlei","2","震雷法 Build2","破盾提高（候选）","famen:zhenlei:build2:effect","BuildSynergyEffect","AddPercent","basisPoint","800","已点亮且具有对应Build资格的实例达到2件。","BALANCE_CANDIDATE","Build阶段候选效果；不接正式Battle。"
"famen:zhenlei:build4","zhenlei","4","震雷法 Build4","破盾后追加雷击（候选）","famen:zhenlei:build4:effect","BuildSynergyEffect","ExtraTrigger","basisPoint","3000","已点亮且具有对应Build资格的实例达到4件。","BALANCE_CANDIDATE","Build阶段候选效果；不接正式Battle。"
"famen:zhenlei:build6","zhenlei","6","震雷法 Build6","连锁命中额外目标（候选）","famen:zhenlei:build6:effect","BuildSynergyEffect","ExtraTarget","count","1","已点亮且具有对应Build资格的实例达到6件。","BALANCE_CANDIDATE","Build阶段候选效果；不接正式Battle。"
"famen:zhongyue:build2","zhongyue","2","中岳法 Build2","护势获得提高（候选）","famen:zhongyue:build2:effect","BuildSynergyEffect","AddPercent","basisPoint","800","已点亮且具有对应Build资格的实例达到2件。","BALANCE_CANDIDATE","Build阶段候选效果；不接正式Battle。"
"famen:zhongyue:build4","zhongyue","4","中岳法 Build4","受击时反制并补护（候选）","famen:zhongyue:build4:effect","BuildSynergyEffect","ExtraTrigger","basisPoint","3000","已点亮且具有对应Build资格的实例达到4件。","BALANCE_CANDIDATE","Build阶段候选效果；不接正式Battle。"
"famen:zhongyue:build6","zhongyue","6","中岳法 Build6","护势耗尽前分担伤害（候选）","famen:zhongyue:build6:effect","BuildSynergyEffect","ExtraTarget","count","1","已点亮且具有对应Build资格的实例达到6件。","BALANCE_CANDIDATE","Build阶段候选效果；不接正式Battle。"
