encounterId,encounterKind,chineseDisplayName,selectorLabel,mapMechanicChinese,encounterMechanicChinese,bossSkillChinese,weaknessWindowChinese,testTargetChinese,readinessPreviewChinese,failureFeedbackChinese,dropBiasAtmosphereChinese,sourceDataPath,playerHintCount,devOnly,isEnabled,playerVisible,showsCompleteAnswer,runsFormalCombat,grantsFormalReward,writesFormalSaveData,writesFormalFlow,formalLeak
dev_enemy_basic,enemy,普通怪,敌人：普通怪,【黑炉烟尘】烟尘会放大护壳压力，缺少破盾或清场时会拖入失败循环。,【普通怪】层叠护盾要求稳定破盾。,普通敌人题目不显示首领阶段；这里只看敌人压迫节奏。,若敌人露出破绽，只提示短暂窗口与战斗反馈，不显示触发公式。,测试目标：护盾 / 破盾。,准备度预览只告诉你当前构筑是否覆盖这类压力；完整答案留在开发者数据面板。,【破盾不足】补惊雷破盾、破甲词条或短窗爆发。,战后物件气息会偏向补短板，但这里不显示权重或清单。,EnemyBossValidationPool.enemies + BuildProblemSeedDataset.enemyProblems,8,True,False,True,False,False,False,False,False,False
dev_enemy_shield_guard,enemy,护盾怪,敌人：护盾怪,【黑炉烟尘】烟尘会放大护壳压力，缺少破盾或清场时会拖入失败循环。,【护盾怪】层叠护盾要求稳定破盾。,普通敌人题目不显示首领阶段；这里只看敌人压迫节奏。,若敌人露出破绽，只提示短暂窗口与战斗反馈，不显示触发公式。,测试目标：护盾 / 破盾。,准备度预览只告诉你当前构筑是否覆盖这类压力；完整答案留在开发者数据面板。,【破盾不足】补惊雷破盾、破甲词条或短窗爆发。,战后物件气息会偏向补短板，但这里不显示权重或清单。,EnemyBossValidationPool.enemies + BuildProblemSeedDataset.enemyProblems,8,True,False,True,False,False,False,False,False,False
dev_enemy_poison_cultist,enemy,毒怪,敌人：毒怪,【青石回潮】回潮会持续拉低供能效率，净化不足时污染格会扩大。,【毒怪】持续污秽和燃烧要求净化或反制。,普通敌人题目不显示首领阶段；这里只看敌人压迫节奏。,若敌人露出破绽，只提示短暂窗口与战斗反馈，不显示触发公式。,测试目标：负面 / 污染。,准备度预览只告诉你当前构筑是否覆盖这类压力；完整答案留在开发者数据面板。,【净化不足】补净厄、清污词条或护阵承伤。,战后物件气息会偏向补短板，但这里不显示权重或清单。,EnemyBossValidationPool.enemies + BuildProblemSeedDataset.enemyProblems,8,True,False,True,False,False,False,False,False,False
dev_enemy_burning_wisp,enemy,燃烧怪,敌人：燃烧怪,【黑炉烟尘】烟尘会放大护壳压力，缺少破盾或清场时会拖入失败循环。,【燃烧怪】多目标召唤要求清场和连锁。,普通敌人题目不显示首领阶段；这里只看敌人压迫节奏。,若敌人露出破绽，只提示短暂窗口与战斗反馈，不显示触发公式。,测试目标：负面 / 污染、群怪清场。,准备度预览只告诉你当前构筑是否覆盖这类压力；完整答案留在开发者数据面板。,【清场不足】补离火清场、连锁或短冷却词条。,战后物件气息会偏向补短板，但这里不显示权重或清单。,EnemyBossValidationPool.enemies + BuildProblemSeedDataset.enemyProblems,8,True,False,True,False,False,False,False,False,False
dev_enemy_spirit_thief,enemy,偷灵怪,敌人：偷灵怪,【阵眼偏移】阵眼偏移会惩罚松散摆放，需补形态钥匙或供能链。,【偷灵怪】偷灵会切断供能节奏。,普通敌人题目不显示首领阶段；这里只看敌人压迫节奏。,若敌人露出破绽，只提示短暂窗口与战斗反馈，不显示触发公式。,测试目标：供能干扰。,准备度预览只告诉你当前构筑是否覆盖这类压力；完整答案留在开发者数据面板。,【供能不稳】补聚能、镇魂或缩短关键道具供能链。,战后物件气息会偏向补短板，但这里不显示权重或清单。,EnemyBossValidationPool.enemies + BuildProblemSeedDataset.enemyProblems,8,True,False,True,False,False,False,False,False,False
dev_enemy_seal_locker,enemy,封符怪,敌人：封符怪,【铜铃夜响】铜铃会打乱施法节奏，缺少镇魂或护阵时容易被连锁施法压制。,【封符怪】封符会压制关键符箓触发。,普通敌人题目不显示首领阶段；这里只看敌人压迫节奏。,若敌人露出破绽，只提示短暂窗口与战斗反馈，不显示触发公式。,测试目标：控制 / 打断。,准备度预览只告诉你当前构筑是否覆盖这类压力；完整答案留在开发者数据面板。,【封符未解】补镇魂打断或净厄解封。,战后物件气息会偏向补短板，但这里不显示权重或清单。,EnemyBossValidationPool.enemies + BuildProblemSeedDataset.enemyProblems,8,True,False,True,False,False,False,False,False,False
dev_enemy_swarm_pack,enemy,群怪,敌人：群怪,【黑炉烟尘】烟尘会放大护壳压力，缺少破盾或清场时会拖入失败循环。,【群怪】多目标召唤要求清场和连锁。,普通敌人题目不显示首领阶段；这里只看敌人压迫节奏。,若敌人露出破绽，只提示短暂窗口与战斗反馈，不显示触发公式。,测试目标：群怪清场。,准备度预览只告诉你当前构筑是否覆盖这类压力；完整答案留在开发者数据面板。,【清场不足】补离火清场、连锁或短冷却词条。,战后物件气息会偏向补短板，但这里不显示权重或清单。,EnemyBossValidationPool.enemies + BuildProblemSeedDataset.enemyProblems,8,True,False,True,False,False,False,False,False,False
dev_enemy_burst_assassin,enemy,高爆发怪,敌人：高爆发怪,【黑炉烟尘】烟尘会放大护壳压力，缺少破盾或清场时会拖入失败循环。,【高爆发怪】多目标召唤要求清场和连锁。,普通敌人题目不显示首领阶段；这里只看敌人压迫节奏。,若敌人露出破绽，只提示短暂窗口与战斗反馈，不显示触发公式。,测试目标：爆发承压、群怪清场。,准备度预览只告诉你当前构筑是否覆盖这类压力；完整答案留在开发者数据面板。,【清场不足】补离火清场、连锁或短冷却词条。,战后物件气息会偏向补短板，但这里不显示权重或清单。,EnemyBossValidationPool.enemies + BuildProblemSeedDataset.enemyProblems,8,True,False,True,False,False,False,False,False,False
dev_enemy_caster_chanter,enemy,施法怪,敌人：施法怪,【灯火不足】灯火不足会缩短可输出窗口，慢热 构筑 需要补爆发或控制。,【施法怪】读条施法要求打断或沉默。,普通敌人题目不显示首领阶段；这里只看敌人压迫节奏。,若敌人露出破绽，只提示短暂窗口与战斗反馈，不显示触发公式。,测试目标：控制 / 打断。,准备度预览只告诉你当前构筑是否覆盖这类压力；完整答案留在开发者数据面板。,【打断不足】补镇魂、控制词条或在施法前压低血线。,战后物件气息会偏向补短板，但这里不显示权重或清单。,EnemyBossValidationPool.enemies + BuildProblemSeedDataset.enemyProblems,8,True,False,True,False,False,False,False,False,False
dev_enemy_thick_blood,enemy,厚血怪,敌人：厚血怪,【灯火不足】灯火不足会缩短可输出窗口，慢热 构筑 需要补爆发或控制。,【厚血怪】读条施法要求打断或沉默。,普通敌人题目不显示首领阶段；这里只看敌人压迫节奏。,若敌人露出破绽，只提示短暂窗口与战斗反馈，不显示触发公式。,测试目标：长线输出、控制 / 打断。,准备度预览只告诉你当前构筑是否覆盖这类压力；完整答案留在开发者数据面板。,【打断不足】补镇魂、控制词条或在施法前压低血线。,战后物件气息会偏向补短板，但这里不显示权重或清单。,EnemyBossValidationPool.enemies + BuildProblemSeedDataset.enemyProblems,8,True,False,True,False,False,False,False,False,False
