"contentId","contentKind","mechanicCommitment","observablePlayerPhenomena","reuseCandidateKeys","newMechanicGapCandidates","crossSystemCandidate","decisionIds","decisionStatus","implementationStatus","devOnly","isEnabled","entersFormalFlow"
"bone_aspect_enemy_c1_01_shattered_host","Enemy","基础攻击、附身状态、死亡后短暂骨粉区域","基础攻击、附身状态、死亡后短暂骨粉区域","mechanic.basic_pressure;mechanic.polluted_tile","SURVEY_REQUIRED / 附身状态；死亡后短暂骨粉区域","SURVEY_REQUIRED / Battle Resolver / Field Runtime","NONE","NO_USER_DECISION_REQUIRED","NOT_IMPLEMENTED","true","false","false"
"bone_aspect_enemy_c1_02_porcelain_hound","Enemy","骨瓷护壳、冲撞、破壳后短暂虚弱","骨瓷护壳、冲撞、破壳后短暂虚弱","mechanic.layered_shield;counter_window.shell_break","SURVEY_REQUIRED / 冲撞；破壳后短暂虚弱","SURVEY_REQUIRED / Battle Resolver / Field Runtime","NONE","NO_USER_DECISION_REQUIRED","NOT_IMPLEMENTED","true","false","false"
"bone_aspect_enemy_c1_03_bone_swap_remnant","Enemy","状态叠加、低血量分裂、复制一种简单能力","状态叠加、低血量分裂、复制一种简单能力","mechanic.basic_pressure;mechanic.swarm_summon","SURVEY_REQUIRED / 状态叠加；低血量分裂；复制一种简单能力","SURVEY_REQUIRED / CrossSystem Effect Contract","BA-D3","USER_DECISION_REQUIRED","NOT_IMPLEMENTED","true","false","false"
"bone_aspect_enemy_c2_01_false_identity_bone","Enemy","制造错误目标、交换真假位置、识破后快速失去防御","制造错误目标、交换真假位置、识破后快速失去防御","mechanic.basic_pressure;counter_window.cleanse_reveal","SURVEY_REQUIRED / 错误目标；交换真假位置；识破后快速失去防御","SURVEY_REQUIRED / Battle Resolver / Field Runtime","NONE","NO_USER_DECISION_REQUIRED","NOT_IMPLEMENTED","true","false","false"
"bone_aspect_enemy_c2_02_contract_clerk","Enemy","封招、读条、打断玩家一个效果","封招、读条、打断玩家一个效果","mechanic.long_cast;mechanic.talisman_seal;counter_window.interrupt_stagger","SURVEY_REQUIRED / 封招；打断玩家一个效果","SURVEY_REQUIRED / CrossSystem Effect Contract","NONE","NO_USER_DECISION_REQUIRED","NOT_IMPLEMENTED","true","false","false"
"bone_aspect_enemy_c2_03_bone_bidder","Enemy","多目标竞争、抢夺增益、争抢出价标记","多目标竞争、抢夺增益、争抢出价标记","pressure.multi_target","SURVEY_REQUIRED / 多目标竞争；抢夺增益；争抢出价标记","SURVEY_REQUIRED / CrossSystem Effect Contract","NONE","NO_USER_DECISION_REQUIRED","NOT_IMPLEMENTED","true","false","false"
"bone_aspect_enemy_c3_01_array_stone_puppet","Enemy","高护盾、减伤、破盾后核心暴露","高护盾、减伤、破盾后核心暴露","mechanic.layered_shield;counter_window.shell_break","SURVEY_REQUIRED / 减伤；破盾后核心暴露","SURVEY_REQUIRED / Battle Resolver / Field Runtime","NONE","NO_USER_DECISION_REQUIRED","NOT_IMPLEMENTED","true","false","false"
"bone_aspect_enemy_c3_02_old_edict_shadow","Enemy","打断、压制、限制技能触发","打断、压制、限制技能触发","mechanic.long_cast;mechanic.talisman_seal;counter_window.interrupt_stagger","SURVEY_REQUIRED / 打断；压制；限制技能触发","SURVEY_REQUIRED / Battle Resolver / Field Runtime","NONE","NO_USER_DECISION_REQUIRED","NOT_IMPLEMENTED","true","false","false"
"bone_aspect_enemy_c3_03_bone_dust_effigy","Enemy","偷念、复制、短暂模仿玩家一个效果","偷念、复制、短暂模仿玩家一个效果","mechanic.basic_pressure","SURVEY_REQUIRED / 偷念；复制；短暂模仿玩家一个效果","SURVEY_REQUIRED / CrossSystem Effect Contract","BA-D3","USER_DECISION_REQUIRED","NOT_IMPLEMENTED","true","false","false"
"bone_aspect_enemy_c4_01_faceless_bone_figure","Enemy","成群压迫、数量优势、死亡后短暂骨纹区域","成群压迫、数量优势、死亡后短暂骨纹区域","mechanic.swarm_summon;mechanic.polluted_tile","SURVEY_REQUIRED / 数量优势；死亡后短暂骨纹区域","SURVEY_REQUIRED / Battle Resolver / Field Runtime","NONE","NO_USER_DECISION_REQUIRED","NOT_IMPLEMENTED","true","false","false"
"bone_aspect_enemy_c4_02_contract_attendant","Enemy","封存道具效果、锁定一个器类、持续读契","封存道具效果、锁定一个器类、持续读契","mechanic.long_cast;mechanic.talisman_seal;counter_window.interrupt_stagger","SURVEY_REQUIRED / 封存道具效果；锁定一个器类；持续读契","SURVEY_REQUIRED / CrossSystem Effect Contract","NONE","NO_USER_DECISION_REQUIRED","NOT_IMPLEMENTED","true","false","false"
"bone_aspect_enemy_c4_03_false_celestial_form","Enemy","复合法门攻击、切换两种属性、预演最终 Boss 机制","复合法门攻击、切换两种属性、预演最终 Boss 机制","mechanic.basic_pressure;mechanic.burst_spike","SURVEY_REQUIRED / 复合法门攻击；切换两种属性；预演最终 Boss 机制","SURVEY_REQUIRED / Battle Resolver / Field Runtime","NONE","NO_USER_DECISION_REQUIRED","NOT_IMPLEMENTED","true","false","false"
"bone_aspect_boss_c1_bone_guard","Boss","骨瓷护壳、保护盲眼女人、破壳后“忠”字骨铭核心暴露；禁止召唤和分裂","骨瓷护壳、保护盲眼女人、破壳后“忠”字骨铭核心暴露；禁止召唤和分裂","mechanic.layered_shield;counter_window.shell_break","SURVEY_REQUIRED / 保护盲眼女人；“忠”字骨铭核心暴露","SURVEY_REQUIRED / Battle Resolver / Field Runtime","BA-D1","USER_DECISION_REQUIRED","NOT_IMPLEMENTED","true","false","false"
"bone_aspect_boss_c2_identity_bidder","Boss","书生/将军/富商身份切换、弱点随身份变化、翻阅骨契册时暴露打断窗口；辅助机制二选一","书生/将军/富商身份切换、弱点随身份变化、翻阅骨契册时暴露打断窗口；辅助机制二选一","mechanic.long_cast;counter_window.interrupt_stagger","SURVEY_REQUIRED / 三身份切换；弱点随身份变化；辅助机制二选一","SURVEY_REQUIRED / Battle Resolver / Field Runtime","BA-D2","USER_DECISION_REQUIRED","NOT_IMPLEMENTED","true","false","false"
"bone_aspect_boss_c3_array_eye_guardian","Boss","石相防守、符影进攻、空位阶段暴露阵眼；结局为停止攻击并让路，不是普通死亡","石相防守、符影进攻、空位阶段暴露阵眼；结局为停止攻击并让路，不是普通死亡","mechanic.layered_shield;mechanic.formation_eye_disruption;counter_window.shell_break","SURVEY_REQUIRED / 石相防守；符影进攻；阵眼暴露；停止攻击并让路","SURVEY_REQUIRED / Battle Resolver / Field Runtime","NONE","NO_USER_DECISION_REQUIRED","NOT_IMPLEMENTED","true","false","false"
"bone_aspect_boss_c4_myriad_bone_beast","Boss","交易封存、两种能力形态切换、空白骨片解除封存并进入输出阶段、记忆回流使骨瓷结构崩解","交易封存、两种能力形态切换、空白骨片解除封存并进入输出阶段、记忆回流使骨瓷结构崩解","mechanic.talisman_seal;mechanic.burst_spike","SURVEY_REQUIRED / 交易封存；两种能力形态切换；空白骨片解除封存；记忆回流崩解","SURVEY_REQUIRED / CrossSystem Effect Contract","BA-D4","USER_DECISION_REQUIRED","NOT_IMPLEMENTED","true","false","false"
