id,area,status,expectation,evidence
"SCENE_ADAPTER","scene",PASS,"Target scene has the one V04 adapter and existing providers.","adapter + providers serialized"
"TRAY_31","catalog",PASS,"Tray is exactly I001-I031 in stable order.","I001|I002|I003|I004|I005|I006|I007|I008|I009|I010|I011|I012|I013|I014|I015|I016|I017|I018|I019|I020|I021|I022|I023|I024|I025|I026|I027|I028|I029|I030|I031"
"JUNIAN_UNIQUE_SOURCE","catalog",PASS,"I031 is the only source item and normal items are I001-I030.","ordinary=30; source=I031"
"SHAPE_CATALOG","catalog",PASS,"Every tray entry uses catalog shape cells and a core cell inside its shape.","shape_block2x2=1; shape_corner3=2; shape_line2_h=9; shape_line2_v=10; shape_line3_h=2; shape_line3_v=1; shape_single_1=6"
"CANDIDATE_150","candidate",PASS,"30 normal items × 5 rarities all generate successfully.","success=150"
"CANDIDATE_RANGE_600","candidate",PASS,"Each candidate exposes four configured stat ranges.","rangeRows=600"
"CANDIDATE_DETAIL_150","detail",PASS,"All 150 candidates compose runtime ItemDetailPanel models.","detailModels=150"
"CANDIDATE_DETERMINISTIC","candidate",PASS,"Same item/rarity/seed is deterministic and cached.","deterministic=150"
"CORE_UNLOCK_LEVELS","awakening",PASS,"Candidate profiles expose configured core unlock levels.","candidateMaps=150"
"INSTANCE_ID_UNIQUE","instances",PASS,"Inventory may own repeated base items as independent instance ids before placement.","wb_i001_white_11 | wb_i001_white_12"
"BOARD_RULES","placement",PASS,"Validation layout resolves on the 5×5 board with eye (2,2) and four array cells.","layout=True; board=5; array=4"
"PLACEMENT_IDS","instances",PASS,"Every placed instance has an independent placementId.","placements=7; unique=7"
"JUNIAN_ONCE","placement",PASS,"Validation layout contains exactly one I031 placement.","I031 placements=1"
"LIGHTING","lighting",PASS,"Direct/relay lighting resolves and no occupied cell is the eye.","direct=1; relay=6"
"BUILD_TRACKS","build",PASS,"Qualified lit items expose Build2/4/6 track state for FaMen and Build2/4 for QiLei.","FaMen=5; QiLei=5"
"MAIN_BUILD_DEFAULT_NONE","build",PASS,"MainBuild is explicit and defaults to None.","selected=None"
"SKILL_MONITOR_4","skills",PASS,"Exactly four readonly monitor slots resolve.","普攻|Build2|Build4|Build6"
"SANDBOX_LEVEL_1_40","awakening",PASS,"Lv1-Lv40 recomputes readonly visible/unlocked/lit/active core states.","Lv1 unlocked=0; Lv40 unlocked=30; Lv40 active=30"
"DETAIL_PLACED","detail",PASS,"Placed selection composes a runtime detail model with placement state.","selectedPlacementId=P_WORKBENCH_0007"
"DETAIL_BUILD_PROGRESS_2_4_6","detail",PASS,"Placed item detail Build sections expose final names while keeping stage skill descriptions.","2/6, 4/6, 6/6, qilei 2/4 naming"
"TRAY_BINDINGS","scene",PASS,"Existing 40 copied slots are bound; exactly 31 are visible Item entries.","bound=40; active=31"
"TRAY_SCROLL_31_ACCESS","scene",PASS,"ItemTrayPreview is a vertical ScrollRect whose content owns all 30 normal items plus I031.","activeSlots=31; content=ItemTrayContent; vertical=True; horizontal=False"
"CANDIDATE_CONTROLS_STAY_VISIBLE","scene",PASS,"CandidateInstancePreviewControls remains active and interactable while candidate/detail data refreshes.","activeInHierarchy=True"
"BOARD_BINDINGS","scene",PASS,"Existing copied board has exactly 25 bound cells covering (0,0)-(4,4).","cells=25; unique=25"
"DETAIL_PANEL_REUSE","scene",PASS,"Existing runtime ItemDetailPanel is reused.","ItemDetailPanelView present"
"FEEDBACK_BINDING","scene",PASS,"FeedbackRoot owns the additive ItemSandbox feedback Text.","ItemSandboxFeedbackText serialized"
"PROTECTED_GEOMETRY","scene",PASS,"Surveyed BattleLikePreviewArea/FeedbackRoot/ItemTrayPreview/CandidateInstancePreviewControls geometry remains readonly; ItemDetailPanel is the sole authorized exclusion and the pre-task PopupLayer absence is preserved without rebuilding it.","PopupLayer=pre-task absent; CandidateInstancePreviewControls sibling=4 active=True pos=(106.00, -161.00) size=(127.32, 104.38); BattleLikePreviewArea sibling=6 active=True pos=(0.00, 23.00) size=(960.00, 1920.00); FeedbackRoot sibling=8 active=True pos=(0.00, 132.00) size=(0.00, 0.00); ItemTrayPreview sibling=2 active=True pos=(0.00, -515.00) size=(800.00, 800.00)"
"NO_RUNTIME_LAYOUT_WRITES","leak",PASS,"Runtime adapter/view scripts contain no hierarchy or RectTransform layout writes.","tokens scanned=8"
"NO_FORMAL_SYSTEM_LEAK","leak",PASS,"New ItemSandbox adapter does not reference formal flow/reward/save/Boss/battle systems.","tokens scanned=7"
"TRAY_DRAG_CLICK_SPLIT","leak",PASS,"Tray drag path does not open detail via SelectTrayItem; clicks remain the detail trigger.","click=SelectTrayItem; drag=SelectTrayItemForDrag"
"HASH_ITEMSYSTEMSNAPSHOT_CS","integrity",PASS,"Assets/_Game/Scripts/TalismanBag/Items/ItemSystemSnapshot.cs remains byte-identical to pre-task baseline.","821477FF5AE05E531953EF16B0E08FEC84F74FBCA63067C6C126BE7CF7EF13DF"
"HASH_EDITORBUILDSETTINGS_ASSET","integrity",PASS,"ProjectSettings/EditorBuildSettings.asset remains byte-identical to pre-task baseline.","08A277E3CA465A44E792318C0D3C210AFDBA61069F1170B74FA5A1A18598FE59"
"TREE_HASH_ITEMBALANCEWORKBENCH","integrity",PASS,"Assets/_Game/Configs/ItemBalanceWorkbench candidate/schema tree remains byte-identical to the task baseline.","F941C253288D9D0D77AC25EB50716BA76F49E293DD58EA921927798102301915"
"TREE_HASH_GENERATION","integrity",PASS,"Assets/_Game/Scripts/TalismanBag/Items/Generation candidate/schema tree remains byte-identical to the task baseline.","5434BD4C7422681FBAC775ACA2C496B4C8A9EC4B772F1BFB096366533BB527B8"
"REGRESSION_9_ITEM_8_ALGORITHM","regression",PASS,"All nine historical Item System verifiers and eight Item Algorithm packages pass.","ITEM_FULL_DETAIL_BUILD_SANDBOX_WORKBENCH01_REGRESSION_PASS"
