decisionId,subjectId,question,candidateA,candidateB,recommendation,decisionStatus,activated
D1,placement-candidate-set,Which audited placement candidates should enter a future migration package?,MIGRATE_SELECTED_CANDIDATES,KEEP_ALL_DEFERRED,KEEP_ALL_DEFERRED_UNTIL_PRESSURE_AUTHORING_EXISTS,USER_DECISION_REQUIRED,false
D2,candidate-identity,Which explicit candidate IDs and exact owner/group/key tuples should be approved?,APPROVE_EXACT_IDS_AND_TUPLES,REAUTHOR_IDS_OR_TUPLES,REAUTHOR_IDS_OR_TUPLES_IF_ANY_SEMANTIC_DIFFERS,USER_DECISION_REQUIRED,false
D3,layout_resilience.bronze_formation_general.placement_shape,What explicit applicability applies and may it vary by encounter/map context?,AUTHOR_EXPLICIT_CONTEXT_APPLICABILITY,KEEP_DEFERRED,KEEP_DEFERRED_UNTIL_APPLICABILITY_IS_AUTHORED,USER_DECISION_REQUIRED,false
D3,layout_resilience.formation_eye.placement_shape,What explicit applicability applies and may it vary by encounter/map context?,AUTHOR_EXPLICIT_CONTEXT_APPLICABILITY,KEEP_DEFERRED,KEEP_DEFERRED_UNTIL_APPLICABILITY_IS_AUTHORED,USER_DECISION_REQUIRED,false
D3,layout_resilience.polluted_tile.placement_shape,What explicit applicability applies and may it vary by encounter/map context?,AUTHOR_EXPLICIT_CONTEXT_APPLICABILITY,KEEP_DEFERRED,KEEP_DEFERRED_UNTIL_APPLICABILITY_IS_AUTHORED,USER_DECISION_REQUIRED,false
D3,layout_resilience.spirit_thief.placement_shape,What explicit applicability applies and may it vary by encounter/map context?,AUTHOR_EXPLICIT_CONTEXT_APPLICABILITY,KEEP_DEFERRED,KEEP_DEFERRED_UNTIL_APPLICABILITY_IS_AUTHORED,USER_DECISION_REQUIRED,false
D4,pressure-input-binding,Should each PressureInputId bind per requirement or through an explicit encounter/map context selector?,AUTHOR_PER_REQUIREMENT,AUTHOR_PER_CONTEXT,AUTHOR_PER_CONTEXT_WHEN_CONTEXT_CHANGES_FACTS,USER_DECISION_REQUIRED,false
D5,eight-field-completeness,Which selected candidate/context authoring rows must provide all eight P2 fields?,AUTHOR_COMPLETE_EIGHT_FIELDS_PER_SELECTED_CONTEXT,KEEP_AUTHORING_INCOMPLETE,AUTHOR_COMPLETE_EIGHT_FIELDS_PER_SELECTED_CONTEXT,USER_DECISION_REQUIRED,false
D6,structural-predicate-selection,Which N01C structural predicate clauses should each candidate require?,SELECT_FROM_FIVE_CLAUSES,KEEP_PREDICATE_UNRESOLVED,KEEP_PREDICATE_UNRESOLVED_PENDING_AUTHORING,USER_DECISION_REQUIRED,false
D7,legacy-bp-treatment,How should legacy placement BP values be preserved for audit?,KEEP_QUARANTINED_LITERAL_DIAGNOSTIC,KEEP_ONLY_FROZEN_SOURCE_HASH,KEEP_QUARANTINED_LITERAL_DIAGNOSTIC_WITH_SOURCE_HASH,USER_DECISION_REQUIRED,false
D8,readiness-boundary,Should a future total readiness contract combine structural diagnostics with other channels?,CREATE_SEPARATE_TOTAL_READINESS_CONTRACT,KEEP_STRUCTURAL_DIAGNOSTIC_SEPARATE,KEEP_STRUCTURAL_DIAGNOSTIC_SEPARATE_PENDING_EXPLICIT_CONTRACT,USER_DECISION_REQUIRED,false
D9,future-package-sequence,How should a future authorized migration proceed?,STAGED_AUTHORING_THEN_MIGRATION_THEN_READINESS,BLOCK_FUTURE_MIGRATION,STAGED_AUTHORING_THEN_MIGRATION_THEN_READINESS,USER_DECISION_REQUIRED,false
