sourceId,sourceContract,sourceFields,authority,capabilityKeys,nativeValueDomains,nativeUnits,eligibilityStatus,qualifiedUse,forbiddenUse,requiredCompleteness,identityOrJoinRule,runtimeProducerStatus,evidencePath,evidenceSymbol
"NRS01-S01","BuildCapabilityReadContract.v1","BuildCapabilityScale.MinimumValueBasisPoints;BuildCapabilityScale.MaximumValueBasisPoints","TARGET_SCALE_AUTHORITY","all six","build_capability_basis_point","basisPoint","ELIGIBLE_TARGET_SCALE_ONLY","Defines inclusive output range 0..10000 BP and Known/Unknown availability","Does not supply a point/stack/count/nian-point conversion or planning meaning","Complete target contract","No Item identity role","NOT_APPLICABLE","Assets/_Game/Scripts/TalismanBag/EnemySystem/CapabilityRead/BuildCapabilityReadPrimitives.cs","BuildCapabilityScale;CapabilityValueAvailability"
"NRS01-S02","ItemInstancePlacementBindingContractSnapshot.v1","itemInstanceId;baseItemId;placementId;canonicalSignature","ITEM_IDENTITY_AUTHORITY","all Item-backed candidates","identity","id","ELIGIBLE_IDENTITY_GATE","Proves the exact instance-to-base-to-placement join and prevents same-base-instance collapse","Cannot prove lighting Build membership trigger success or numeric contribution","Valid complete unique binding set","Exact three-way binding; no inferred equality; duplicate identity is Invalid","NOT_APPLICABLE","Assets/_Game/Scripts/TalismanBag/Items/Capability/ItemInstancePlacementBindingContract.cs","ItemInstancePlacementBindingContractSnapshot;ItemInstancePlacementBindingSnapshot"
"NRS01-S03","ItemCapabilityUnitContractSnapshot.v1","capabilityFactId;valueDomainId;unitKey;operationKey;minUnits;maxUnits;canonicalSignature","ITEM_NATIVE_UNIT_AUTHORITY","energy;control;cleanse;burst;clear","control_point;cleanse_stack;target_count;nian_point;effect_basis_point;nian_cost_basis_point","point;stack;count;point;basisPoint;basisPoint","ELIGIBLE_UNIT_AND_RANGE_GATE","Validates native domains operations and approved native ranges before any candidate normalization","Does not authorize cross-domain conversion even where surface unit labels match","Complete valid unit contract","Joined by stable capabilityFactId/affixId after IF01 identity","NOT_APPLICABLE","Assets/_Game/Scripts/TalismanBag/Items/Capability/ItemCapabilityUnitContract.cs","ItemCapabilityUnitContractSnapshot;ItemCapabilityUnitDefinition"
"NRS01-S04","ItemCapabilityRuntimeFactContractSnapshot.v1","battleSessionId;eventId;eventSequence;itemInstanceId;baseItemId;placementId;triggerSuccess;firstTriggerInBattle;cleanseSuccess;cleanseExtraStackCount;consecutiveTriggerCount;chainCount3;nianCostBefore;nianCostAfter;refundUnits;factCompleteness","ITEM_RUNTIME_FACT_AUTHORITY","energy;cleanse;burst;clear","cleanse_stack;consecutive_trigger_count;nian_point;truth_state","stack;count;point;KnownTrue/KnownFalse/Unknown/Invalid","ELIGIBLE_RUNTIME_GATE_ONLY_WHEN_COMPLETE","Gates event-conditioned candidates and supplies same-domain realized counts/points","Cannot be fabricated from static possession and cannot be consumed without a Producer","Complete contract and Complete fact rows; missing/incomplete is Unknown","Exact IF01-bound event identity; duplicate event/sequence or mismatch is Invalid","NO_FORMAL_PRODUCER_EXISTS","Assets/_Game/Scripts/TalismanBag/Items/Capability/RuntimeFacts/ItemCapabilityRuntimeFactContract.cs","ItemCapabilityRuntimeFactContractSnapshot;ItemCapabilityRuntimeFactSnapshot"
"NRS01-S05","ItemInstanceProjectionContractSnapshot.v1","itemInstanceId;baseItemId;Affixes.affixId;Affixes.rawUnits","ITEM_INSTANCE_NATIVE_FACT_AUTHORITY","energy;control;cleanse;burst;clear","as declared by IF02 per affix","native units only","ELIGIBLE_STATIC_VALUE_INPUT_WHEN_COMPLETE","Supplies per-instance rolled rawUnits after IF01 and IF02 validation","Cannot prove placement lighting Build membership or a runtime condition","Complete projection universe and affix set","Exact itemInstanceId/baseItemId joined through IF01; duplicate source identity is Invalid or unresolved by policy","NOT_APPLICABLE","Assets/_Game/Scripts/TalismanBag/Items/Generation/Projection/ItemInstanceProjectionContract.cs","ItemInstanceProjectionContractSnapshot;ItemInstanceProjectionAffixSnapshot"
"NRS01-S06","ItemSystemSnapshot.v1","Catalog.ShapeCells;Placements.OccupiedCells;Placements.isLit;Placements.isCountedInBuild;Placements.ActiveCoreEffectIds","ITEM_PLACEMENT_FACT_AUTHORITY","all Item-backed eligibility;placement_shape meaning survey","shape_cell;occupied_cell;boolean;categorical_id","cell;bool;id","ELIGIBLE_ELIGIBILITY_AND_GEOMETRY_INPUT","Can prove placed geometry lighting and Build-counted state at the snapshot boundary","Raw occupied-cell count is not placement_shape BP and active-core IDs are not numeric weights","Complete valid ItemSystem snapshot","placementId/base item must join through IF01 to the projection instance","NOT_APPLICABLE","Assets/_Game/Scripts/TalismanBag/Items/ItemSystemSnapshot.cs","ItemSystemCatalogItemSnapshot.ShapeCells;ItemSystemPlacementSnapshot"
"NRS01-S07","ItemCapabilityUnitContractSnapshot.v1+ItemInstanceProjectionContractSnapshot.v1","affix_nian_efficiency.rawUnits","ITEM_NATIVE_FACT_AUTHORITY","capability.energy_stability","nian_cost_basis_point","basisPoint","ELIGIBLE_CANDIDATE_INPUT","May use same-domain BP identity only after planning meaning eligibility aggregation and horizon are approved","Must not be added to nian_point refund values","Complete projection/unit/binding/placement inputs","Unique eligible itemInstanceId plus affix source identity","RUNTIME_GATE_REQUIRED_FOR_SOURCE_CONDITION","Assets/_Game/Scripts/TalismanBag/Items/Capability/ItemCapabilityUnitContract.cs;Assets/_Game/Scripts/TalismanBag/Items/Generation/Projection/ItemInstanceProjectionContract.cs","affix_nian_efficiency;rawUnits"
"NRS01-S08","ItemCapabilityUnitContractSnapshot.v1+ItemCapabilityRuntimeFactContractSnapshot.v1","affix_trigger_refund.rawUnits;Facts.nianCostBefore;Facts.nianCostAfter;Facts.refundUnits","ITEM_NATIVE_AND_RUNTIME_FACT_AUTHORITY","capability.energy_stability","nian_point","point","ELIGIBLE_CANDIDATE_INPUT_WITH_SYMBOLIC_NET_RULE","Same-domain nian-point facts may form a dimensionless realized ratio after the net function and horizon are approved","Must not use a guessed nian-point-to-BP multiplier or add basisPoint parameters to point facts","Complete unit/projection/runtime horizon","Exact IF01-bound unique event identity","NEEDS_RUNTIME_PRODUCER","Assets/_Game/Scripts/TalismanBag/Items/Capability/RuntimeFacts/ItemCapabilityRuntimeFactContract.cs","nianCostBefore;nianCostAfter;refundUnits"
"NRS01-S09","ItemCapabilityUnitContractSnapshot.v1+ItemInstanceProjectionContractSnapshot.v1","affix_control_up.rawUnits","ITEM_NATIVE_FACT_AUTHORITY","capability.control_power","control_point","point","ELIGIBLE_CANDIDATE_INPUT_WITH_SYMBOLIC_SCALE","Can enter sum or max candidate after eligibility and CONTROL_BP_PER_POINT approval","Must not use nian point despite the shared point label and must not assume one point equals one BP","Complete unit/projection/binding/placement universe","Unique eligible itemInstanceId plus affix source identity","NOT_REQUIRED","Assets/_Game/Scripts/TalismanBag/Items/Capability/ItemCapabilityUnitContract.cs","affix_control_up;control_point"
"NRS01-S10","ItemCapabilityUnitContractSnapshot.v1+ItemCapabilityRuntimeFactContractSnapshot.v1","affix_cleanse_up.rawUnits;Facts.cleanseSuccess;Facts.cleanseExtraStackCount","ITEM_NATIVE_AND_RUNTIME_FACT_AUTHORITY","capability.cleanse_power","cleanse_stack","stack","ELIGIBLE_CANDIDATE_INPUT_WITH_SYMBOLIC_SCALE","Can use declared stack or realized extra stack only under an approved event horizon and CLEANSE_BP_PER_STACK","KnownFalse is not missing; missing success is Unknown; stacks cannot be treated as points or counts","Complete unit/projection/runtime horizon","Exact IF01-bound unique event identity","NEEDS_RUNTIME_PRODUCER","Assets/_Game/Scripts/TalismanBag/Items/Capability/RuntimeFacts/ItemCapabilityRuntimeFactContract.cs","cleanseSuccess;cleanseExtraStackCount"
"NRS01-S11","ItemCapabilityUnitContractSnapshot.v1+ItemCapabilityRuntimeFactContractSnapshot.v1","affix_first_trigger_bonus.rawUnits;Facts.triggerSuccess;Facts.firstTriggerInBattle;Facts.triggerOrdinal","ITEM_NATIVE_AND_RUNTIME_FACT_AUTHORITY","capability.burst_window","effect_basis_point","basisPoint","ELIGIBLE_CANDIDATE_INPUT_WITH_DIRECT_BP","Allows same-domain BP identity for a successful first trigger after semantic/aggregation approval","A static affix must not be projected as already triggered and later triggers must not contribute","Complete unit/projection/runtime battle horizon","Exact IF01-bound event; at most one successful ordinal-1 contribution per item per battle","NEEDS_RUNTIME_PRODUCER","Assets/_Game/Scripts/TalismanBag/Items/Capability/RuntimeFacts/ItemCapabilityRuntimeFactContract.cs","triggerSuccess;firstTriggerInBattle;triggerOrdinal"
"NRS01-S12","ItemCapabilityUnitContractSnapshot.v1+ItemCapabilityRuntimeFactContractSnapshot.v1","affix_chain_target.rawUnits;Facts.consecutiveTriggerCount;Facts.chainCount3","ITEM_NATIVE_AND_RUNTIME_FACT_AUTHORITY","capability.clear_power","target_count for value;consecutive_trigger_count for gate","count;count","ELIGIBLE_CANDIDATE_INPUT_WITH_SYMBOLIC_SCALE","Extra-target count may enter sum/max only if user confirms it represents clear breadth and approves CLEAR_BP_PER_TARGET_COUNT","The two count domains must not be interchanged; consecutiveTriggerCount is a gate not extra targets","Complete unit/projection/runtime horizon","Exact IF01-bound unique event identity","NEEDS_RUNTIME_PRODUCER","Assets/_Game/Scripts/TalismanBag/Items/Capability/RuntimeFacts/ItemCapabilityRuntimeFactContract.cs","consecutiveTriggerCount;chainCount3;affix_chain_target"
"NRS01-S13","DefaultEnemyMechanicVocabularyCatalog","six BuildCapability vocabulary descriptions","ENEMY_PLANNING_MEANING_AUTHORITY","all six","semantic","text","REFERENCE_ONLY_FOR_PLANNING_MEANING","Defines what Enemy means when reading each capability key","Cannot contribute Item values weights thresholds or normalization constants","Stable vocabulary source","Joined by exact capability key only","NOT_APPLICABLE","Assets/_Game/Scripts/TalismanBag/EnemySystem/Vocabulary/DefaultEnemyMechanicVocabularyCatalog.cs","Build capability entries"
"NRS01-S14","C02 fixed diagnostic baseline","ItemEnemyMatchupMatrix 8 scenarios x 4 encounters;unknownCapabilities","C02_IMPACT_BASELINE_ONLY","all six","unknown_reference;blocked_row","count;count","REFERENCE_ONLY_FOR_IMPACT","Supports conditional Unknown-reference and blocked-row impact calculations","Must not be fed into normalization or used for gameplay conclusions","Exactly 32 baseline rows","scenarioId+encounterId unique key","NOT_APPLICABLE","Docs/V0.4/Reports/ItemEnemyMatchupMatrix.csv","scenarioId;encounterId;unknownCapabilities"
"NRS01-S15","ItemBalanceWorkbench candidate payload","candidate affix intent labels and conditions","NON_AUTHORITATIVE_REFERENCE","energy;control;cleanse;burst;clear","candidate metadata","mixed","REFERENCE_ONLY_NOT_NUMERIC_AUTHORITY","May corroborate intended condition names where a stable IF contract independently exposes the fact","Cannot override IF02 units ranges IF03 truth state or supply an unapproved conversion","Not sufficient for Known capability","No eligibility join authority","NOT_BATTLE_CONNECTED","Assets/_Game/Scripts/TalismanBag/Items/Balance/ItemCompleteCandidateContent.cs","BuildRandomAffixDictionary candidate entries"
