id,area,check,method,result,evidence,userHandtestRequired,notes
REG-01,Scene,Open V04 sandbox scene from a cold editor state.,Scene verifier + grid scene binding snapshot.,PASS,sceneExists=True; binding=True,True,User should still press Play once to confirm no runtime Console noise.
REG-02,Tray,x2 / x3 / x4 items are present in the item tray.,Preview item shape cell-count scan.,PASS,x2=3; x3=2; x4=2,True,Visual size and readability stay under user handtest.
REG-03,Rotation,Rotation is only triggered from selected tray item info controls.,Controller source scan for tray-info rotation path and drag/board rotation guard text.,PASS,RotateSelectedItem/RotateTrayItem/TryCommitTrayRotation found.,True,User should try dragging and board items to confirm no accidental rotation.
REG-04,Placement,Legal placement succeeds and illegal placement returns cleanly.,Placement sample validator.,PASS,legal=2; illegalReturn=2,True,User should test overlap and out-of-board release in Play mode.
REG-05,Continue Battle,Prepare to continue battle reads the current board and refreshes Boss feedback.,BuildCombatPreview default board snapshot and readiness scan.,PASS,bossReadinessRows=9; placedSnapshotRead=True,True,"User should move a build, press continue battle, and observe refreshed feedback."
REG-06,Build Feedback,"Different builds produce different Boss state, cast, floating text, and combat log lines.",BuildCombatPreview rows + DevChapterBalanceRun distinct feedback scan.,PASS,bossState=9; cast=8; mechanic=28; logs=81; distinctBuildFeedback=4,True,User should compare at least two layouts before and after continuing battle.
REG-07,Dev Balance,3-10 and 4-10 devOnly balance recommendations are generated and readable.,DevChapterBalanceRun validator.,PASS,3-10=2; 4-10=2,False,"Covers over-easy, fit, and over-hard buckets."
REG-08,Player Leak,Player UI does not leak complete answer fields or forbidden solution keys.,Grid text leak scan + BuildCombatPreview + ShapeBuildRule + DevBalance counters.,PASS,playerLeaks=0,True,User should confirm player-visible text remains masked and Chinese-only.
REG-09,Feature Flags,All BuildSandbox feature flags remain default false.,BuildSandboxFeatureFlags.All scan.,PASS,defaultTrue=0,False,
REG-10,devOnly,All checked sandbox surfaces stay devOnly=true and isEnabled=false.,Scene controller + combat preview + shape preview + dev balance flags.,PASS,devOnlyFalse=0; isEnabledTrue=0,False,
REG-11,Formal Scope,"No formal run flow, save, reward, drop, chapter, or settings write is present.",Formal leak counters and Build Settings scan.,PASS,formalLeaks=0,False,
REG-12,Scene/Layout Scope,No formal scene or current V04 hand-tuned layout write is required by regression.,No scene binder is executed; balance run scene/layout touch flags are false.,PASS,formalSceneTouched=false; currentLayoutWrite=false,False,Git status should remain free of V02/V03 scene changes.
REG-13,Console,Regression validator has zero Error and zero Warning issues.,Aggregated validator issue counts.,PASS,errors=0; warnings=0,True,User Play-mode Console should also stay clear.
