evidenceId,capabilityKey,evidenceKind,sourceContract,stableKeyOrMember,sourceUnit,requiredConditions,whatItProves,whatItDoesNotProve,evidenceFile,evidenceLineOrSymbol
"E01","capability.break_power","C01_CONFIRMED_RULE","ItemInstanceProjectionContractSnapshot.v1+ItemAffixPoolAndRangeSchemaSnapshot.v1","affix_break_up","basisPoint","complete projection/schema set","C01 has a deterministic saturating-sum rule","No change is authorized by this survey","Assets/_Game/Scripts/TalismanBag/CrossSystem/ItemEnemy/ItemBuildCapabilityProjectionAdapter.cs","DefaultItemBuildCapabilityProjectionAdapter.Rules"
"E02","capability.cooldown_recovery","C01_CONFIRMED_RULE","ItemInstanceProjectionContractSnapshot.v1+ItemAffixPoolAndRangeSchemaSnapshot.v1","affix_cooldown_reduction","basisPoint","complete projection/schema set","C01 has a deterministic saturating-sum rule","No change is authorized by this survey","Assets/_Game/Scripts/TalismanBag/CrossSystem/ItemEnemy/ItemBuildCapabilityProjectionAdapter.cs","DefaultItemBuildCapabilityProjectionAdapter.Rules"
"E03","capability.guard_power","C01_CONFIRMED_RULE","ItemInstanceProjectionContractSnapshot.v1+ItemAffixPoolAndRangeSchemaSnapshot.v1","affix_guard_up","basisPoint","complete projection/schema set","C01 has a deterministic saturating-sum rule","No change is authorized by this survey","Assets/_Game/Scripts/TalismanBag/CrossSystem/ItemEnemy/ItemBuildCapabilityProjectionAdapter.cs","DefaultItemBuildCapabilityProjectionAdapter.Rules"
"E04","capability.burst_window","CANDIDATE_TECHNICAL_FACT","ItemBalanceWorkbenchCatalog candidate payload","affix_first_trigger_bonus:effect","basisPoint","on_first_trigger + first_trigger_in_battle","A stable technical candidate describes a conditional extra trigger","It does not confirm burst capability semantics or aggregation","Assets/_Game/Scripts/TalismanBag/Items/Balance/ItemCompleteCandidateContent.cs","BuildRandomAffixDictionary"
"E05","capability.cleanse_power","CANDIDATE_TECHNICAL_FACT","ItemBalanceWorkbenchCatalog candidate payload","affix_cleanse_up:effect","stack","on_cleanse + cleanse_success","A stable technical candidate targets cleanse stacks","It does not define stack-to-BP conversion or aggregation","Assets/_Game/Scripts/TalismanBag/Items/Balance/ItemCompleteCandidateContent.cs","BuildRandomAffixDictionary"
"E06","capability.clear_power","CANDIDATE_TECHNICAL_FACT","ItemBalanceWorkbenchCatalog candidate payload","affix_chain_target:effect","count","on_consecutive_trigger + chain_count_3","A stable technical candidate adds a target conditionally","It does not confirm clear-power semantics or count-to-BP conversion","Assets/_Game/Scripts/TalismanBag/Items/Balance/ItemCompleteCandidateContent.cs","BuildRandomAffixDictionary"
"E07","capability.control_power","CANDIDATE_TECHNICAL_FACT","ItemBalanceWorkbenchCatalog candidate payload","affix_control_up:effect","point","always","A stable technical candidate targets control points","It does not define point-to-BP conversion or aggregation","Assets/_Game/Scripts/TalismanBag/Items/Balance/ItemCompleteCandidateContent.cs","BuildRandomAffixDictionary"
"E08","capability.energy_stability","CANDIDATE_TECHNICAL_FACT","ItemBalanceWorkbenchCatalog candidate payload","affix_nian_efficiency:effect","point","before_trigger + nian_cost_gt_0","A stable technical candidate reduces resource cost","The schema/payload unit mismatch and capability aggregation are unresolved","Assets/_Game/Scripts/TalismanBag/Items/Balance/ItemCompleteCandidateContent.cs","BuildRandomAffixDictionary"
"E09","capability.energy_stability","CANDIDATE_TECHNICAL_FACT","ItemBalanceWorkbenchCatalog candidate payload","affix_trigger_refund:effect","point","after_trigger + trigger_success","A stable technical candidate refunds resource after a trigger","It does not define eligibility conversion or aggregation into stability BP","Assets/_Game/Scripts/TalismanBag/Items/Balance/ItemCompleteCandidateContent.cs","BuildRandomAffixDictionary"
"E10","capability.energy_stability","UNIT_CONTRACT_CONFLICT","ItemBalanceWorkbenchCatalog asset","affix_nian_efficiency","schema basisPoint; payload point","candidate/dev-only","The same stable key currently exposes conflicting unit evidence","No unit-safe direct mapping is possible","Assets/_Game/Configs/ItemBalanceWorkbench/ItemBalanceWorkbenchCatalog.asset","affix schema and effect payload"
"E11","capability.placement_shape","STABLE_SNAPSHOT_FACT","ItemSystemSnapshot.v1","shapeId;ShapeCells;coreCellLocal","categorical/cells","catalog item resolves by stable itemId","Stable shape facts exist","No shape-to-BP capability rule is locked","Assets/_Game/Scripts/TalismanBag/Items/ItemSystemSnapshot.cs","ItemSystemCatalogItemSnapshot"
"E12","capability.placement_shape","STABLE_SNAPSHOT_FACT","ItemSystemSnapshot.v1","OccupiedCells;isLit;isCountedInBuild;ActiveCoreEffectIds","cells/booleans/IDs","explicit instance-to-placement binding","Stable placement lighting and Build facts exist","No eligibility/conversion/aggregation rule is locked","Assets/_Game/Scripts/TalismanBag/Items/ItemSystemSnapshot.cs","ItemSystemPlacementSnapshot"
"E13","capability.debuff_counter","NON_MATCHING_CANDIDATE_FACT","ItemBalanceWorkbenchCatalog candidate payload","affix_debuff_target_power:effect","basisPoint","target_has_debuff","The candidate boosts basicEffect against a debuffed target","It is not a self-side debuff reduction immunity or counter fact","Assets/_Game/Scripts/TalismanBag/Items/Balance/ItemCompleteCandidateContent.cs","BuildRandomAffixDictionary"
"E14","capability.debuff_counter","NO_DEDICATED_CONTRACT_MEMBER","ItemInstanceProjectionContractSnapshot.v1","NONE_CONFIRMED","NONE","self-side debuff response","The projection exposes stats affixes core IDs and Build qualification","No dedicated debuff-counter fact is present","Assets/_Game/Scripts/TalismanBag/Items/Generation/Projection/ItemInstanceProjectionContract.cs","ItemInstanceProjectionContractSnapshot"
"E15","capability.spirit_lock","NO_DEDICATED_CONTRACT_MEMBER","ItemInstanceProjectionContractSnapshot.v1","NONE_CONFIRMED","NONE","resource theft/cut prevention","The projection exposes stats affixes core IDs and Build qualification","No dedicated spirit-lock or theft-prevention fact is present","Assets/_Game/Scripts/TalismanBag/Items/Generation/Projection/ItemInstanceProjectionContract.cs","ItemInstanceProjectionContractSnapshot"
"E16","capability.caster_interrupt","C01_RUNTIME_BOUNDARY","ItemBuildCapabilityProjectionAdapter.mapping.v1","capability.caster_interrupt","runtime signal","caster state + event outcome","C01 explicitly keeps this capability out of static projection","It must not be proposed for C02B static mapping","Assets/_Game/Scripts/TalismanBag/CrossSystem/ItemEnemy/ItemBuildCapabilityProjectionAdapter.cs","OutOfScopeCapabilityKeys"
"E17","capability.interrupt_timing","C01_RUNTIME_BOUNDARY","ItemBuildCapabilityProjectionAdapter.mapping.v1","capability.interrupt_timing","runtime time/event","cast window + timestamp/outcome","C01 explicitly keeps this capability out of static projection","It must not be proposed for C02B static mapping","Assets/_Game/Scripts/TalismanBag/CrossSystem/ItemEnemy/ItemBuildCapabilityProjectionAdapter.cs","OutOfScopeCapabilityKeys"
"E18","capability.chain_reaction","E10_NOT_REFERENCED","ItemEnemyMatchupCapabilityCoverage","capability.chain_reaction","requirement references=0","current E10 fixture","E10 contains no current requirement reference","C01 status remains unchanged","Docs/V0.4/Reports/ItemEnemyMatchupCapabilityCoverage.csv","coverage row"
