legacySourceKind,legacyKey,canonicalCategory,canonicalKey,mappingMode,status,reason
"BuildProblemRuleConfigs.WeaknessWindowConfig.windowType","timed_vulnerability","","","OUT_OF_SCOPE",OUT_OF_SCOPE,"Generic timing schema does not identify one of the six semantic counter-window categories."
"BuildProblemSeedData.MapRuleSeed.affectedTags","BreakPower","BuildCapability","capability.break_power","ONE_TO_ONE",MAPPED,"Legacy capability label maps to the matching abstract Build capability identity."
"BuildProblemSeedData.MapRuleSeed.affectedTags","BurstWindow","BuildCapability","capability.burst_window","ONE_TO_ONE",MAPPED,"Legacy capability label maps to the matching abstract Build capability identity."
"BuildProblemSeedData.MapRuleSeed.affectedTags","CasterInterrupt","BuildCapability","capability.caster_interrupt","ONE_TO_ONE",MAPPED,"Legacy capability label maps to the matching abstract Build capability identity."
"BuildProblemSeedData.MapRuleSeed.affectedTags","ChainReaction","BuildCapability","capability.chain_reaction","ONE_TO_ONE",MAPPED,"Legacy capability label maps to the matching abstract Build capability identity."
"BuildProblemSeedData.MapRuleSeed.affectedTags","CleansePower","BuildCapability","capability.cleanse_power","ONE_TO_ONE",MAPPED,"Legacy capability label maps to the matching abstract Build capability identity."
"BuildProblemSeedData.MapRuleSeed.affectedTags","ClearPower","BuildCapability","capability.clear_power","ONE_TO_ONE",MAPPED,"Legacy capability label maps to the matching abstract Build capability identity."
"BuildProblemSeedData.MapRuleSeed.affectedTags","ControlPower","BuildCapability","capability.control_power","ONE_TO_ONE",MAPPED,"Legacy capability label maps to the matching abstract Build capability identity."
"BuildProblemSeedData.MapRuleSeed.affectedTags","CooldownRecovery","BuildCapability","capability.cooldown_recovery","ONE_TO_ONE",MAPPED,"Legacy capability label maps to the matching abstract Build capability identity."
"BuildProblemSeedData.MapRuleSeed.affectedTags","EnergyStability","BuildCapability","capability.energy_stability","ONE_TO_ONE",MAPPED,"Legacy capability label maps to the matching abstract Build capability identity."
"BuildProblemSeedData.MapRuleSeed.affectedTags","GuardPower","BuildCapability","capability.guard_power","ONE_TO_ONE",MAPPED,"Legacy capability label maps to the matching abstract Build capability identity."
"BuildProblemSeedData.MapRuleSeed.affectedTags","PlacementShape","BuildCapability","capability.placement_shape","ONE_TO_ONE",MAPPED,"Legacy capability label maps to the matching abstract Build capability identity."
"BuildProblemSeedData.MapRuleSeed.affectedTags","PollutedTile","Mechanic|PressureChannel","mechanic.polluted_tile|pressure.placement_formation","ONE_TO_MANY",MAPPED,"Legacy semantic decomposed into stable Enemy vocabulary primitives."
"BuildProblemSeedData.MapRuleSeed.affectedTags","SmokePressure","","","OUT_OF_SCOPE",OUT_OF_SCOPE,"Visibility/environment effect is not one of the first stable pressure channels; retain for E03 map-rule normalization."
"BuildProblemSeedData.MapRuleSeed.buffTags","AshWard","","","OUT_OF_SCOPE",OUT_OF_SCOPE,"Map-specific buff/effect token is content data, not an abstract Enemy mechanic or Build capability."
"BuildProblemSeedData.MapRuleSeed.buffTags","BellResonance","","","OUT_OF_SCOPE",OUT_OF_SCOPE,"Map-specific buff/effect token is content data, not an abstract Enemy mechanic or Build capability."
"BuildProblemSeedData.MapRuleSeed.buffTags","DryCharm","","","OUT_OF_SCOPE",OUT_OF_SCOPE,"Map-specific buff/effect token is content data, not an abstract Enemy mechanic or Build capability."
"BuildProblemSeedData.MapRuleSeed.buffTags","EchoTrace","","","OUT_OF_SCOPE",OUT_OF_SCOPE,"Map-specific buff/effect token is content data, not an abstract Enemy mechanic or Build capability."
"BuildProblemSeedData.MapRuleSeed.buffTags","FormationAnchor","","","OUT_OF_SCOPE",OUT_OF_SCOPE,"Map-specific buff/effect token is content data, not an abstract Enemy mechanic or Build capability."
"BuildProblemSeedData.MapRuleSeed.buffTags","LampFocus","","","OUT_OF_SCOPE",OUT_OF_SCOPE,"Map-specific buff/effect token is content data, not an abstract Enemy mechanic or Build capability."
"BuildProblemSeedData.MapRuleSeed.buffTags","StoneLine","","","OUT_OF_SCOPE",OUT_OF_SCOPE,"Map-specific buff/effect token is content data, not an abstract Enemy mechanic or Build capability."
"BuildProblemSeedData.MapRuleSeed.buffTags","ThunderEcho","","","OUT_OF_SCOPE",OUT_OF_SCOPE,"Map-specific buff/effect token is content data, not an abstract Enemy mechanic or Build capability."
"BuildProblemSeedData.MapRuleSeed.buffTags","WatchLamp","","","OUT_OF_SCOPE",OUT_OF_SCOPE,"Map-specific buff/effect token is content data, not an abstract Enemy mechanic or Build capability."
"BuildProblemSeedData.MapRuleSeed.buffTags","WaterTrace","","","OUT_OF_SCOPE",OUT_OF_SCOPE,"Map-specific buff/effect token is content data, not an abstract Enemy mechanic or Build capability."
