checkId,area,expected,actual,status,notes
"schema-id","schema","EnemyMechanicVocabulary.v1","EnemyMechanicVocabulary.v1",PASS,"Schema ID is exact and case-sensitive."
"schema-version","schema","1","1",PASS,"Schema version remains independently machine-readable."
"provider-contract","contract","Provider and lookup contracts implemented","implemented",PASS,"Construction and strict lookup are exposed through read-only contracts."
"string-stable-key-types","contract","6 sealed string identity types; no growing mechanism enum","6 string identity types",PASS,"Mechanic and capability sets can grow by adding namespaced string data without enum reordering."
"coverage-Mechanic","coverage","12","12",PASS,"First vocabulary release has explicit semantic coverage for this category."
"coverage-BuildCapability","coverage","16","16",PASS,"First vocabulary release has explicit semantic coverage for this category."
"coverage-PressureChannel","coverage","9","9",PASS,"First vocabulary release has explicit semantic coverage for this category."
"coverage-CounterWindowType","coverage","6","6",PASS,"First vocabulary release has explicit semantic coverage for this category."
"coverage-PlayerHintCategory","coverage","10","10",PASS,"First vocabulary release has explicit semantic coverage for this category."
"coverage-DeveloperDiagnosticCategory","coverage","10","10",PASS,"First vocabulary release has explicit semantic coverage for this category."
"required-semantic-keys","coverage","All Assignment-required Mechanic/Capability/Pressure/Counter keys","all present",PASS,"The initial catalog covers every semantic family named by E02."
"developer-labels-zh","coverage","Every entry has a developer Chinese label","all present",PASS,"Stable English keys and developer Chinese labels are separate fields."
"lookup-exact-ordinal","lookup","Exact category/key resolves","resolved",PASS,"Lookup uses exact ordinal identity."
"lookup-case-sensitive","lookup","Case variant does not resolve","strict",PASS,"Case is part of stable identity."
"lookup-no-implicit-trim","lookup","Padded key does not resolve","strict",PASS,"Lookup never normalizes stable identity."
"lookup-category-strict","lookup","Wrong category does not resolve","strict",PASS,"Category remains part of lookup identity."
"lookup-unknown-safe","lookup","Unknown/null returns false","safe false",PASS,"Unknown keys do not throw or substitute another identity."
"input-defensive-copy","immutability","Caller list mutation cannot alter input/snapshot","unchanged",PASS,"Input and output construction boundaries defensively copy collections."
"output-collections-read-only","immutability","Entry and mapping collections reject mutation","all rejected",PASS,"Snapshot collections are backed by ReadOnlyCollection."
"mapping-targets-read-only","immutability","Mapping targets reject mutation","rejected",PASS,"One-to-many mapping targets cannot be changed through returned references."
