caseId,category,expected,actual,result
catalog.loaded,catalog,not null,loaded,PASS
catalog.validation,catalog,0 errors,0 errors,PASS
catalog.profile_count,prototype_30,30,30,PASS
catalog.version_count,version_150,150,150,PASS
catalog.range_count,stat_range_600,600,600,PASS
catalog.i031_excluded,i031_exclusion,0,0,PASS
catalog.maturity,data_maturity,BALANCE_CANDIDATE,BALANCE_CANDIDATE,PASS
profile.I001,prototype_30,I001-I030 unique,I001,PASS
version.I001@white,version_150,I001@white / BALANCE_CANDIDATE,I001@white / BALANCE_CANDIDATE,PASS
range.I001@white.damage,stat_range_600,"defined, ordered, step-aligned",8..12,PASS
range.I001@white.break,stat_range_600,"defined, ordered, step-aligned",5..8,PASS
range.I001@white.nianCost,stat_range_600,"defined, ordered, step-aligned",4..5,PASS
range.I001@white.cooldown,stat_range_600,"defined, ordered, step-aligned",5..6,PASS
version.I001@green,version_150,I001@green / BALANCE_CANDIDATE,I001@green / BALANCE_CANDIDATE,PASS
range.I001@green.damage,stat_range_600,"defined, ordered, step-aligned",11..16,PASS
range.I001@green.break,stat_range_600,"defined, ordered, step-aligned",7..10,PASS
range.I001@green.nianCost,stat_range_600,"defined, ordered, step-aligned",4..4,PASS
range.I001@green.cooldown,stat_range_600,"defined, ordered, step-aligned",5..5,PASS
version.I001@blue,version_150,I001@blue / BALANCE_CANDIDATE,I001@blue / BALANCE_CANDIDATE,PASS
range.I001@blue.damage,stat_range_600,"defined, ordered, step-aligned",15..20,PASS
range.I001@blue.break,stat_range_600,"defined, ordered, step-aligned",9..13,PASS
range.I001@blue.nianCost,stat_range_600,"defined, ordered, step-aligned",3..4,PASS
range.I001@blue.cooldown,stat_range_600,"defined, ordered, step-aligned",4..5,PASS
version.I001@purple,version_150,I001@purple / BALANCE_CANDIDATE,I001@purple / BALANCE_CANDIDATE,PASS
range.I001@purple.damage,stat_range_600,"defined, ordered, step-aligned",18..22,PASS
range.I001@purple.break,stat_range_600,"defined, ordered, step-aligned",11..14,PASS
range.I001@purple.nianCost,stat_range_600,"defined, ordered, step-aligned",2..3,PASS
range.I001@purple.cooldown,stat_range_600,"defined, ordered, step-aligned",3..4,PASS
version.I001@orange,version_150,I001@orange / BALANCE_CANDIDATE,I001@orange / BALANCE_CANDIDATE,PASS
range.I001@orange.damage,stat_range_600,"defined, ordered, step-aligned",22..24,PASS
range.I001@orange.break,stat_range_600,"defined, ordered, step-aligned",14..15,PASS
range.I001@orange.nianCost,stat_range_600,"defined, ordered, step-aligned",2..3,PASS
range.I001@orange.cooldown,stat_range_600,"defined, ordered, step-aligned",3..4,PASS
profile.I002,prototype_30,I001-I030 unique,I002,PASS
version.I002@white,version_150,I002@white / BALANCE_CANDIDATE,I002@white / BALANCE_CANDIDATE,PASS
range.I002@white.damage,stat_range_600,"defined, ordered, step-aligned",12..18,PASS
range.I002@white.control,stat_range_600,"defined, ordered, step-aligned",1..3,PASS
range.I002@white.nianCost,stat_range_600,"defined, ordered, step-aligned",5..6,PASS
range.I002@white.cooldown,stat_range_600,"defined, ordered, step-aligned",5..6,PASS
version.I002@green,version_150,I002@green / BALANCE_CANDIDATE,I002@green / BALANCE_CANDIDATE,PASS
range.I002@green.damage,stat_range_600,"defined, ordered, step-aligned",16..23,PASS
range.I002@green.control,stat_range_600,"defined, ordered, step-aligned",3..6,PASS
range.I002@green.nianCost,stat_range_600,"defined, ordered, step-aligned",5..5,PASS
range.I002@green.cooldown,stat_range_600,"defined, ordered, step-aligned",5..5,PASS
