code,targetCapabilityKey,sourceStableKey,detail
"BUILD_QUALIFICATION_RULE_UNCONFIRMED","","Dual","Build qualification is categorical and is not converted to capability BP."
"BUILD_QUALIFICATION_RULE_UNCONFIRMED","","FaMenOnly","Build qualification is categorical and is not converted to capability BP."
"CAPABILITY_REQUIRES_RUNTIME_TIMING_FACT","capability.caster_interrupt","","Runtime timing or caster-state evidence is outside this read-only adapter."
"CAPABILITY_REQUIRES_RUNTIME_TIMING_FACT","capability.interrupt_timing","","Runtime timing or caster-state evidence is outside this read-only adapter."
"CAPABILITY_RULE_NOT_CONFIRMED","capability.burst_window","","No stable, unit-safe Item-to-capability rule is confirmed; value is omitted."
"CAPABILITY_RULE_NOT_CONFIRMED","capability.chain_reaction","","No stable, unit-safe Item-to-capability rule is confirmed; value is omitted."
"CAPABILITY_RULE_NOT_CONFIRMED","capability.cleanse_power","","No stable, unit-safe Item-to-capability rule is confirmed; value is omitted."
"CAPABILITY_RULE_NOT_CONFIRMED","capability.clear_power","","No stable, unit-safe Item-to-capability rule is confirmed; value is omitted."
"CAPABILITY_RULE_NOT_CONFIRMED","capability.control_power","","No stable, unit-safe Item-to-capability rule is confirmed; value is omitted."
"CAPABILITY_RULE_NOT_CONFIRMED","capability.debuff_counter","","No stable, unit-safe Item-to-capability rule is confirmed; value is omitted."
"CAPABILITY_RULE_NOT_CONFIRMED","capability.energy_stability","","No stable, unit-safe Item-to-capability rule is confirmed; value is omitted."
"CAPABILITY_RULE_NOT_CONFIRMED","capability.placement_shape","","No stable, unit-safe Item-to-capability rule is confirmed; value is omitted."
"CAPABILITY_RULE_NOT_CONFIRMED","capability.spirit_lock","","No stable, unit-safe Item-to-capability rule is confirmed; value is omitted."
"CAPABILITY_RULE_NOT_CONFIRMED","capability.sustained_damage","","No stable, unit-safe Item-to-capability rule is confirmed; value is omitted."
"CAPABILITY_RULE_NOT_CONFIRMED","capability.thunder_chain","","No stable, unit-safe Item-to-capability rule is confirmed; value is omitted."
"ITEM_SYSTEM_BUILD_FACTS_MISSING","","","Shape, lighting, Build tag, and active-core facts are absent and remain Unknown."
"UNMAPPED_ELIGIBLE_CORE_EFFECT_KEY","","core_stable_eligible","Eligibility does not prove an active capability contribution."
"UNMAPPED_STABLE_AFFIX_KEY","","affix_unmapped_stable","Stable affix key has no confirmed target capability rule."
"UNMAPPED_STABLE_STAT_KEY","","damage","Stat rawUnits has no confirmed basis-point capability conversion."
"UNMAPPED_VISIBLE_CORE_EFFECT_KEY","","core_stable_eligible","Visible core effect has no confirmed capability conversion."
