capabilityKey,c01MappingStatus,itemScenariosWithKnownValue,encounterRequirementReferences,evaluableMatchupCount,blockedMatchupCount,nextAction
"capability.break_power","SUPPORTED","8","2","0","16","NONE_C01_READ_ONLY"
"capability.burst_window","UNKNOWN_NOT_MAPPED","0","5","0","24","GUARD_CONFIRMED_MAPPING_FACT_REQUIRED"
"capability.caster_interrupt","OUT_OF_SCOPE","0","0","0","0","RUNTIME_TIMING_FACT_REQUIRED_OUT_OF_SCOPE"
"capability.chain_reaction","UNKNOWN_NOT_MAPPED","0","0","0","0","GUARD_CONFIRMED_MAPPING_FACT_REQUIRED"
"capability.cleanse_power","UNKNOWN_NOT_MAPPED","0","8","0","32","GUARD_CONFIRMED_MAPPING_FACT_REQUIRED"
"capability.clear_power","UNKNOWN_NOT_MAPPED","0","2","0","16","GUARD_CONFIRMED_MAPPING_FACT_REQUIRED"
"capability.control_power","UNKNOWN_NOT_MAPPED","0","10","0","32","GUARD_CONFIRMED_MAPPING_FACT_REQUIRED"
"capability.cooldown_recovery","SUPPORTED","8","0","0","0","NONE_C01_READ_ONLY"
"capability.debuff_counter","UNKNOWN_NOT_MAPPED","0","1","0","8","GUARD_CONFIRMED_MAPPING_FACT_REQUIRED"
"capability.energy_stability","UNKNOWN_NOT_MAPPED","0","11","0","32","GUARD_CONFIRMED_MAPPING_FACT_REQUIRED"
"capability.guard_power","SUPPORTED","8","9","0","32","NONE_C01_READ_ONLY"
"capability.interrupt_timing","OUT_OF_SCOPE","0","1","0","8","RUNTIME_TIMING_FACT_REQUIRED_OUT_OF_SCOPE"
"capability.placement_shape","UNKNOWN_NOT_MAPPED","0","7","0","32","GUARD_CONFIRMED_MAPPING_FACT_REQUIRED"
"capability.spirit_lock","UNKNOWN_NOT_MAPPED","0","2","0","16","GUARD_CONFIRMED_MAPPING_FACT_REQUIRED"
"capability.sustained_damage","UNKNOWN_NOT_MAPPED","0","0","0","0","GUARD_CONFIRMED_MAPPING_FACT_REQUIRED"
"capability.thunder_chain","UNKNOWN_NOT_MAPPED","0","0","0","0","GUARD_CONFIRMED_MAPPING_FACT_REQUIRED"
