caseId,result,detail
"candidate-I001-white",PASS,"seed=810000; ranges=4; qualification=None"
"candidate-I001-green",PASS,"seed=810001; ranges=4; qualification=QiLeiOnly"
"candidate-I001-blue",PASS,"seed=810002; ranges=4; qualification=None"
"candidate-I001-purple",PASS,"seed=810003; ranges=4; qualification=FaMenOnly"
"candidate-I001-orange",PASS,"seed=810004; ranges=4; qualification=Dual"
"candidate-I002-white",PASS,"seed=810005; ranges=4; qualification=None"
"candidate-I002-green",PASS,"seed=810006; ranges=4; qualification=None"
"candidate-I002-blue",PASS,"seed=810007; ranges=4; qualification=QiLeiOnly"
"candidate-I002-purple",PASS,"seed=810008; ranges=4; qualification=None"
"candidate-I002-orange",PASS,"seed=810009; ranges=4; qualification=FaMenOnly"
"candidate-I003-white",PASS,"seed=810010; ranges=4; qualification=None"
"candidate-I003-green",PASS,"seed=810011; ranges=4; qualification=None"
"candidate-I003-blue",PASS,"seed=810012; ranges=4; qualification=QiLeiOnly"
"candidate-I003-purple",PASS,"seed=810013; ranges=4; qualification=QiLeiOnly"
"candidate-I003-orange",PASS,"seed=810014; ranges=4; qualification=Dual"
"candidate-I004-white",PASS,"seed=810015; ranges=4; qualification=None"
"candidate-I004-green",PASS,"seed=810016; ranges=4; qualification=None"
"candidate-I004-blue",PASS,"seed=810017; ranges=4; qualification=Dual"
"candidate-I004-purple",PASS,"seed=810018; ranges=4; qualification=None"
"candidate-I004-orange",PASS,"seed=810019; ranges=4; qualification=FaMenOnly"
"candidate-I005-white",PASS,"seed=810020; ranges=4; qualification=None"
"candidate-I005-green",PASS,"seed=810021; ranges=4; qualification=FaMenOnly"
"candidate-I005-blue",PASS,"seed=810022; ranges=4; qualification=QiLeiOnly"
"candidate-I005-purple",PASS,"seed=810023; ranges=4; qualification=Dual"
"candidate-I005-orange",PASS,"seed=810024; ranges=4; qualification=None"
"candidate-I006-white",PASS,"seed=810025; ranges=4; qualification=None"
"candidate-I006-green",PASS,"seed=810026; ranges=4; qualification=FaMenOnly"
"candidate-I006-blue",PASS,"seed=810027; ranges=4; qualification=QiLeiOnly"
"candidate-I006-purple",PASS,"seed=810028; ranges=4; qualification=None"
"candidate-I006-orange",PASS,"seed=810029; ranges=4; qualification=FaMenOnly"
"candidate-I007-white",PASS,"seed=810030; ranges=4; qualification=None"
"candidate-I007-green",PASS,"seed=810031; ranges=4; qualification=FaMenOnly"
"candidate-I007-blue",PASS,"seed=810032; ranges=4; qualification=None"
"candidate-I007-purple",PASS,"seed=810033; ranges=4; qualification=FaMenOnly"
"candidate-I007-orange",PASS,"seed=810034; ranges=4; qualification=FaMenOnly"
"candidate-I008-white",PASS,"seed=810035; ranges=4; qualification=None"
"candidate-I008-green",PASS,"seed=810036; ranges=4; qualification=None"
"candidate-I008-blue",PASS,"seed=810037; ranges=4; qualification=QiLeiOnly"
"candidate-I008-purple",PASS,"seed=810038; ranges=4; qualification=Dual"
"candidate-I008-orange",PASS,"seed=810039; ranges=4; qualification=Dual"
"candidate-I009-white",PASS,"seed=810040; ranges=4; qualification=None"
"candidate-I009-green",PASS,"seed=810041; ranges=4; qualification=FaMenOnly"
"candidate-I009-blue",PASS,"seed=810042; ranges=4; qualification=QiLeiOnly"
"candidate-I009-purple",PASS,"seed=810043; ranges=4; qualification=None"
"candidate-I009-orange",PASS,"seed=810044; ranges=4; qualification=Dual"
"candidate-I010-white",PASS,"seed=810045; ranges=4; qualification=None"
"candidate-I010-green",PASS,"seed=810046; ranges=4; qualification=None"
"candidate-I010-blue",PASS,"seed=810047; ranges=4; qualification=FaMenOnly"
"candidate-I010-purple",PASS,"seed=810048; ranges=4; qualification=Dual"
"candidate-I010-orange",PASS,"seed=810049; ranges=4; qualification=FaMenOnly"
"candidate-I011-white",PASS,"seed=810050; ranges=4; qualification=None"
"candidate-I011-green",PASS,"seed=810051; ranges=4; qualification=None"
"candidate-I011-blue",PASS,"seed=810052; ranges=4; qualification=QiLeiOnly"
"candidate-I011-purple",PASS,"seed=810053; ranges=4; qualification=QiLeiOnly"
"candidate-I011-orange",PASS,"seed=810054; ranges=4; qualification=FaMenOnly"
"candidate-I012-white",PASS,"seed=810055; ranges=4; qualification=None"
"candidate-I012-green",PASS,"seed=810056; ranges=4; qualification=None"
"candidate-I012-blue",PASS,"seed=810057; ranges=4; qualification=None"
"candidate-I012-purple",PASS,"seed=810058; ranges=4; qualification=None"
"candidate-I012-orange",PASS,"seed=810059; ranges=4; qualification=Dual"
"candidate-I013-white",PASS,"seed=810060; ranges=4; qualification=None"
"candidate-I013-green",PASS,"seed=810061; ranges=4; qualification=None"
"candidate-I013-blue",PASS,"seed=810062; ranges=4; qualification=FaMenOnly"
"candidate-I013-purple",PASS,"seed=810063; ranges=4; qualification=FaMenOnly"
"candidate-I013-orange",PASS,"seed=810064; ranges=4; qualification=Dual"
"candidate-I014-white",PASS,"seed=810065; ranges=4; qualification=None"
"candidate-I014-green",PASS,"seed=810066; ranges=4; qualification=None"
"candidate-I014-blue",PASS,"seed=810067; ranges=4; qualification=FaMenOnly"
"candidate-I014-purple",PASS,"seed=810068; ranges=4; qualification=None"
"candidate-I014-orange",PASS,"seed=810069; ranges=4; qualification=Dual"
"candidate-I015-white",PASS,"seed=810070; ranges=4; qualification=None"
"candidate-I015-green",PASS,"seed=810071; ranges=4; qualification=FaMenOnly"
"candidate-I015-blue",PASS,"seed=810072; ranges=4; qualification=None"
"candidate-I015-purple",PASS,"seed=810073; ranges=4; qualification=None"
"candidate-I015-orange",PASS,"seed=810074; ranges=4; qualification=Dual"
"candidate-I016-white",PASS,"seed=810075; ranges=4; qualification=None"
"candidate-I016-green",PASS,"seed=810076; ranges=4; qualification=None"
"candidate-I016-blue",PASS,"seed=810077; ranges=4; qualification=FaMenOnly"
"candidate-I016-purple",PASS,"seed=810078; ranges=4; qualification=Dual"
"candidate-I016-orange",PASS,"seed=810079; ranges=4; qualification=FaMenOnly"
"candidate-I017-white",PASS,"seed=810080; ranges=4; qualification=None"
"candidate-I017-green",PASS,"seed=810081; ranges=4; qualification=None"
"candidate-I017-blue",PASS,"seed=810082; ranges=4; qualification=FaMenOnly"
"candidate-I017-purple",PASS,"seed=810083; ranges=4; qualification=Dual"
"candidate-I017-orange",PASS,"seed=810084; ranges=4; qualification=Dual"
"candidate-I018-white",PASS,"seed=810085; ranges=4; qualification=None"
"candidate-I018-green",PASS,"seed=810086; ranges=4; qualification=FaMenOnly"
"candidate-I018-blue",PASS,"seed=810087; ranges=4; qualification=QiLeiOnly"
"candidate-I018-purple",PASS,"seed=810088; ranges=4; qualification=Dual"
"candidate-I018-orange",PASS,"seed=810089; ranges=4; qualification=Dual"
"candidate-I019-white",PASS,"seed=810090; ranges=4; qualification=None"
"candidate-I019-green",PASS,"seed=810091; ranges=4; qualification=None"
"candidate-I019-blue",PASS,"seed=810092; ranges=4; qualification=None"
"candidate-I019-purple",PASS,"seed=810093; ranges=4; qualification=Dual"
"candidate-I019-orange",PASS,"seed=810094; ranges=4; qualification=Dual"
"candidate-I020-white",PASS,"seed=810095; ranges=4; qualification=None"
"candidate-I020-green",PASS,"seed=810096; ranges=4; qualification=None"
"candidate-I020-blue",PASS,"seed=810097; ranges=4; qualification=None"
"candidate-I020-purple",PASS,"seed=810098; ranges=4; qualification=QiLeiOnly"
"candidate-I020-orange",PASS,"seed=810099; ranges=4; qualification=Dual"
"candidate-I021-white",PASS,"seed=810100; ranges=4; qualification=None"
"candidate-I021-green",PASS,"seed=810101; ranges=4; qualification=None"
"candidate-I021-blue",PASS,"seed=810102; ranges=4; qualification=None"
"candidate-I021-purple",PASS,"seed=810103; ranges=4; qualification=FaMenOnly"
"candidate-I021-orange",PASS,"seed=810104; ranges=4; qualification=Dual"
"candidate-I022-white",PASS,"seed=810105; ranges=4; qualification=None"
"candidate-I022-green",PASS,"seed=810106; ranges=4; qualification=None"
"candidate-I022-blue",PASS,"seed=810107; ranges=4; qualification=None"
