"evidenceRowId","surveyRowId","sourceCarrierId","sourceKind","sourceTextExact","sourceCommitmentExact","primaryClassification","matchedE02Category","matchedE02StableKeys","bindingStatus","runtimeImplemented","semanticComparison","evidenceSource","evidenceConfidence","notesDeveloperOnly"
"E02-EVID-001","REUSE-001","bone_aspect_boss_c1_bone_guard","P1_E02_CANDIDATE_REFERENCE","mechanic.layered_shield","骨瓷护壳、保护盲眼女人、破壳后“忠”字骨铭核心暴露；禁止召唤和分裂","EXACT_E02_REUSE","Mechanic","mechanic.layered_shield","CandidateReuseOnly","false","已验收 E02「层叠护盾」定义为「敌方以可重复叠加或恢复的护盾层制造压力。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=1","HIGH","P1 CandidateReuseOnly status preserved exactly; no binding created."
"E02-EVID-002","REUSE-002","bone_aspect_boss_c1_bone_guard","P1_E02_CANDIDATE_REFERENCE","counter_window.shell_break","骨瓷护壳、保护盲眼女人、破壳后“忠”字骨铭核心暴露；禁止召唤和分裂","EXACT_E02_REUSE","CounterWindowType","counter_window.shell_break","CandidateReuseOnly","false","已验收 E02「破壳后虚弱」定义为「成功破除护壳后出现的虚弱窗口。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=2","HIGH","P1 CandidateReuseOnly status preserved exactly; no binding created."
"E02-EVID-003","REUSE-003","bone_aspect_boss_c2_identity_bidder","P1_E02_CANDIDATE_REFERENCE","mechanic.long_cast","书生/将军/富商身份切换、弱点随身份变化、翻阅骨契册时暴露打断窗口；辅助机制二选一","EXACT_E02_REUSE","Mechanic","mechanic.long_cast","CandidateReuseOnly","false","已验收 E02「长读条施法」定义为「敌方通过可观察的长读条准备关键技能。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=3","HIGH","P1 CandidateReuseOnly status preserved exactly; no binding created."
"E02-EVID-004","REUSE-004","bone_aspect_boss_c2_identity_bidder","P1_E02_CANDIDATE_REFERENCE","counter_window.interrupt_stagger","书生/将军/富商身份切换、弱点随身份变化、翻阅骨契册时暴露打断窗口；辅助机制二选一","EXACT_E02_REUSE","CounterWindowType","counter_window.interrupt_stagger","CandidateReuseOnly","false","已验收 E02「打断后僵直」定义为「成功打断施法后出现的僵直窗口。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=4","HIGH","P1 CandidateReuseOnly status preserved exactly; no binding created."
"E02-EVID-005","REUSE-005","bone_aspect_boss_c3_array_eye_guardian","P1_E02_CANDIDATE_REFERENCE","mechanic.formation_eye_disruption","石相防守、符影进攻、空位阶段暴露阵眼；结局为停止攻击并让路，不是普通死亡","EXACT_E02_REUSE","Mechanic","mechanic.formation_eye_disruption","CandidateReuseOnly","false","已验收 E02「阵眼干扰」定义为「敌方干扰阵眼、阵位或供能链稳定。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=5","HIGH","P1 CandidateReuseOnly status preserved exactly; no binding created."
"E02-EVID-006","REUSE-006","bone_aspect_boss_c3_array_eye_guardian","P1_E02_CANDIDATE_REFERENCE","mechanic.layered_shield","石相防守、符影进攻、空位阶段暴露阵眼；结局为停止攻击并让路，不是普通死亡","EXACT_E02_REUSE","Mechanic","mechanic.layered_shield","CandidateReuseOnly","false","已验收 E02「层叠护盾」定义为「敌方以可重复叠加或恢复的护盾层制造压力。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=6","HIGH","P1 CandidateReuseOnly status preserved exactly; no binding created."
"E02-EVID-007","REUSE-007","bone_aspect_boss_c3_array_eye_guardian","P1_E02_CANDIDATE_REFERENCE","counter_window.shell_break","石相防守、符影进攻、空位阶段暴露阵眼；结局为停止攻击并让路，不是普通死亡","EXACT_E02_REUSE","CounterWindowType","counter_window.shell_break","CandidateReuseOnly","false","已验收 E02「破壳后虚弱」定义为「成功破除护壳后出现的虚弱窗口。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=7","HIGH","P1 CandidateReuseOnly status preserved exactly; no binding created."
"E02-EVID-008","REUSE-008","bone_aspect_boss_c4_myriad_bone_beast","P1_E02_CANDIDATE_REFERENCE","mechanic.burst_spike","交易封存、两种能力形态切换、空白骨片解除封存并进入输出阶段、记忆回流使骨瓷结构崩解","EXACT_E02_REUSE","Mechanic","mechanic.burst_spike","CandidateReuseOnly","false","已验收 E02「高爆发」定义为「敌方在短时间内制造显著承伤峰值。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=8","HIGH","P1 CandidateReuseOnly status preserved exactly; no binding created."
"E02-EVID-009","REUSE-009","bone_aspect_boss_c4_myriad_bone_beast","P1_E02_CANDIDATE_REFERENCE","mechanic.talisman_seal","交易封存、两种能力形态切换、空白骨片解除封存并进入输出阶段、记忆回流使骨瓷结构崩解","EXACT_E02_REUSE","Mechanic","mechanic.talisman_seal","CandidateReuseOnly","false","已验收 E02「封符」定义为「敌方压制或暂时封锁符箓触发。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=9","HIGH","P1 CandidateReuseOnly status preserved exactly; no binding created."
"E02-EVID-010","REUSE-010","bone_aspect_enemy_c1_01_shattered_host","P1_E02_CANDIDATE_REFERENCE","mechanic.basic_pressure","基础攻击、附身状态、死亡后短暂骨粉区域","EXACT_E02_REUSE","Mechanic","mechanic.basic_pressure","CandidateReuseOnly","false","已验收 E02「基础压力」定义为「不带专用机制原语的基础战斗压力。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=10","HIGH","P1 CandidateReuseOnly status preserved exactly; no binding created."
