caseId,area,expected,actual,diagnosticCode,result
"assignment-sha-before","source","6cb361ea6628cd6958f24247d77a43bb73d8241b1780d7e6614fea04cb914090","6cb361ea6628cd6958f24247d77a43bb73d8241b1780d7e6614fea04cb914090","ASSIGNMENT_SHA_MISMATCH","PASS"
"positive-first-stage-clear","positive","VALID","VALID","","PASS"
"positive-first-request","positive","VALID","VALID","","PASS"
"positive-first-roll-result","positive","VALID","VALID","","PASS"
"positive-first-reward-result","positive","VALID","VALID","","PASS"
"positive-first-claim","positive","VALID","VALID","","PASS"
"positive-first-dedupe","positive","VALID","VALID","","PASS"
"positive-repeat-pipeline","positive","VALID","VALID","","PASS"
"positive-offline-no-stage-clear-forgery","positive","VALID","VALID","","PASS"
"positive-offline-stage-clear-empty","positive","no StageClear identity","","OFFLINE_STAGE_CLEAR_FORGERY","PASS"
"positive-boss-first-clear-guaranteed","positive","VALID","VALID","","PASS"
"positive-campaign-stage-to-claim-correlation","positive","unchanged context and StageClear identity","7f03fe16359032d927d50dc310554fc736f9fbf34b790be624a73136d97c437f","CORRELATION_MISMATCH","PASS"
"positive-null-collection-normalization","positive","VALID","VALID","","PASS"
"positive-empty-collections-read-only","positive","0/0/0","0/0/0","EMPTY_NORMALIZATION_FAILED","PASS"
"positive-defensive-copy-all-collections","immutability","2/2/2/1","2/2/2/1","DEFENSIVE_COPY_FAILED","PASS"
"positive-exclusion-identity","positive","VALID","VALID","","PASS"
"positive-exclusion-set-normalization","positive","18bf18aa9d41b31c7ec4b4f475eed3823d3f2688411349a7128d36bcacd40000","18bf18aa9d41b31c7ec4b4f475eed3823d3f2688411349a7128d36bcacd40000","SET_CANONICALIZATION_FAILED","PASS"
"positive-invariant-culture-canonical","canonical","f07f849302e634023dc846672c05621fde1b15a35eef2e11f6dce07de20ad512","f07f849302e634023dc846672c05621fde1b15a35eef2e11f6dce07de20ad512","CULTURE_DEPENDENCY","PASS"
"positive-ordinal-identifier-comparison","canonical","case-sensitive","case-sensitive","ORDINAL_COMPARISON_FAILED","PASS"
"negative-zero-clear-sequence","negative","INVALID/CLEAR_SEQUENCE_INVALID","INVALID","CLEAR_SEQUENCE_INVALID","PASS"
"negative-empty-required-identity","negative","INVALID/IDENTITY_REQUIRED","INVALID","IDENTITY_REQUIRED","PASS"
"negative-unspecified-mode","negative","INVALID/ACQUISITION_MODE_INVALID","INVALID","ACQUISITION_MODE_INVALID","PASS"
"negative-unsupported-enum","negative","INVALID/ACQUISITION_MODE_INVALID","INVALID","ACQUISITION_MODE_INVALID","PASS"
"negative-zero-generation-version","negative","INVALID/GENERATION_VERSION_INVALID","INVALID","GENERATION_VERSION_INVALID","PASS"
"negative-duplicate-roll-slot","negative","INVALID/DUPLICATE_ROLL_SLOT","INVALID","DUPLICATE_ROLL_SLOT","PASS"
"negative-duplicate-roll-entry","negative","INVALID/DUPLICATE_ROLL_ENTRY","INVALID","DUPLICATE_ROLL_ENTRY","PASS"
"negative-duplicate-reward-entry","negative","INVALID/DUPLICATE_REWARD_ENTRY","INVALID","DUPLICATE_REWARD_ENTRY","PASS"
"negative-duplicate-item-instance","negative","INVALID/DUPLICATE_ITEM_INSTANCE","INVALID","DUPLICATE_ITEM_INSTANCE","PASS"
"negative-result-source-mismatch","negative","INVALID/RESULT_SOURCE_MISMATCH","INVALID","RESULT_SOURCE_MISMATCH","PASS"
"negative-result-stage-mismatch","negative","INVALID/RESULT_STAGE_MISMATCH","INVALID","RESULT_STAGE_MISMATCH","PASS"
"negative-result-mode-mismatch","negative","INVALID/RESULT_MODE_MISMATCH","INVALID","RESULT_MODE_MISMATCH","PASS"
"negative-result-seed-mismatch","negative","INVALID/RESULT_SEED_MISMATCH","INVALID","RESULT_SEED_MISMATCH","PASS"
"negative-result-generation-mismatch","negative","INVALID/RESULT_GENERATION_MISMATCH","INVALID","RESULT_GENERATION_MISMATCH","PASS"
"negative-result-pool-mismatch","negative","INVALID/RESULT_POOL_MISMATCH","INVALID","RESULT_POOL_MISMATCH","PASS"
"negative-result-pool-version-mismatch","negative","INVALID/RESULT_POOL_VERSION_MISMATCH","INVALID","RESULT_POOL_VERSION_MISMATCH","PASS"
"negative-result-tier-profile-mismatch","negative","INVALID/RESULT_TIER_PROFILE_MISMATCH","INVALID","RESULT_TIER_PROFILE_MISMATCH","PASS"
"negative-result-attribute-band-mismatch","negative","INVALID/RESULT_ATTRIBUTE_BAND_MISMATCH","INVALID","RESULT_ATTRIBUTE_BAND_MISMATCH","PASS"
"negative-result-roll-policy-mismatch","negative","INVALID/RESULT_ROLL_POLICY_MISMATCH","INVALID","RESULT_ROLL_POLICY_MISMATCH","PASS"
"negative-result-context-mismatch","negative","INVALID/RESULT_CONTEXT_MISMATCH","INVALID","PRODUCT_CONTEXT_REJECTED|RESULT_CONTEXT_MISMATCH","PASS"
"negative-result-slot-not-in-request","negative","INVALID/ROLL_SLOT_NOT_FOUND","INVALID","ROLL_SLOT_NOT_FOUND","PASS"
"negative-reused-roll-slot","negative","INVALID/REUSED_ROLL_SLOT","INVALID","REUSED_ROLL_SLOT|ROLL_SLOT_CONSUMPTION_INCOMPLETE","PASS"
"negative-ordinary-item-missing-instance","negative","INVALID/IDENTITY_REQUIRED","INVALID","IDENTITY_REQUIRED|IDENTITY_REQUIRED","PASS"
"negative-resource-forges-item-instance","negative","INVALID/NON_ITEM_INSTANCE_FORGED","INVALID","NON_ITEM_INSTANCE_FORGED","PASS"
"negative-zero-quantity","negative","INVALID/QUANTITY_INVALID","INVALID","QUANTITY_INVALID","PASS"
"negative-first-clear-fixed-on-repeat","negative","INVALID/FIRST_CLEAR_GRANT_MODE_INVALID","INVALID","FIRST_CLEAR_GRANT_MODE_INVALID","PASS"
