caseId,category,baseItemId,statId,rarity,expected,actual,validationCode,result
qa-seed-valid,normal,I001,qa_damage_example,,valid,valid,NONE,PASS
query-definition,query,I001,qa_damage_example,,true,true,NONE,PASS
query-profile,query,I001,qa_damage_example,,true,true,NONE,PASS
query-rarity-blue,query,I001,qa_damage_example,blue,true,true,NONE,PASS
overlap-blue-purple,normal,I001,qa_damage_example,blue|purple,true,true,NONE,PASS
rarity-stable-order,normal,I001,qa_damage_example,white|green|blue|purple|orange,true,true,NONE,PASS
three-directions-valid,normal,,,,valid,valid,NONE,PASS
higher-valid,higher,I001,higher_test,,valid,valid,NONE,PASS
higher-min-decrease,higher,I001,higher_test,blue,invalid,invalid,HIGHER_MIN_NOT_MONOTONIC,PASS
higher-max-decrease,higher,I001,higher_test,blue,invalid,invalid,HIGHER_MAX_NOT_MONOTONIC,PASS
lower-valid,lower,I002,lower_test,,valid,valid,NONE,PASS
lower-min-increase,lower,I002,lower_test,blue,invalid,invalid,LOWER_MIN_NOT_MONOTONIC,PASS
lower-max-increase,lower,I002,lower_test,green,invalid,invalid,LOWER_MAX_NOT_MONOTONIC,PASS
neutral-non-monotonic,neutral,I003,neutral_test,,valid,valid,NONE,PASS
neutral-outside-total,neutral,I003,neutral_test,blue,invalid,invalid,RANGE_OUTSIDE_TOTAL|TOTAL_RANGE_ENVELOPE_MISMATCH,PASS
empty-stat-id,invalid,I001,,,invalid,invalid,STAT_ID_EMPTY,PASS
duplicate-stat-id,invalid,,invalid_test,,invalid,invalid,STAT_ID_DUPLICATE,PASS
empty-base-item-id,invalid,,invalid_test,,invalid,invalid,BASE_ITEM_ID_EMPTY,PASS
unknown-base-item,invalid,I999,invalid_test,,invalid,invalid,BASE_ITEM_UNKNOWN,PASS
exclude-i031,invalid,I031,invalid_test,,invalid,invalid,BASE_ITEM_NOT_ORDINARY,PASS
unknown-stat-reference,invalid,I001,missing_stat,,invalid,invalid,STAT_DEFINITION_UNKNOWN,PASS
step-units-zero,invalid,,zero_step,,invalid,invalid,STEP_UNITS_INVALID,PASS
decimal-places-invalid,invalid,,bad_precision,,invalid,invalid,DECIMAL_PLACES_INVALID,PASS
total-min-greater-max,invalid,I001,invalid_test,,invalid,invalid,RANGE_OUTSIDE_TOTAL|TOTAL_RANGE_ENVELOPE_MISMATCH|TOTAL_RANGE_INVALID,PASS
rarity-min-greater-max,invalid,I001,invalid_test,blue,invalid,invalid,RARITY_RANGE_INVALID,PASS
endpoint-step-misaligned,invalid,I001,step_two,white,invalid,invalid,RANGE_STEP_MISALIGNED,PASS
missing-rarity,invalid,I001,invalid_test,orange,invalid,invalid,RARITY_SET_INCOMPLETE,PASS
duplicate-rarity,invalid,I001,invalid_test,white,invalid,invalid,RARITY_DUPLICATE,PASS
illegal-rarity-enum,invalid,I001,invalid_test,999,invalid,invalid,RARITY_INVALID,PASS
range-outside-total,invalid,I001,invalid_test,orange,invalid,invalid,RANGE_OUTSIDE_TOTAL|TOTAL_RANGE_ENVELOPE_MISMATCH,PASS
total-envelope-mismatch,invalid,I001,invalid_test,,invalid,invalid,TOTAL_RANGE_ENVELOPE_MISMATCH,PASS
numeric-profile-schema-only,invalid,I001,invalid_test,,invalid,invalid,NUMERIC_PROFILE_SCHEMA_ONLY,PASS
duplicate-profile,invalid,I001,invalid_test,,invalid,invalid,STAT_PROFILE_DUPLICATE,PASS
canonical-input-order,determinism,,,,true,true,NONE,PASS
source-collection-mutation,readonly,I001,order_higher,,true,true,NONE,PASS
exposed-collections-readonly,readonly,I001,qa_damage_example,,true,true,NONE,PASS
query-missing-definition,query,,missing_stat,,QUERY_STAT_NOT_FOUND,QUERY_STAT_NOT_FOUND,QUERY_STAT_NOT_FOUND,PASS
query-missing-profile,query,I002,qa_damage_example,,QUERY_PROFILE_NOT_FOUND,QUERY_PROFILE_NOT_FOUND,QUERY_PROFILE_NOT_FOUND,PASS
query-invalid-input,query,,,,QUERY_INPUT_INVALID,QUERY_INPUT_INVALID,QUERY_INPUT_INVALID,PASS
