baseItemId,nodeKind,candidateDefinitionId,awakeningNodeId,candidateUnlockLevel,awakeningUnlockLevel,requiredRarity,requiredRarityKey,displayName,description,candidatePayloadIdentity,candidateSourceIdentity,awakeningSourceIdentity,schemaId,authorityRevision
"I001","Core1","candidate_core_i001_01","I001_CORE_01","10","10","White","white","震雷符·初识","震雷符点亮后，“引雷”的基础候选效果获得第一层强化。","candidate_core_i001_01#17640a8df7b72a646d0f08fc43da01c3a8732fd23984f0ef4172b164bfe2ff8d","ItemBalanceWorkbenchCatalog/ITEM_FOUR_CORE_CANDIDATE_DATA_CORRECTION01_R1/I001/candidate_core_i001_01","TalismanBag.Items.Awakening.DefaultItemCoreEffectDefinitionProvider/I001/I001_CORE_01","ItemCoreEffectIdentityCatalogSnapshot.v2","ITEM_FOUR_CORE_AWAKENING_RUNTIME_CONTRACT_CORRECTION01_R1"
"I001","Core2","candidate_core_i001_02","I001_CORE_02","20","20","Green","green","震雷符·承式","触发“引雷”后返还一部分节奏资源，并保留下一次触发条件。","candidate_core_i001_02#6258ac02268f09c8a1abad00e898f0cae68690c6bf3f7a3f9dfa27050cbbaf44","ItemBalanceWorkbenchCatalog/ITEM_FOUR_CORE_CANDIDATE_DATA_CORRECTION01_R1/I001/candidate_core_i001_02","TalismanBag.Items.Awakening.DefaultItemCoreEffectDefinitionProvider/I001/I001_CORE_02","ItemCoreEffectIdentityCatalogSnapshot.v2","ITEM_FOUR_CORE_AWAKENING_RUNTIME_CONTRACT_CORRECTION01_R1"
"I001","Core3","candidate_core_i001_03","I001_CORE_03","30","30","Blue","blue","震雷符·合脉","同属zhenlei法门的已点亮道具达到Build2时，“引雷”追加协同数值。","candidate_core_i001_03#c02ca002c179f70c27820ebe98bd487571c374ab08151f6ea94b2cd01bf1f388","ItemBalanceWorkbenchCatalog/ITEM_FOUR_CORE_CANDIDATE_DATA_CORRECTION01_R1/I001/candidate_core_i001_03","TalismanBag.Items.Awakening.DefaultItemCoreEffectDefinitionProvider/I001/I001_CORE_03","ItemCoreEffectIdentityCatalogSnapshot.v2","ITEM_FOUR_CORE_AWAKENING_RUNTIME_CONTRACT_CORRECTION01_R1"
"I001","Ultimate","candidate_core_i001_ultimate","I001_CORE_ULT","40","40","Orange","orange","震雷符·成法","震雷符完成成法后，将“引雷”的触发结果转换为一次不消耗原状态的机制回响；每轮限一次。","candidate_core_i001_ultimate#7c06845bfe64787a53503f6d3d89bdc499cd11c565dd46cbab8dc5d4dfe12fc8","ItemBalanceWorkbenchCatalog/ITEM_FOUR_CORE_CANDIDATE_DATA_CORRECTION01_R1/I001/candidate_core_i001_ultimate","TalismanBag.Items.Awakening.DefaultItemCoreEffectDefinitionProvider/I001/I001_CORE_ULT","ItemCoreEffectIdentityCatalogSnapshot.v2","ITEM_FOUR_CORE_AWAKENING_RUNTIME_CONTRACT_CORRECTION01_R1"
"I002","Core1","candidate_core_i002_01","I002_CORE_01","10","10","White","white","五雷急符·初识","五雷急符点亮后，“急引”的基础候选效果获得第一层强化。","candidate_core_i002_01#f62797ed38ea0e579c799fc199da6faec23400a231d04405dbfef35664090e16","ItemBalanceWorkbenchCatalog/ITEM_FOUR_CORE_CANDIDATE_DATA_CORRECTION01_R1/I002/candidate_core_i002_01","TalismanBag.Items.Awakening.DefaultItemCoreEffectDefinitionProvider/I002/I002_CORE_01","ItemCoreEffectIdentityCatalogSnapshot.v2","ITEM_FOUR_CORE_AWAKENING_RUNTIME_CONTRACT_CORRECTION01_R1"
"I002","Core2","candidate_core_i002_02","I002_CORE_02","20","20","Green","green","五雷急符·承式","触发“急引”后返还一部分节奏资源，并保留下一次触发条件。","candidate_core_i002_02#41cbf2d2c44810517635da0fae5271f41c8faf5ca2c207f752746c47952ffe4b","ItemBalanceWorkbenchCatalog/ITEM_FOUR_CORE_CANDIDATE_DATA_CORRECTION01_R1/I002/candidate_core_i002_02","TalismanBag.Items.Awakening.DefaultItemCoreEffectDefinitionProvider/I002/I002_CORE_02","ItemCoreEffectIdentityCatalogSnapshot.v2","ITEM_FOUR_CORE_AWAKENING_RUNTIME_CONTRACT_CORRECTION01_R1"
"I002","Core3","candidate_core_i002_03","I002_CORE_03","30","30","Blue","blue","五雷急符·合脉","同属zhenlei法门的已点亮道具达到Build2时，“急引”追加协同数值。","candidate_core_i002_03#dd81591ef98208d194024e6ae7d91512b4ea2a53cb1da8492fbca2bee9f72200","ItemBalanceWorkbenchCatalog/ITEM_FOUR_CORE_CANDIDATE_DATA_CORRECTION01_R1/I002/candidate_core_i002_03","TalismanBag.Items.Awakening.DefaultItemCoreEffectDefinitionProvider/I002/I002_CORE_03","ItemCoreEffectIdentityCatalogSnapshot.v2","ITEM_FOUR_CORE_AWAKENING_RUNTIME_CONTRACT_CORRECTION01_R1"
"I002","Ultimate","candidate_core_i002_ultimate","I002_CORE_ULT","40","40","Orange","orange","五雷急符·成法","五雷急符完成成法后，将“急引”的触发结果转换为一次不消耗原状态的机制回响；每轮限一次。","candidate_core_i002_ultimate#601a50bfa82fb885f875f41df868b21a341c5eafbb33086c2939bda8a0997249","ItemBalanceWorkbenchCatalog/ITEM_FOUR_CORE_CANDIDATE_DATA_CORRECTION01_R1/I002/candidate_core_i002_ultimate","TalismanBag.Items.Awakening.DefaultItemCoreEffectDefinitionProvider/I002/I002_CORE_ULT","ItemCoreEffectIdentityCatalogSnapshot.v2","ITEM_FOUR_CORE_AWAKENING_RUNTIME_CONTRACT_CORRECTION01_R1"
"I003","Core1","candidate_core_i003_01","I003_CORE_01","10","10","White","white","震雷破壳印·初识","震雷破壳印点亮后，“破壳”的基础候选效果获得第一层强化。","candidate_core_i003_01#ae9b315ffa757dda3aff7aff0514c3eb03fa5a8170e0cdad5b87a7beeb759bad","ItemBalanceWorkbenchCatalog/ITEM_FOUR_CORE_CANDIDATE_DATA_CORRECTION01_R1/I003/candidate_core_i003_01","TalismanBag.Items.Awakening.DefaultItemCoreEffectDefinitionProvider/I003/I003_CORE_01","ItemCoreEffectIdentityCatalogSnapshot.v2","ITEM_FOUR_CORE_AWAKENING_RUNTIME_CONTRACT_CORRECTION01_R1"
"I003","Core2","candidate_core_i003_02","I003_CORE_02","20","20","Green","green","震雷破壳印·承式","触发“破壳”后返还一部分节奏资源，并保留下一次触发条件。","candidate_core_i003_02#b873c2c5484130d5c061549c83b14548ebfe1d7f428492d70a346feeb89d4352","ItemBalanceWorkbenchCatalog/ITEM_FOUR_CORE_CANDIDATE_DATA_CORRECTION01_R1/I003/candidate_core_i003_02","TalismanBag.Items.Awakening.DefaultItemCoreEffectDefinitionProvider/I003/I003_CORE_02","ItemCoreEffectIdentityCatalogSnapshot.v2","ITEM_FOUR_CORE_AWAKENING_RUNTIME_CONTRACT_CORRECTION01_R1"
