buildSandboxField,englishStableKey,chineseDisplayName,playerSurface,matureUiSource,adapterTarget,playerVisible,developerVisible,maskingRule,notes
"BuildSandbox item preview","itemPreview","道具预览","Mature item info panel","V02TalismanTooltipUI; V03 upgrade detail panel","BuildSandboxItemInfoAdapter.ItemPreviewViewModel","YES","YES","Player sees Chinese name/type/quality/tags/effect summary only","Do not reuse V02/V03 formal GameObjects directly in this package."
"Item name","itemName","名称","Mature item info title","V02TalismanTooltipUI titleText; V03 ItemName","ItemPreviewViewModel.DisplayName","YES","YES","Chinese display only for player","English key remains in config/report/developer panel."
"Item type","itemType","类型","Mature item info basic section","V02 tooltip function/value groups","ItemPreviewViewModel.TypeLabel","YES","YES","Chinese category label only","Can map from BuildSandbox category enum."
"Rarity","rarityTier","品质","Mature item info basic section","V02 tooltip body/value groups","ItemPreviewViewModel.RarityLabel","YES","YES","Chinese rarity label only","Do not expose drop weights."
"Tags","itemTags","标签","Mature item info tag section","V02 tooltip function/counter text; TalismanTagUtility language","ItemPreviewViewModel.PlayerTagLabels","YES","YES","Show fuzzy tags, not hard solution tags","Developer panel may show complete tag ids."
"Base effect","baseEffect","基础效果","Mature item info function section","V02TalismanTooltipUI BuildFunctionText","ItemPreviewViewModel.BaseEffectText","YES","YES","Chinese effect summary only","No formula internals on player side."
"Trigger condition","triggerCondition","触发条件","Mature item info function/condition section","V02 tooltip special/counter text; StatusTooltipPanel","ItemPreviewViewModel.TriggerConditionText","YES","YES","Vague condition wording allowed","Full requiredSynergy/requiredAffix only in developer panel."
"Cooldown/frequency","cooldownFrequency","冷却/频率","Mature item info value section","V02TalismanTooltipUI BuildValueText","ItemPreviewViewModel.CooldownFrequencyText","YES","YES","Show readable value only","Numeric tuning source remains dev/config."
"Values","numericValues","数值","Mature item info value section","V02TalismanTooltipUI BuildValueText","ItemPreviewViewModel.ValueLines","YES","YES","Only player-facing rounded/readable values","Complete formula and thresholds are developer panel fields."
"Affixes","affixPreview","词条预览","Mature item info extra section or developer data panel","V02 tooltip grouped body; future BuildTuningDataPanel","ItemPreviewViewModel.AffixHintLines / DeveloperAffixRows","PARTIAL","YES","Player sees fuzzy cooperation clues; no requiredAffix answers","Developer side shows English stable key plus Chinese name."
"Synergy contribution","synergyContribution","羁绊贡献","Mature item info extra section or developer data panel","V02 tooltip counter/special text; future BuildTuningDataPanel","ItemPreviewViewModel.SynergyHintLines / DeveloperSynergyRows","PARTIAL","YES","Player sees clue wording; no requiredSynergy or complete answer","Boss six-key contribution remains developer-only unless masked."
"Placement shape","shapeId","摆放形状","Mature item info extra section","V02 tooltip value section; V03 item detail structure","ItemPreviewViewModel.ShapeLabel","YES","YES","Show Chinese shape description","Stable shape id stays in config/report/dev panel."
"Occupied cells","occupiedCells","占用格子","Mature item info extra section","V02 tooltip value section; V03 board language","ItemPreviewViewModel.OccupiedCellSummary","YES","YES","Show count and simple footprint hint","Exact cell coordinates can be developer panel data."
"Rotated occupied cells","rotatedOccupiedCells","旋转占格","Mature item info extra section","V03 BattlePrepare board affordance","ItemPreviewViewModel.RotationPreviewSummary","YES","YES","Show readable rotation footprint","Full coordinate list can be dev-only."
"Modifier preview","modifierPreview","Modifier 预览","Developer data panel; optional masked item hint","BattleLogUI language only for player feedback","BuildTuningDataPanel.ModifierRows","NO","YES","Do not expose complete effect bundle in player popup","Player can receive vague feedback after trigger."
"Event preview","eventPreview","Event 预览","Developer data panel; optional masked feedback","BattleEventRouter/BattleLogUI/FloatingCombatText","BuildTuningDataPanel.EventRows","NO","YES","Player sees only resulting Chinese feedback","Do not connect to formal combat in this package."
"Build contribution","buildContribution","Build 贡献","Mature item info extra section or developer data panel","V02 tooltip counter/special text; future BuildTuningDataPanel","ItemPreviewViewModel.BuildContributionHint / DeveloperBuildRows","PARTIAL","YES","Player sees fuzzy cooperation clue","Full readiness math developer-only."
"Placement feedback","placementFeedback","摆放反馈","Battle hint/log/tooltip language","BattleEventRouter; BattleLogUI; StatusTooltipPanel","PlacementFeedbackAdapter.FeedbackLine","YES","YES","Chinese feedback only","Use existing categories instead of new one-off panels."
"BuildProblem hint","buildProblemHint","构筑题目线索","BossInfo or battle hint language","BossInfoPanel; BattleLogUI; StatusTooltipPanel","ProblemHintAdapter.PlayerHintViewModel","YES","YES","Show atmosphere/clue/failure hint, not answer","Complete hardSolutionTags stay developer-only."
"BossProblem hint","bossProblemHint","Boss 线索","BossInfo language","BossInfoPanel; BossInfoViewModel","BossProblemHintAdapter.BossInfoViewModel","YES","YES","No Boss six-key complete answer on player side","Developer panel may show boss keys and required attributes."
"Readiness","readinessResult","准备度","Developer data panel only; optional masked player failure hint","Future BuildTuningDataPanel; BattleLogUI for masked feedback","ReadinessAdapter.DeveloperRows / PlayerFailureHint","MASKED","YES","Do not show requiredStats/requiredSynergy/requiredAffix","Player sees only what feels missing."
"DropBias","dropBiasWeights","掉落倾向权重","Developer data panel only","Future BuildTuningDataPanel","DropBiasAdapter.DeveloperRows","NO","YES","Never show weights on player side","Player may see atmospheric drop tendency only in later package."
"Hard solution tags","hardSolutionTags","完整解题标签","Developer data panel only","Future BuildTuningDataPanel","SolutionKeyAdapter.DeveloperRows","NO","YES","Never show in player UI","Must carry Chinese display name plus English stable key."
"Boss six-key answer","bossSixKeyAnswer","Boss 六钥匙完整答案","Developer data panel only","Future BuildTuningDataPanel","BossKeyAdapter.DeveloperRows","NO","YES","Never show complete answer in player UI","BossInfoPanel receives only masked clue wording."
