id,marker,result,detail
"GF-01","PHASE_A_RUNTIME_EVIDENCE_PASS","PASS","PASS"
"GF-02","I004_DUAL_FINAL_VIEWMODEL_PASS","PASS","PASS"
"GF-03","I004_DUAL_AUTHORED_SECTIONS_ACTIVE_PASS","PASS","PASS"
"GF-04","I004_DUAL_SCROLL_REACHABILITY_PASS","PASS","PASS"
"GF-05","I001_QILEIONLY_REGRESSION_PASS","PASS","PASS"
"GF-06","I009_FAMENONLY_REGRESSION_PASS","PASS","PASS"
"GF-07","I006_NONE_KNOWNZERO_REGRESSION_PASS","PASS","PASS"
"GF-08","FOUR_CORE_BUILD_COEXISTENCE_PASS","PASS","PASS"
"GF-09","PROTECTED_HASHES_PASS","PASS","PASS"
"GF-10","LEAKCHECK_PASS","PASS","PASS"
"GF-11","PACKAGE_SCOPED_GIT_DIFF_CHECK_PASS","PASS","PASS"
"GF-CLASSIFICATION","REACHABLE_BY_SCROLL_NO_LAYOUT_DEFECT","PASS","Exactly one Phase A classification."
