candidateId,capabilityKey,planningMeaning,sourceContracts,sourceFields,nativeValueDomain,nativeUnit,eligibilityRule,runtimeFactGate,aggregationRule,normalizationFormula,unresolvedParameters,parameterAuthority,clamp,threshold,cap,untriggeredSemantics,unplacedSemantics,unlitSemantics,missingFactSemantics,invalidSemantics,affectedEncounters,affectedC02Rows,projectedUnknownReferenceReduction,projectedBlockedRowReduction,remainingUnknowns,implementationReadiness,userDecisionRequired,runtimeProducerDependency,evidencePath,evidenceSymbol,advantages,risks,disposition
"NRS01-ENERGY-A","capability.energy_stability","Declared nian-cost reduction potential that helps a Build maintain its supply chain under resource pressure","ItemInstanceProjectionContractSnapshot.v1;ItemCapabilityUnitContractSnapshot.v1;ItemInstancePlacementBindingContractSnapshot.v1;ItemSystemSnapshot.v1;ItemCapabilityRuntimeFactContractSnapshot.v1;BuildCapabilityReadContract.v1","Affixes[affix_nian_efficiency].rawUnits;IF02 nian_cost_basis_point;IF03 nianCostBefore;IF01 identity;Placement isLit/isCountedInBuild","nian_cost_basis_point","basisPoint","Complete projection/unit/binding/placement universe; exact item identity; eligibility policy must be user-approved; one source identity per eligible item","Complete IF03 event in the approved horizon with nianCostBefore>0 proves the native before-trigger condition; missing event evidence is Unknown","sum across unique eligible itemInstanceId after runtime gating","clamp(SUM(affix_nian_efficiency.rawUnits per unique eligible itemInstanceId),0,10000)","USER_DECISION_REQUIRED: ELIGIBILITY_POLICY;RUNTIME_HORIZON;SOURCE_DUPLICATE_POLICY;SUM_SEMANTICS","User/Capability Algorithm Guard","Approved BuildCapability range 0..10000 only","nianCostBefore>0 from the native condition","Total output cap 10000; no unapproved per-item cap","No complete positive-cost event means Unknown; complete non-positive condition is ineligible only after zero-boundary approval","Confirmed unplaced is ineligible under this candidate; missing placement is Unknown","Confirmed unlit is ineligible under this candidate; missing lighting is Unknown","Any missing/incomplete projection unit binding placement or runtime horizon is Unknown","Unit conflict identity mismatch duplicate event duplicate source illegal value or out-of-range value is Invalid","dev_encounter_3_10_cleanse_corner;dev_encounter_3_10_guard_wall;dev_encounter_4_10_furnace_core;dev_encounter_4_10_thunder_fire_cross","32","32","0","Per-row blockers remain; globally cleanse_power control_power placement_shape burst_window clear_power debuff_counter interrupt_timing spirit_lock remain as applicable","NOT_IMPLEMENTATION_READY","USER_DECISION_REQUIRED: approve candidate meaning eligibility sum horizon and zero boundary","NEEDS_RUNTIME_PRODUCER","Assets/_Game/Scripts/TalismanBag/Items/Capability/ItemCapabilityUnitContract.cs;Assets/_Game/Scripts/TalismanBag/Items/Capability/RuntimeFacts/ItemCapabilityRuntimeFactContract.cs;Assets/_Game/Scripts/TalismanBag/Items/Generation/Projection/ItemInstanceProjectionContract.cs","affix_nian_efficiency;nian_cost_basis_point;nianCostBefore;BuildCapabilityScale.MaximumValueBasisPoints","Same-domain BP identity avoids inventing a point conversion","Potential score is conditional; sum semantics and runtime horizon are not approved; does not include refunds","KEEP_UNKNOWN"
"NRS01-ENERGY-B","capability.energy_stability","Realized nian preservation across an approved event horizon using same-domain nian-point observations","ItemInstanceProjectionContractSnapshot.v1;ItemCapabilityUnitContractSnapshot.v1;ItemInstancePlacementBindingContractSnapshot.v1;ItemSystemSnapshot.v1;ItemCapabilityRuntimeFactContractSnapshot.v1;BuildCapabilityReadContract.v1","eligible affix_nian_efficiency/affix_trigger_refund presence;IF03 nianCostBefore;nianCostAfter;refundUnits;event identity","nian_point for runtime observations; nian_cost_basis_point remains a separate parameter domain","point for runtime observations; basisPoint is never added to point","Complete eligible item/event universe; exact IF01 identity; approved placement policy; relevant source affix present","Complete IF03 events with positive total nianCostBefore; trigger/refund inclusion and event horizon require approval","weighted sum by nianCostBefore across unique events and items","clamp(10000 * SUM(USER_DECISION_REQUIRED_ENERGY_NET_NIAN(before,after,refund)) / SUM(nianCostBefore),0,10000)","USER_DECISION_REQUIRED: ENERGY_NET_NIAN_FUNCTION;REFUND_INCLUSION;ELIGIBILITY_POLICY;RUNTIME_HORIZON;EVENT_WEIGHTING;ZERO_DENOMINATOR_POLICY","User/Capability Algorithm Guard","Approved BuildCapability range 0..10000 only","SUM(nianCostBefore)>0; zero denominator policy unresolved","Total output cap 10000; no unapproved event or item cap","No complete event horizon is Unknown; a complete KnownFalse trigger cannot be assumed to erase separately reported cost facts without an approved net rule","Confirmed unplaced is ineligible only under an approved policy; missing placement is Unknown","Confirmed unlit is ineligible only under an approved policy; missing lighting is Unknown","Missing/incomplete cost after/refund/horizon or eligibility fact is Unknown","Negative fact unit conflict identity mismatch duplicate event illegal value or impossible net relation under the approved function is Invalid","dev_encounter_3_10_cleanse_corner;dev_encounter_3_10_guard_wall;dev_encounter_4_10_furnace_core;dev_encounter_4_10_thunder_fire_cross","32","32","0","Per-row blockers remain; globally cleanse_power control_power placement_shape burst_window clear_power debuff_counter interrupt_timing spirit_lock remain as applicable","NOT_IMPLEMENTATION_READY","USER_DECISION_REQUIRED: approve realized meaning net function refund treatment weighting horizon eligibility and zero denominator","NEEDS_RUNTIME_PRODUCER","Assets/_Game/Scripts/TalismanBag/Items/Capability/RuntimeFacts/ItemCapabilityRuntimeFactContract.cs;Assets/_Game/Scripts/TalismanBag/Items/Capability/ItemCapabilityUnitContract.cs","nianCostBefore;nianCostAfter;refundUnits;nian_point","A same-unit ratio can reach BP without guessing point-to-BP","Net saved definition may double-count refunds or unrelated cost changes; Producer and complete horizon are absent","KEEP_UNKNOWN"
"NRS01-CONTROL-A","capability.control_power","Additive control application capacity across eligible active item instances","ItemInstanceProjectionContractSnapshot.v1;ItemCapabilityUnitContractSnapshot.v1;ItemInstancePlacementBindingContractSnapshot.v1;ItemSystemSnapshot.v1;BuildCapabilityReadContract.v1","Affixes[affix_control_up].rawUnits;IF02 control_point;IF01 identity;Placement isLit/isCountedInBuild","control_point","point","Complete projection/unit/binding/placement universe; exact identity; approved placed/lit/Build-counted policy","NONE: source is unconditional static native fact","sum across unique eligible itemInstanceId","clamp(SUM(controlPoint_i * USER_DECISION_REQUIRED_CONTROL_BP_PER_POINT),0,10000)","USER_DECISION_REQUIRED: CONTROL_BP_PER_POINT;ELIGIBILITY_POLICY;SUM_SEMANTICS;SOURCE_DUPLICATE_POLICY","User/Capability Algorithm Guard","Approved BuildCapability range 0..10000 only","No approved threshold","Total output cap 10000; no unapproved per-item cap","Not applicable to an unconditional source; absence of complete static input is Unknown","Confirmed unplaced is ineligible under the approved candidate policy; missing placement is Unknown","Confirmed unlit is ineligible under the approved candidate policy; missing lighting is Unknown","Missing/incomplete projection unit binding placement or conversion parameter is Unknown","Unit conflict identity mismatch duplicate source illegal value or IF02 out-of-range point is Invalid","dev_encounter_3_10_cleanse_corner;dev_encounter_3_10_guard_wall;dev_encounter_4_10_furnace_core;dev_encounter_4_10_thunder_fire_cross","32","32","0","Per-row blockers remain; globally energy_stability cleanse_power placement_shape burst_window clear_power debuff_counter interrupt_timing spirit_lock remain as applicable","NOT_IMPLEMENTATION_READY","USER_DECISION_REQUIRED: approve point scale eligibility and additive stacking","NO_RUNTIME_PRODUCER_STATIC_FACTS_ONLY","Assets/_Game/Scripts/TalismanBag/Items/Capability/ItemCapabilityUnitContract.cs;Assets/_Game/Scripts/TalismanBag/Items/Generation/Projection/ItemInstanceProjectionContract.cs","affix_control_up;control_point;rawUnits","Direct planning target and deterministic additive structure","No approved point scale or cross-item stacking rule; point must not be confused with nian point","KEEP_UNKNOWN"
"NRS01-CONTROL-B","capability.control_power","Peak control application capacity supplied by the strongest eligible item instance","ItemInstanceProjectionContractSnapshot.v1;ItemCapabilityUnitContractSnapshot.v1;ItemInstancePlacementBindingContractSnapshot.v1;ItemSystemSnapshot.v1;BuildCapabilityReadContract.v1","Affixes[affix_control_up].rawUnits;IF02 control_point;IF01 identity;Placement isLit/isCountedInBuild","control_point","point","Complete projection/unit/binding/placement universe; exact identity; approved placed/lit/Build-counted policy","NONE: source is unconditional static native fact","max across unique eligible itemInstanceId","clamp(MAX(controlPoint_i) * USER_DECISION_REQUIRED_CONTROL_BP_PER_POINT,0,10000)","USER_DECISION_REQUIRED: CONTROL_BP_PER_POINT;ELIGIBILITY_POLICY;MAX_SEMANTICS;EMPTY_SET_POLICY","User/Capability Algorithm Guard","Approved BuildCapability range 0..10000 only","No approved threshold","Total output cap 10000; no unapproved per-item cap","Not applicable to an unconditional source; absence of complete static input is Unknown","Confirmed unplaced is ineligible under the approved candidate policy; missing placement is Unknown","Confirmed unlit is ineligible under the approved candidate policy; missing lighting is Unknown","Missing/incomplete projection unit binding placement or conversion parameter is Unknown","Unit conflict identity mismatch duplicate source illegal value or IF02 out-of-range point is Invalid","dev_encounter_3_10_cleanse_corner;dev_encounter_3_10_guard_wall;dev_encounter_4_10_furnace_core;dev_encounter_4_10_thunder_fire_cross","32","32","0","Per-row blockers remain; globally energy_stability cleanse_power placement_shape burst_window clear_power debuff_counter interrupt_timing spirit_lock remain as applicable","NOT_IMPLEMENTATION_READY","USER_DECISION_REQUIRED: approve point scale eligibility and strongest-source semantics","NO_RUNTIME_PRODUCER_STATIC_FACTS_ONLY","Assets/_Game/Scripts/TalismanBag/Items/Capability/ItemCapabilityUnitContract.cs;Assets/_Game/Scripts/TalismanBag/Items/Generation/Projection/ItemInstanceProjectionContract.cs","affix_control_up;control_point;rawUnits","Avoids automatic multi-item inflation","May under-represent coordinated control; no approved point scale or max semantics","KEEP_UNKNOWN"
"NRS01-CLEANSE-A","capability.cleanse_power","Additive declared extra-cleanse capacity from item instances that successfully cleanse within an approved horizon","ItemInstanceProjectionContractSnapshot.v1;ItemCapabilityUnitContractSnapshot.v1;ItemInstancePlacementBindingContractSnapshot.v1;ItemSystemSnapshot.v1;ItemCapabilityRuntimeFactContractSnapshot.v1;BuildCapabilityReadContract.v1","Affixes[affix_cleanse_up].rawUnits;IF03 cleanseSuccess;IF01 event identity","cleanse_stack","stack","Complete eligible item and event universe; matching affix; approved placement policy; once-per-item contribution policy","Complete IF03 cleanseSuccess=KnownTrue in the approved horizon; KnownFalse is explicit non-qualification not missing","sum once per unique eligible itemInstanceId within the approved horizon","clamp(SUM(affix_cleanse_up.rawUnits * USER_DECISION_REQUIRED_CLEANSE_BP_PER_STACK),0,10000)","USER_DECISION_REQUIRED: CLEANSE_BP_PER_STACK;ELIGIBILITY_POLICY;RUNTIME_HORIZON;ONCE_PER_ITEM_POLICY;SUM_SEMANTICS","User/Capability Algorithm Guard","Approved BuildCapability range 0..10000 only","cleanseSuccess=KnownTrue; no numeric threshold","Total output cap 10000; no unapproved per-item cap","No event or incomplete event horizon is Unknown; complete KnownFalse contributes no event qualification only after zero-boundary approval","Confirmed unplaced is ineligible under the approved policy; missing placement is Unknown","Confirmed unlit is ineligible under the approved policy; missing lighting is Unknown","Missing/incomplete cleanse success stack value unit identity placement horizon or conversion is Unknown","Unit conflict identity mismatch duplicate event illegal value or IF02 out-of-range stack is Invalid","dev_encounter_3_10_cleanse_corner;dev_encounter_3_10_guard_wall;dev_encounter_4_10_furnace_core;dev_encounter_4_10_thunder_fire_cross","32","32","0","Per-row blockers remain; globally energy_stability control_power placement_shape burst_window clear_power debuff_counter interrupt_timing spirit_lock remain as applicable","NOT_IMPLEMENTATION_READY","USER_DECISION_REQUIRED: approve stack scale eligibility horizon once-per-item and additive semantics","NEEDS_RUNTIME_PRODUCER","Assets/_Game/Scripts/TalismanBag/Items/Capability/RuntimeFacts/ItemCapabilityRuntimeFactContract.cs;Assets/_Game/Scripts/TalismanBag/Items/Capability/ItemCapabilityUnitContract.cs","cleanseSuccess;affix_cleanse_up;cleanse_stack","Uses declared stable stack value and an explicit success gate","Repeated events and multi-item stacking boundaries are not approved; Producer absent","KEEP_UNKNOWN"
"NRS01-CLEANSE-B","capability.cleanse_power","Peak realized extra-cleanse stacks observed in one complete successful event","ItemCapabilityRuntimeFactContractSnapshot.v1;ItemCapabilityUnitContractSnapshot.v1;ItemInstancePlacementBindingContractSnapshot.v1;ItemSystemSnapshot.v1;BuildCapabilityReadContract.v1","IF03 cleanseSuccess;cleanseExtraStackCount;cleanseExtraStackUnitKey;event identity;eligible source presence","cleanse_stack","stack","Complete eligible event universe; exact identity; approved placement and source-presence policy","Complete IF03 cleanseSuccess=KnownTrue; realized extra stack is read only from the same event","max across unique eligible events and items in the approved horizon","clamp(MAX(cleanseExtraStackCount_event) * USER_DECISION_REQUIRED_CLEANSE_BP_PER_STACK,0,10000)","USER_DECISION_REQUIRED: CLEANSE_BP_PER_STACK;ELIGIBILITY_POLICY;RUNTIME_HORIZON;MAX_SEMANTICS;EMPTY_SET_POLICY","User/Capability Algorithm Guard","Approved BuildCapability range 0..10000 only","cleanseSuccess=KnownTrue; no unapproved stack threshold","Total output cap 10000; no unapproved event cap","No event or incomplete horizon is Unknown; complete KnownFalse event contributes zero to max only after zero-boundary approval","Confirmed unplaced is ineligible under the approved policy; missing placement is Unknown","Confirmed unlit is ineligible under the approved policy; missing lighting is Unknown","Missing/incomplete success realized stack unit identity placement horizon or conversion is Unknown","Unit conflict identity mismatch duplicate event negative/illegal value is Invalid","dev_encounter_3_10_cleanse_corner;dev_encounter_3_10_guard_wall;dev_encounter_4_10_furnace_core;dev_encounter_4_10_thunder_fire_cross","32","32","0","Per-row blockers remain; globally energy_stability control_power placement_shape burst_window clear_power debuff_counter interrupt_timing spirit_lock remain as applicable","NOT_IMPLEMENTATION_READY","USER_DECISION_REQUIRED: approve realized-event meaning stack scale horizon eligibility and max semantics","NEEDS_RUNTIME_PRODUCER","Assets/_Game/Scripts/TalismanBag/Items/Capability/RuntimeFacts/ItemCapabilityRuntimeFactContract.cs","cleanseSuccess;cleanseExtraStackCount;cleanseExtraStackUnitKey","Avoids repeated-event accumulation and uses realized stacks","Peak event may not represent sustained cleansing; Producer and scale are absent","KEEP_UNKNOWN"
"NRS01-BURST-A","capability.burst_window","Combined first-trigger bonus across eligible items that successfully fire their first battle trigger","ItemInstanceProjectionContractSnapshot.v1;ItemCapabilityUnitContractSnapshot.v1;ItemInstancePlacementBindingContractSnapshot.v1;ItemSystemSnapshot.v1;ItemCapabilityRuntimeFactContractSnapshot.v1;BuildCapabilityReadContract.v1","Affixes[affix_first_trigger_bonus].rawUnits;IF03 triggerSuccess;firstTriggerInBattle;triggerOrdinal;IF01 identity","effect_basis_point","basisPoint","Complete eligible item and battle-event universe; exact identity; approved placement policy; one contribution per item per battle","Complete IF03 triggerSuccess=KnownTrue and firstTriggerInBattle=KnownTrue with triggerOrdinal=1","sum once per unique itemInstanceId per battleSessionId","clamp(SUM(affix_first_trigger_bonus.rawUnits once per qualified itemInstanceId),0,10000)","USER_DECISION_REQUIRED: BURST_PLANNING_EQUIVALENCE;ELIGIBILITY_POLICY;SUM_SEMANTICS;BATTLE_HORIZON;ZERO_BOUNDARY","User/Capability Algorithm Guard","Approved BuildCapability range 0..10000 only","Successful ordinal 1 and firstTriggerInBattle KnownTrue from IF03","Total output cap 10000; native source range 3000..8000 remains IF02 validation only","No complete first-trigger battle fact is Unknown; complete KnownFalse contributes no event qualification only after zero-boundary approval","Confirmed unplaced is ineligible under the approved policy; missing placement is Unknown","Confirmed unlit is ineligible under the approved policy; missing lighting is Unknown","Missing/incomplete trigger identity placement battle horizon or source unit is Unknown","Unit conflict identity mismatch duplicate event ordinal conflict illegal or out-of-range source is Invalid","dev_encounter_3_10_guard_wall;dev_encounter_4_10_furnace_core;dev_encounter_4_10_thunder_fire_cross","24","24","0","Per-row blockers remain; globally energy_stability control_power cleanse_power placement_shape clear_power interrupt_timing spirit_lock remain as applicable","NOT_IMPLEMENTATION_READY","USER_DECISION_REQUIRED: approve burst meaning eligibility additive stacking battle horizon and zero boundary","NEEDS_RUNTIME_PRODUCER","Assets/_Game/Scripts/TalismanBag/Items/Capability/RuntimeFacts/ItemCapabilityRuntimeFactContract.cs;Assets/_Game/Scripts/TalismanBag/Items/Capability/ItemCapabilityUnitContract.cs","affix_first_trigger_bonus;firstTriggerInBattle;triggerOrdinal;effect_basis_point","Direct BP identity uses approved source and target units","First-trigger bonus may not equal short-window capability; sum can inflate; Producer absent","KEEP_UNKNOWN"
"NRS01-BURST-B","capability.burst_window","Strongest single first-trigger bonus available in the battle opening window","ItemInstanceProjectionContractSnapshot.v1;ItemCapabilityUnitContractSnapshot.v1;ItemInstancePlacementBindingContractSnapshot.v1;ItemSystemSnapshot.v1;ItemCapabilityRuntimeFactContractSnapshot.v1;BuildCapabilityReadContract.v1","Affixes[affix_first_trigger_bonus].rawUnits;IF03 triggerSuccess;firstTriggerInBattle;triggerOrdinal;IF01 identity","effect_basis_point","basisPoint","Complete eligible item and battle-event universe; exact identity; approved placement policy","Complete IF03 successful first battle trigger for the contributing item","max across unique eligible itemInstanceId in one battleSessionId","clamp(MAX(affix_first_trigger_bonus.rawUnits among qualified item instances),0,10000)","USER_DECISION_REQUIRED: BURST_PLANNING_EQUIVALENCE;ELIGIBILITY_POLICY;MAX_SEMANTICS;BATTLE_HORIZON;EMPTY_SET_POLICY","User/Capability Algorithm Guard","Approved BuildCapability range 0..10000 only","Successful ordinal 1 and firstTriggerInBattle KnownTrue from IF03","Total output cap 10000; native source range 3000..8000 remains IF02 validation only","No complete first-trigger battle fact is Unknown; complete KnownFalse event contributes zero to max only after zero-boundary approval","Confirmed unplaced is ineligible under the approved policy; missing placement is Unknown","Confirmed unlit is ineligible under the approved policy; missing lighting is Unknown","Missing/incomplete trigger identity placement battle horizon or source unit is Unknown","Unit conflict identity mismatch duplicate event ordinal conflict illegal or out-of-range source is Invalid","dev_encounter_3_10_guard_wall;dev_encounter_4_10_furnace_core;dev_encounter_4_10_thunder_fire_cross","24","24","0","Per-row blockers remain; globally energy_stability control_power cleanse_power placement_shape clear_power interrupt_timing spirit_lock remain as applicable","NOT_IMPLEMENTATION_READY","USER_DECISION_REQUIRED: approve burst meaning eligibility strongest-source semantics horizon and zero boundary","NEEDS_RUNTIME_PRODUCER","Assets/_Game/Scripts/TalismanBag/Items/Capability/RuntimeFacts/ItemCapabilityRuntimeFactContract.cs;Assets/_Game/Scripts/TalismanBag/Items/Capability/ItemCapabilityUnitContract.cs","affix_first_trigger_bonus;firstTriggerInBattle;triggerOrdinal;effect_basis_point","Direct BP identity and no multi-item accumulation","May understate synchronized opening effects; semantic approval and Producer are absent","KEEP_UNKNOWN"
"NRS01-CLEAR-A","capability.clear_power","Additive extra-target breadth from eligible items after the contracted consecutive-trigger gate","ItemInstanceProjectionContractSnapshot.v1;ItemCapabilityUnitContractSnapshot.v1;ItemInstancePlacementBindingContractSnapshot.v1;ItemSystemSnapshot.v1;ItemCapabilityRuntimeFactContractSnapshot.v1;BuildCapabilityReadContract.v1","Affixes[affix_chain_target].rawUnits;IF02 target_count;IF03 consecutiveTriggerCount;chainCount3;IF01 identity","target_count for contribution; consecutive_trigger_count for runtime gate","count;count kept as distinct domains","Complete eligible item and event universe; exact identity; approved placement policy; matching affix source","Complete IF03 chainCount3=KnownTrue; consecutiveTriggerCount>=3 is a gate only and is never used as extra-target value","sum once per unique eligible itemInstanceId in the approved horizon","clamp(SUM(affix_chain_target.rawUnits * USER_DECISION_REQUIRED_CLEAR_BP_PER_TARGET_COUNT),0,10000)","USER_DECISION_REQUIRED: CLEAR_BP_PER_TARGET_COUNT;CLEAR_PLANNING_EQUIVALENCE;ELIGIBILITY_POLICY;RUNTIME_HORIZON;ONCE_PER_ITEM_POLICY;SUM_SEMANTICS","User/Capability Algorithm Guard","Approved BuildCapability range 0..10000 only","chainCount3 KnownTrue corresponds to consecutiveTriggerCount>=3 under IF03","Total output cap 10000; no unapproved per-item cap","No complete chain event horizon is Unknown; complete KnownFalse gate contributes no qualification only after zero-boundary approval","Confirmed unplaced is ineligible under the approved policy; missing placement is Unknown","Confirmed unlit is ineligible under the approved policy; missing lighting is Unknown","Missing/incomplete chain truth count unit identity placement horizon or conversion is Unknown","Unit conflict identity mismatch duplicate event chain truth conflict illegal or IF02 out-of-range target count is Invalid","dev_encounter_4_10_furnace_core;dev_encounter_4_10_thunder_fire_cross","16","16","0","Per-row blockers remain; globally energy_stability control_power cleanse_power placement_shape burst_window spirit_lock remain as applicable","NOT_IMPLEMENTATION_READY","USER_DECISION_REQUIRED: approve extra-target-to-clear meaning count scale horizon eligibility and additive stacking","NEEDS_RUNTIME_PRODUCER","Assets/_Game/Scripts/TalismanBag/Items/Capability/RuntimeFacts/ItemCapabilityRuntimeFactContract.cs;Assets/_Game/Scripts/TalismanBag/Items/Capability/ItemCapabilityUnitContract.cs","affix_chain_target;target_count;consecutiveTriggerCount;chainCount3","Bounded multi-target source and explicit contracted gate","Same surface count label hides distinct domains; scale and semantic equivalence are unapproved; Producer absent","KEEP_UNKNOWN"
"NRS01-CLEAR-B","capability.clear_power","Peak extra-target breadth of the strongest eligible item after the contracted consecutive-trigger gate","ItemInstanceProjectionContractSnapshot.v1;ItemCapabilityUnitContractSnapshot.v1;ItemInstancePlacementBindingContractSnapshot.v1;ItemSystemSnapshot.v1;ItemCapabilityRuntimeFactContractSnapshot.v1;BuildCapabilityReadContract.v1","Affixes[affix_chain_target].rawUnits;IF02 target_count;IF03 consecutiveTriggerCount;chainCount3;IF01 identity","target_count for contribution; consecutive_trigger_count for runtime gate","count;count kept as distinct domains","Complete eligible item and event universe; exact identity; approved placement policy; matching affix source","Complete IF03 chainCount3=KnownTrue; consecutiveTriggerCount is not converted to target_count","max across unique eligible itemInstanceId in the approved horizon","clamp(MAX(affix_chain_target.rawUnits) * USER_DECISION_REQUIRED_CLEAR_BP_PER_TARGET_COUNT,0,10000)","USER_DECISION_REQUIRED: CLEAR_BP_PER_TARGET_COUNT;CLEAR_PLANNING_EQUIVALENCE;ELIGIBILITY_POLICY;RUNTIME_HORIZON;MAX_SEMANTICS;EMPTY_SET_POLICY","User/Capability Algorithm Guard","Approved BuildCapability range 0..10000 only","chainCount3 KnownTrue corresponds to consecutiveTriggerCount>=3 under IF03","Total output cap 10000; no unapproved item cap","No complete chain event horizon is Unknown; complete KnownFalse gate contributes zero to max only after zero-boundary approval","Confirmed unplaced is ineligible under the approved policy; missing placement is Unknown","Confirmed unlit is ineligible under the approved policy; missing lighting is Unknown","Missing/incomplete chain truth count unit identity placement horizon or conversion is Unknown","Unit conflict identity mismatch duplicate event chain truth conflict illegal or IF02 out-of-range target count is Invalid","dev_encounter_4_10_furnace_core;dev_encounter_4_10_thunder_fire_cross","16","16","0","Per-row blockers remain; globally energy_stability control_power cleanse_power placement_shape burst_window spirit_lock remain as applicable","NOT_IMPLEMENTATION_READY","USER_DECISION_REQUIRED: approve extra-target-to-clear meaning count scale horizon eligibility and strongest-source semantics","NEEDS_RUNTIME_PRODUCER","Assets/_Game/Scripts/TalismanBag/Items/Capability/RuntimeFacts/ItemCapabilityRuntimeFactContract.cs;Assets/_Game/Scripts/TalismanBag/Items/Capability/ItemCapabilityUnitContract.cs","affix_chain_target;target_count;consecutiveTriggerCount;chainCount3","Avoids automatic accumulation across repeated events/items","May understate synchronized multi-item clear breadth; semantic scale and Producer are absent","KEEP_UNKNOWN"
