checkId,area,expected,actual,status,notes
"schema-id","schema","EnemyDomainContract.v1","EnemyDomainContract.v1",PASS,"Stable schema ID is exact and case-sensitive."
"schema-version","schema","1","1",PASS,"Schema version remains independently machine-readable."
"provider-contract","contract","Provider and lookup interfaces implemented","implemented",PASS,"Snapshot creation and archetype lookup are exposed through read-only contracts."
"reference-types","contract","6 distinct minimal reference types","6 valid",PASS,"Mechanic, SkillPattern, BossPhase, MapRule, Encounter, and CounterWindow remain typed identities."
"archetype-categories","contract","Normal, Elite, Boss","Normal|Elite|Boss",PASS,"Enemy and Boss identity categories are explicit without combat data."
"default-dev-isolation","isolation","devOnly=true; isEnabled=false; entersFormalFlow=false","safe defaults",PASS,"Default verifier data never enters formal flow."
"input-list-defensive-copy","immutability","Snapshot unchanged after caller list mutation","unchanged",PASS,"Both aggregate lists and nested ID lists are copied at construction boundaries."
"returned-top-level-collections-read-only","immutability","All 8 collections reject mutation","all rejected",PASS,"Collections are exposed only through IReadOnlyList and backed by read-only defensive copies."
"returned-nested-id-collections-read-only","immutability","All archetype ID collections reject mutation","all rejected",PASS,"Callers cannot mutate references through a returned archetype."
"canonical-format","canonical","sha256: + 64 lowercase hex characters","sha256:63d670ad464c12b50c82562034d31460f2e4e3c91a7910c8fb3b444e83c43a06",PASS,"Signature has an explicit deterministic algorithm prefix."
"canonical-repeat","canonical","sha256:63d670ad464c12b50c82562034d31460f2e4e3c91a7910c8fb3b444e83c43a06","sha256:63d670ad464c12b50c82562034d31460f2e4e3c91a7910c8fb3b444e83c43a06",PASS,"Repeated evaluation is stable."
"canonical-input-order-independent","canonical","sha256:63d670ad464c12b50c82562034d31460f2e4e3c91a7910c8fb3b444e83c43a06","sha256:63d670ad464c12b50c82562034d31460f2e4e3c91a7910c8fb3b444e83c43a06",PASS,"Top-level and nested reference order does not affect the signature."
"canonical-content-sensitive","canonical","Different content produces a different signature","sha256:02c3c0c0954289db21bb5be711573064a43b9eca791dcb4bf2a8f6ba052b8bf6",PASS,"Identity metadata changes remain detectable."
"empty-enemy-id-detected","validation","STABLE_ID_EMPTY","STABLE_ID_EMPTY",PASS,"Both offline validation and provider construction reject invalid input."
"duplicate-enemy-id-detected","validation","STABLE_ID_DUPLICATE","STABLE_ID_DUPLICATE",PASS,"Both offline validation and provider construction reject invalid input."
"duplicate-boss-id-detected","validation","STABLE_ID_DUPLICATE","STABLE_ID_DUPLICATE",PASS,"Both offline validation and provider construction reject invalid input."
"enemy-boss-shared-id-detected","validation","ARCHETYPE_ID_SHARED","ARCHETYPE_ID_SHARED",PASS,"Both offline validation and provider construction reject invalid input."
"unresolved-reference-detected","validation","MECHANIC_PROFILE_REFERENCE_UNRESOLVED","MECHANIC_PROFILE_REFERENCE_UNRESOLVED",PASS,"Both offline validation and provider construction reject invalid input."
"unsafe-default-flags-detected","validation","DEV_ISOLATION_INVALID","DEV_ISOLATION_INVALID",PASS,"Both offline validation and provider construction reject invalid input."
"outer-whitespace-id-detected","validation","STABLE_ID_OUTER_WHITESPACE","STABLE_ID_OUTER_WHITESPACE",PASS,"Both offline validation and provider construction reject invalid input."
"schema-id-mismatch-detected","validation","SCHEMA_ID_MISMATCH","SCHEMA_ID_MISMATCH",PASS,"Both offline validation and provider construction reject invalid input."
"schema-version-mismatch-detected","validation","SCHEMA_VERSION_MISMATCH","SCHEMA_VERSION_MISMATCH",PASS,"Both offline validation and provider construction reject invalid input."
"lookup-exact-ordinal","lookup","Exact IDs resolve","resolved",PASS,"Lookup returns immutable objects already owned by the snapshot."
"lookup-case-sensitive","lookup","Case variants do not resolve","strict",PASS,"StringComparer.Ordinal is the stable ID authority."
"lookup-no-implicit-trim","lookup","Padded variants do not resolve","strict",PASS,"Callers cannot silently change stable identity semantics."
"lookup-unknown-safe","lookup","Unknown and null IDs return false","safe false",PASS,"Lookup does not throw or substitute another identity."
"pure-csharp-runtime-sources","leak","No engine/runtime object dependencies","0 matches",PASS,"Enemy Domain and Contracts compile as plain C# data code."
"forbidden-system-dependencies","leak","No sandbox/item/battle/legacy-runtime dependencies","0 matches",PASS,"Enemy is independently constructible and does not read other system implementations."
"no-chapter-hardcoding","leak","No chapter IDs in Domain/Contracts","0 matches",PASS,"Content IDs remain external data rather than code branches."
"archetype-no-combat-values","leak","0 combat value properties","0",PASS,"Archetypes contain identity, presentation, behavior keys, references, and isolation flags only."
"archetype-no-answer-fields","leak","0 answer-bearing properties","0",PASS,"No player-facing solution, exact requirement, or drop-bias fields exist."
"package-path-whitelist","scope","Every declared file is in the assignment whitelist","all allowed",PASS,"Verifier owns an explicit package manifest."
"scene-prefab-config-manifest","scope","Scene=0; Prefab=0; Config=0","0/0/0",PASS,"This package has no scene, prefab, or configuration delivery object."
"battle-board-item-manifest","scope","Battle=0; Board=0; Item=0","0/0/0",PASS,"Only Enemy data, Enemy contracts, Enemy editor verification, and named reports are declared."
