decisionId,capabilityKey,decisionTopic,options,candidateIds,requiredForImplementation,userDecision,safeDefaultWithoutDecision,dependencyIfApproved,notes
"NRS01-D01","capability.energy_stability","Planning model","A declared nian-efficiency potential;B realized nian preservation;reject both","NRS01-ENERGY-A;NRS01-ENERGY-B","YES","PENDING","KEEP_UNKNOWN","Rule Contract;Runtime Producer for either current candidate","Alternatives are mutually exclusive unless a later Guard package explicitly defines composition"
"NRS01-D02","capability.energy_stability","Realized net function","Define treatment of nianCostBefore nianCostAfter refundUnits and unrelated cost changes;or reject B","NRS01-ENERGY-B","YES_FOR_B","PENDING","KEEP_UNKNOWN","Runtime Producer;complete event horizon","basisPoint efficiency parameters must never be added to nian-point observations"
"NRS01-D03","capability.energy_stability","Runtime horizon and weighting","single event;single item battle;whole Build battle;other explicit horizon","NRS01-ENERGY-A;NRS01-ENERGY-B","YES","PENDING","KEEP_UNKNOWN","Runtime Producer completeness contract","Zero denominator and incomplete-horizon handling must be explicit"
"NRS01-D04","capability.control_power","Point normalization","Approve CONTROL_BP_PER_POINT or another explicit monotone curve with evidence;or reject both","NRS01-CONTROL-A;NRS01-CONTROL-B","YES","PENDING","KEEP_UNKNOWN","Rule Contract","control_point is not nian_point despite the shared surface unit label"
"NRS01-D05","capability.control_power","Multi-item aggregation","sum;max;reject both","NRS01-CONTROL-A;NRS01-CONTROL-B","YES","PENDING","KEEP_UNKNOWN","Rule Contract","No weighted-sum weights have an approved source"
"NRS01-D06","capability.cleanse_power","Stack normalization","Approve CLEANSE_BP_PER_STACK or another explicit curve;or reject both","NRS01-CLEANSE-A;NRS01-CLEANSE-B","YES","PENDING","KEEP_UNKNOWN","Rule Contract","No stack-to-BP value is approved"
"NRS01-D07","capability.cleanse_power","Declared versus realized and aggregation","A declared stack once per successful item plus sum;B peak realized stack plus max;reject both","NRS01-CLEANSE-A;NRS01-CLEANSE-B","YES","PENDING","KEEP_UNKNOWN","Runtime Producer;Rule Contract","KnownFalse event handling and battle completeness must be approved"
"NRS01-D08","capability.cleanse_power","Runtime horizon","single event;single item battle;whole Build battle;other explicit horizon","NRS01-CLEANSE-A;NRS01-CLEANSE-B","YES","PENDING","KEEP_UNKNOWN","Runtime Producer completeness contract","No event evidence remains Unknown"
"NRS01-D09","capability.placement_shape","True operational meaning","shape adaptability/compactness;maintained usable layout under placement pressure;another authored objective;keep unresolved","NONE","YES_BEFORE_ANY_CANDIDATE","PENDING","KEEP_UNKNOWN","New Guard-approved semantic and normalization contract","Enemy vocabulary supports usable layout through occupied shape and position but not a metric direction"
"NRS01-D10","capability.placement_shape","Geometry function and denominator","Author benefit direction board/pressure context denominator thresholds caps and aggregation;or keep unresolved","NONE","YES_BEFORE_ANY_CANDIDATE","PENDING","KEEP_UNKNOWN","Potential future survey revision","Occupied-cell count alone is not capability BP"
"NRS01-D11","capability.burst_window","Planning equivalence","Confirm successful first-trigger bonus represents short-window concentration;or reject both","NRS01-BURST-A;NRS01-BURST-B","YES","PENDING","KEEP_UNKNOWN","Rule Contract;Runtime Producer","Direct BP identity is unit-safe but semantic identity is not approved"
"NRS01-D12","capability.burst_window","Multi-item aggregation","sum once per item per battle;max strongest item;reject both","NRS01-BURST-A;NRS01-BURST-B","YES","PENDING","KEEP_UNKNOWN","Rule Contract;Runtime Producer","Alternatives are mutually exclusive"
"NRS01-D13","capability.clear_power","Planning equivalence","Confirm extra target count after chain gate represents multi-target clear breadth;or reject both","NRS01-CLEAR-A;NRS01-CLEAR-B","YES","PENDING","KEEP_UNKNOWN","Rule Contract;Runtime Producer","consecutive trigger count is only the gate and is not extra target count"
"NRS01-D14","capability.clear_power","Target-count normalization","Approve CLEAR_BP_PER_TARGET_COUNT or another explicit curve;or reject both","NRS01-CLEAR-A;NRS01-CLEAR-B","YES","PENDING","KEEP_UNKNOWN","Rule Contract","No count-to-BP value is approved"
"NRS01-D15","capability.clear_power","Multi-item aggregation and horizon","sum once per eligible item;max strongest item;explicit runtime horizon;reject both","NRS01-CLEAR-A;NRS01-CLEAR-B","YES","PENDING","KEEP_UNKNOWN","Rule Contract;Runtime Producer","The IF03 threshold 3 is approved only as a gate"
"NRS01-D16","GLOBAL","Eligibility boundary","placed+lit;placed+lit+isCountedInBuild;another explicit policy","all candidates","YES","PENDING","KEEP_UNKNOWN","Rule Contract","Mere possession is not silently treated as eligible; missing binding/placement/lighting remains Unknown"
"NRS01-D17","GLOBAL","Known zero boundary","Define when complete source universe complete eligibility set and complete runtime horizon permit a zero contribution and total Known Zero","all candidates","YES","PENDING","KEEP_UNKNOWN","Rule Contract;Runtime Producer completeness for runtime candidates","KnownFalse is distinct from missing and no candidate is approved yet"
"NRS01-D18","GLOBAL","Clamp threshold and caps","Retain mandatory output range 0..10000;approve any additional per-item total or event cap/threshold;or add none","all candidates","YES","PENDING","KEEP_UNKNOWN","Rule Contract","Only 0 and 10000 target bounds plus IF02 native ranges and IF03 ordinal/chain gates are existing constants"
"NRS01-D19","GLOBAL","Runtime Producer authorization","Authorize a separate future Producer package for approved runtime-dependent candidates;or reject runtime candidates","NRS01-ENERGY-A;NRS01-ENERGY-B;NRS01-CLEANSE-A;NRS01-CLEANSE-B;NRS01-BURST-A;NRS01-BURST-B;NRS01-CLEAR-A;NRS01-CLEAR-B","YES_FOR_RUNTIME_CANDIDATES","PENDING","KEEP_UNKNOWN","Separate Guard closure required","This Survey does not create or authorize a Producer"
"NRS01-D20","GLOBAL","Implementation subset","Choose at most one candidate per capability for a future Rule Contract;explicitly reject or defer every other candidate","all candidates","YES","PENDING","KEEP_UNKNOWN","Guard second closure then Rule Contract package","Candidate approval does not start mapping expansion or any later package"
