mapRuleId,displayName,description,affectedTags,buffTags,debuffTags,placementModifier,energyModifier,cooldownModifier,warningText,enemyProblemIds,bossProblemIds,dropBiasId,devOnly,isEnabled
dev_map_black_furnace_smoke,黑炉烟尘,黑炉烟尘压低视野并抬高破盾需求，适合检查惊雷与清场 Build 的起手完整度。,SmokePressure;BreakPower;ClearPower,ThunderEcho,SightReduced;ShieldLayered,-1,-1,1,烟尘会放大护壳压力，缺少破盾或清场时会拖入失败循环。,dev_enemy_shield_problem;dev_enemy_swarm_problem,dev_boss_black_furnace_shell,drop_bias_black_furnace_shell_01,True,False
dev_map_bluestone_damp,青石回潮,青石巷地面回潮，符纸与阵眼更容易被污染，适合检查净厄与供能稳定。,CleansePower;EnergyStability;PollutedTile,WaterTrace,TalismanDamp;EnergyLeak,-1,-2,1,回潮会持续拉低供能效率，净化不足时污染格会扩大。,dev_enemy_poison_burn_problem;dev_enemy_polluted_tile_problem,dev_boss_dirty_dream_mother,drop_bias_dirty_dream_mother_01,True,False
dev_map_lamp_shortage,灯火不足,灯火不足让爆发窗口变短，适合检查 BurstWindow 与快速压制能力。,BurstWindow;ControlPower;ClearPower,LampFocus,WindowShort,0,-1,2,灯火不足会缩短可输出窗口，慢热 Build 需要补爆发或控制。,dev_enemy_burst_problem;dev_enemy_caster_problem,dev_boss_paper_faces,drop_bias_paper_faces_01,True,False
dev_map_copper_bell_night,铜铃夜响,夜里铜铃乱响干扰施法节奏，适合检查镇魂打断与护阵防守。,ControlPower;GuardPower;CasterInterrupt,BellResonance,CastNoise;GuardDrain,-1,0,1,铜铃会打乱施法节奏，缺少镇魂或护阵时容易被连锁施法压制。,dev_enemy_seal_problem;dev_enemy_caster_problem,dev_boss_bronze_formation_general,drop_bias_bronze_general_01,True,False
dev_map_formation_eye_shift,阵眼偏移,阵眼坐标偏移，检查摆放形态与供能链是否能保持稳定。,PlacementShape;EnergyStability;GuardPower,FormationAnchor,AnchorShift;ShapePenalty,-2,-1,0,阵眼偏移会惩罚松散摆放，需补形态钥匙或供能链。,dev_enemy_formation_eye_problem;dev_enemy_spirit_thief_problem,dev_boss_bronze_formation_general,drop_bias_bronze_general_02,True,False
dev_map_talisman_paper_damp,符纸受潮,符纸受潮削弱持续触发，检查净化、供能与冷却补偿。,CleansePower;EnergyStability;CooldownRecovery,DryCharm,CooldownSlow;PaperDamp,0,-1,2,符纸受潮会让冷却和供能同时吃紧，缺少净化会持续恶化。,dev_enemy_poison_burn_problem;dev_enemy_thick_blood_problem,dev_boss_dirty_dream_mother,drop_bias_dirty_dream_mother_02,True,False
dev_map_old_lane_echo,旧巷回音,旧巷回音会复制召唤压力，适合检查清场与离火连锁。,ClearPower;BurstWindow;ChainReaction,EchoTrace,SummonEcho,-1,0,1,回音会放大群怪压力，清场不足时会被召唤物拖死。,dev_enemy_swarm_problem;dev_enemy_thick_blood_problem,dev_boss_paper_faces,drop_bias_paper_faces_02,True,False
dev_map_furnace_ash_fall,炉灰落阵,炉灰落入阵盘，持续污染关键格，适合检查污染格清理与护阵。,CleansePower;GuardPower;PollutedTile,AshWard,TilePollution;GuardPressure,-1,-1,1,炉灰会污染关键摆放位，净化和护阵缺一都容易失守。,dev_enemy_polluted_tile_problem;dev_enemy_formation_eye_problem,dev_boss_black_furnace_complex_eye,drop_bias_complex_eye_01,True,False
dev_map_night_watch_lamp_out,夜巡灯灭,夜巡灯灭后爆发节奏被压缩，检查控制后爆发的衔接。,BurstWindow;ControlPower;BreakPower,WatchLamp,BlindInterval;BurstTax,0,-1,2,灯灭时窗口极短，需要先控制再爆发，否则关键钥匙无法达标。,dev_enemy_burst_problem;dev_enemy_seal_problem,dev_boss_spirit_thief_core,drop_bias_spirit_core_01,True,False
dev_map_bluestone_crack,青石裂纹,青石裂纹会切断部分供能路径，适合综合检查摆放、供能与毕业 Build。,PlacementShape;EnergyStability;BurstWindow;ClearPower,StoneLine,EnergyCut;ShapeSplit,-2,-2,1,裂纹会切断供能链，综合 Build 需要同时补形态、供能和爆发。,dev_enemy_spirit_thief_problem;dev_enemy_formation_eye_problem,dev_boss_black_furnace_complex_eye,drop_bias_complex_eye_02,True,False
