fixtureId,scenario,itemCount,supportedCount,knownZeroCount,unknownNotMappedCount,outOfScopeCount,knownValues,unknownDiagnosticCount,canonicalSignature,notes
"empty-item-set","Empty complete projection set","0","0","3","11","2","capability.break_power=0;capability.cooldown_recovery=0;capability.guard_power=0","14","sha256:2cd2b3fc5287443695b6e29458903aa25d3a5c4a96dfaf867d4e7c60b1c9565b","Explicit Known Zero for all unit-safe supported rules."
"single-base-item","Single base Item","1","0","3","11","2","capability.break_power=0;capability.cooldown_recovery=0;capability.guard_power=0","23","sha256:ef1e37fdc36cd317c1cc92be014bdca80d5adb633b7a5b556b10c664dfca83f7","One QA projection; mapped affixes absent under complete mapped schema."
"multiple-items","Multiple Item instances","2","3","0","11","2","capability.break_power=1000;capability.cooldown_recovery=900;capability.guard_power=800","20","sha256:77a877fe03b3c495406f3fb9b0da1b412c40e379b8f55ccdf293af6c1cd7c6e2","Two instances contribute deterministically."
"same-base-different-instance","Same baseItemId, distinct itemInstanceId","2","3","0","11","2","capability.break_power=1000;capability.cooldown_recovery=900;capability.guard_power=800","20","sha256:77a877fe03b3c495406f3fb9b0da1b412c40e379b8f55ccdf293af6c1cd7c6e2","QA-C01-orange-A and QA-C01-green-B both use I001."
"five-rarities","White through Orange","6","0","0","14","2","","41","sha256:6b73e847bde42445bf12990d70ca77d6560846021af423d98a541cd869f6cf75","Shared Item QA fixture covers all five rarity tiers."
"stats-present","Stats present","2","3","0","11","2","capability.break_power=1000;capability.cooldown_recovery=900;capability.guard_power=800","20","sha256:77a877fe03b3c495406f3fb9b0da1b412c40e379b8f55ccdf293af6c1cd7c6e2","damage flat stat remains unmapped; no BP conversion guessed."
"affixes-present","Affixes present","2","3","0","11","2","capability.break_power=1000;capability.cooldown_recovery=900;capability.guard_power=800","20","sha256:77a877fe03b3c495406f3fb9b0da1b412c40e379b8f55ccdf293af6c1cd7c6e2","Three direct BP rules plus one unmapped stable affix."
"core-effect-present","Eligible and visible Core Effect","2","3","0","11","2","capability.break_power=1000;capability.cooldown_recovery=900;capability.guard_power=800","20","sha256:77a877fe03b3c495406f3fb9b0da1b412c40e379b8f55ccdf293af6c1cd7c6e2","Core key is diagnosed Unknown without a locked rule."
"build-qualification","Dual and FaMenOnly qualification","2","3","0","11","2","capability.break_power=1000;capability.cooldown_recovery=900;capability.guard_power=800","20","sha256:77a877fe03b3c495406f3fb9b0da1b412c40e379b8f55ccdf293af6c1cd7c6e2","Categorical qualification is not converted to BP."
"missing-stable-facts","Missing Affix schema and ItemSystem facts","1","0","0","14","2","","22","sha256:ac7b387e03719c6039a851b34acddc7eae0208d524f2dcec26969142380dc4c1","Supported rules become Sparse omissions."
"explicit-known-zero","Complete empty sources","0","0","3","11","2","capability.break_power=0;capability.cooldown_recovery=0;capability.guard_power=0","14","sha256:2cd2b3fc5287443695b6e29458903aa25d3a5c4a96dfaf867d4e7c60b1c9565b","Zero is emitted, not inferred from missing data."
"unmapped-stable-key","affix_unmapped_stable","2","3","0","11","2","capability.break_power=1000;capability.cooldown_recovery=900;capability.guard_power=800","20","sha256:77a877fe03b3c495406f3fb9b0da1b412c40e379b8f55ccdf293af6c1cd7c6e2","Stable unknown key is reported without name guessing."
"missing-projection-set","Null projection collection","0","0","0","14","2","","17","sha256:200216c4c165d41cbb3214f125e4e1404c90b1d0b6bf18c84ff53aec79b74d0d","Missing collection remains Unknown, distinct from empty."
"unit-mismatch","Mapped key with non-BP unit","1","2","0","12","2","capability.cooldown_recovery=900;capability.guard_power=800","20","sha256:aefdb74ad624fda20a9da48d7062160d41ed6b00270dd18168f540477195efd2","No flat-to-BP conversion is invented."
"negative-source","Negative BP source","1","0","2","12","2","capability.cooldown_recovery=0;capability.guard_power=0","15","sha256:8e632d95b8941101b3c699d5e2f24e21c27cad711bc7d0494dd963f21cb4b188","Positive capability scale does not clamp negative input to zero."
"saturating-sum","Two BP sources exceed maximum","2","1","2","11","2","capability.break_power=10000;capability.cooldown_recovery=0;capability.guard_power=0","14","sha256:c78e71dc9254f7c86134425a21bfce8486e705d3b4d77215abd5517f519633bd","Deterministic sum saturates at BuildCapabilityScale maximum."
