scenarioId,stableRouteKey,chineseDisplayName,pipelineRowStatus,predicateState,chineseHint,answerMasked,result
"S04_COMPLETE_EMPTY_LAYOUT","route.layout_resilience.formation_eye.dev_encounter_4_10_furnace_core.dev_map_furnace_ash_fall.v1","炉灰落阵·阵眼压力","Complete","KnownFalse","阵势在当前压力下出现断点",true,PASS
"S04_COMPLETE_EMPTY_LAYOUT","route.layout_resilience.formation_eye.dev_encounter_4_10_thunder_fire_cross.dev_map_bluestone_crack.v1","青石裂隙·阵眼压力","Complete","KnownFalse","阵势在当前压力下出现断点",true,PASS
"S04_COMPLETE_EMPTY_LAYOUT","route.layout_resilience.polluted_tile.dev_encounter_3_10_cleanse_corner.dev_map_bluestone_damp.v1","青石回潮·污染压力","Complete","KnownFalse","阵势在当前压力下出现断点",true,PASS
"S04_COMPLETE_EMPTY_LAYOUT","route.layout_resilience.polluted_tile.dev_encounter_4_10_furnace_core.dev_map_furnace_ash_fall.v1","炉灰落阵·污染压力","Complete","KnownFalse","阵势在当前压力下出现断点",true,PASS
"S05_I031_ONLY_LAYOUT","route.layout_resilience.formation_eye.dev_encounter_4_10_furnace_core.dev_map_furnace_ash_fall.v1","炉灰落阵·阵眼压力","Complete","KnownFalse","阵势在当前压力下出现断点",true,PASS
"S05_I031_ONLY_LAYOUT","route.layout_resilience.formation_eye.dev_encounter_4_10_thunder_fire_cross.dev_map_bluestone_crack.v1","青石裂隙·阵眼压力","Complete","KnownFalse","阵势在当前压力下出现断点",true,PASS
"S05_I031_ONLY_LAYOUT","route.layout_resilience.polluted_tile.dev_encounter_3_10_cleanse_corner.dev_map_bluestone_damp.v1","青石回潮·污染压力","Complete","KnownFalse","阵势在当前压力下出现断点",true,PASS
"S05_I031_ONLY_LAYOUT","route.layout_resilience.polluted_tile.dev_encounter_4_10_furnace_core.dev_map_furnace_ash_fall.v1","炉灰落阵·污染压力","Complete","KnownFalse","阵势在当前压力下出现断点",true,PASS
"S06_FORMATION_EYE_STABLE","route.layout_resilience.formation_eye.dev_encounter_4_10_furnace_core.dev_map_furnace_ash_fall.v1","炉灰落阵·阵眼压力","Complete","KnownTrue","阵势在当前压力下保持稳定",true,PASS
"S06_FORMATION_EYE_STABLE","route.layout_resilience.formation_eye.dev_encounter_4_10_thunder_fire_cross.dev_map_bluestone_crack.v1","青石裂隙·阵眼压力","Complete","KnownFalse","阵势在当前压力下出现断点",true,PASS
"S06_FORMATION_EYE_STABLE","route.layout_resilience.polluted_tile.dev_encounter_3_10_cleanse_corner.dev_map_bluestone_damp.v1","青石回潮·污染压力","Complete","KnownFalse","阵势在当前压力下出现断点",true,PASS
"S06_FORMATION_EYE_STABLE","route.layout_resilience.polluted_tile.dev_encounter_4_10_furnace_core.dev_map_furnace_ash_fall.v1","炉灰落阵·污染压力","Complete","KnownFalse","阵势在当前压力下出现断点",true,PASS
"S07_FORMATION_EYE_PRESSURED","route.layout_resilience.formation_eye.dev_encounter_4_10_furnace_core.dev_map_furnace_ash_fall.v1","炉灰落阵·阵眼压力","Complete","KnownFalse","阵势在当前压力下出现断点",true,PASS
"S07_FORMATION_EYE_PRESSURED","route.layout_resilience.formation_eye.dev_encounter_4_10_thunder_fire_cross.dev_map_bluestone_crack.v1","青石裂隙·阵眼压力","Complete","KnownFalse","阵势在当前压力下出现断点",true,PASS
"S07_FORMATION_EYE_PRESSURED","route.layout_resilience.polluted_tile.dev_encounter_3_10_cleanse_corner.dev_map_bluestone_damp.v1","青石回潮·污染压力","Complete","KnownTrue","阵势在当前压力下保持稳定",true,PASS
"S07_FORMATION_EYE_PRESSURED","route.layout_resilience.polluted_tile.dev_encounter_4_10_furnace_core.dev_map_furnace_ash_fall.v1","炉灰落阵·污染压力","Complete","KnownFalse","阵势在当前压力下出现断点",true,PASS
"S08_POLLUTED_TILE_STABLE","route.layout_resilience.formation_eye.dev_encounter_4_10_furnace_core.dev_map_furnace_ash_fall.v1","炉灰落阵·阵眼压力","Complete","KnownTrue","阵势在当前压力下保持稳定",true,PASS
"S08_POLLUTED_TILE_STABLE","route.layout_resilience.formation_eye.dev_encounter_4_10_thunder_fire_cross.dev_map_bluestone_crack.v1","青石裂隙·阵眼压力","Complete","KnownFalse","阵势在当前压力下出现断点",true,PASS
"S08_POLLUTED_TILE_STABLE","route.layout_resilience.polluted_tile.dev_encounter_3_10_cleanse_corner.dev_map_bluestone_damp.v1","青石回潮·污染压力","Complete","KnownTrue","阵势在当前压力下保持稳定",true,PASS
"S08_POLLUTED_TILE_STABLE","route.layout_resilience.polluted_tile.dev_encounter_4_10_furnace_core.dev_map_furnace_ash_fall.v1","炉灰落阵·污染压力","Complete","KnownTrue","阵势在当前压力下保持稳定",true,PASS
"S09_POLLUTED_TILE_PRESSURED","route.layout_resilience.formation_eye.dev_encounter_4_10_furnace_core.dev_map_furnace_ash_fall.v1","炉灰落阵·阵眼压力","Complete","KnownTrue","阵势在当前压力下保持稳定",true,PASS
"S09_POLLUTED_TILE_PRESSURED","route.layout_resilience.formation_eye.dev_encounter_4_10_thunder_fire_cross.dev_map_bluestone_crack.v1","青石裂隙·阵眼压力","Complete","KnownFalse","阵势在当前压力下出现断点",true,PASS
"S09_POLLUTED_TILE_PRESSURED","route.layout_resilience.polluted_tile.dev_encounter_3_10_cleanse_corner.dev_map_bluestone_damp.v1","青石回潮·污染压力","Complete","KnownFalse","阵势在当前压力下出现断点",true,PASS
"S09_POLLUTED_TILE_PRESSURED","route.layout_resilience.polluted_tile.dev_encounter_4_10_furnace_core.dev_map_furnace_ash_fall.v1","炉灰落阵·污染压力","Complete","KnownFalse","阵势在当前压力下出现断点",true,PASS
"S10_IF01_IDENTITY_MISSING","route.layout_resilience.formation_eye.dev_encounter_4_10_furnace_core.dev_map_furnace_ash_fall.v1","炉灰落阵·阵眼压力","Unknown","Unknown","当前布局信息不足，暂无法判断",true,PASS
"S10_IF01_IDENTITY_MISSING","route.layout_resilience.formation_eye.dev_encounter_4_10_thunder_fire_cross.dev_map_bluestone_crack.v1","青石裂隙·阵眼压力","Unknown","Unknown","当前布局信息不足，暂无法判断",true,PASS
"S10_IF01_IDENTITY_MISSING","route.layout_resilience.polluted_tile.dev_encounter_3_10_cleanse_corner.dev_map_bluestone_damp.v1","青石回潮·污染压力","Unknown","Unknown","当前布局信息不足，暂无法判断",true,PASS
"S10_IF01_IDENTITY_MISSING","route.layout_resilience.polluted_tile.dev_encounter_4_10_furnace_core.dev_map_furnace_ash_fall.v1","炉灰落阵·污染压力","Unknown","Unknown","当前布局信息不足，暂无法判断",true,PASS
