id,check,result,evidence
"SOURCE-01","ItemSystemSnapshot.v2 authority","PASS","bfc708b1fef71eee7d3271bfcd57b050d80d03ae2ceb83158cecbdb54edcf62f"
"SOURCE-02","Lv40 Orange machine cost facts","PASS","2,3,5,3,3,6"
"SOURCE-03","Immutable source collection","PASS","ReadOnlyCollection mutation rejected"
"SOURCE-04","Inventory state cannot generate","PASS","I031_NOT_ON_BOARD|I031_PLACEMENT_COUNT_NOT_ONE"
"BATTLE-01","Initial authoritative resource snapshot","PASS","962d1c355ad374a0c441bd2df09deb572c27f23772e863cc9508450619711f6d"
"BATTLE-02","50 pulse frozen fixture","PASS","initial=20; generated=200; spent=181; final=39"
"BATTLE-03","Accepted applications preserve 50 damage gates","PASS","acceptedApplications=50; durationTicks=75000"
"BATTLE-04","Pulse order generation then spend","PASS","ledgerRows=100"
"BATTLE-05","Insufficient balance rejects damage authorization","PASS","INSUFFICIENT_NIAN"
"BATTLE-06","Signature validation precedes generation","PASS","SOURCE_SIGNATURE_MISMATCH"
"BATTLE-07","Duplicate pulse is idempotently rejected","PASS","DUPLICATE_PULSE_EVENT"
"BATTLE-08","Cap is enforced and recorded","PASS","final=96"
"RESET-01","Reset restores 20 and clears old ledger/events","PASS","7023e6bdcee262438107e8d092512d2d2fbd871e4306c131ec676e82000f6b09"
"RESET-02","Old generation cannot leak after reset","PASS","GENERATION_MISMATCH"
"DETERMINISM-01","Same source and pulses are deterministic","PASS","7f39d00a4f202e3186357b6f4a3fc89a64e496245e40911b24e4a428a25ab367"
"BOUNDARY-01","No forbidden runtime coupling in owned sources","PASS","leakCount=0"
"INTEGRATION-01","P3 pulse is gated by shared Nian identity","PASS","shared battle.request.g identity; Nian before session pulse"
"INTEGRATION-02","Existing Nian UI is read-only runtime projection","PASS","ManaText/Fill + generated/spent authored TMP clones; authored state restored"
"INTEGRATION-03","Legacy loops remain suppressed without Scene writes","PASS","legacy loops forced disabled; Scene serialization untouched"
"INTEGRATION-04","Real Projection damage is not a frozen launch gate","PASS","I008 real Projection 40 at adjacency 2/3 starts without fabricating 42"
"INTEGRATION-05","Authored TMP source and settlement cues share one event","PASS","exact MFLangSongJianYuan-Regular SDF; authored asset is static ASCII-only (96 glyphs/no fallback), runtime exact-OTF dynamic fallback; source=resolvedPreMitigationDamageUnits; enemy=shell/hp applied"
"INTEGRATION-06","Accepted-only board activation VFX bypasses legacy truth","PASS","accepted Nian + matching ItemApplication ledger only; direct old Play path restores source pulse/flash/resource-sequence/procedural VFX, then explicit FIRE_PROJECTILE/SWORD_QI_SLASH/HEAVY_SEAL_DROP carrier + impact; card artwork never transfers; legacy Text suppressed"
"PRESENTATION-01","I007-I012 have six stable source-number gradients","PASS","I007=FFF4A5FF-FF4123FF;I008=FFFBB5FF-FF8718FF;I009=FFFFF6FF-E81F2CFF;I010=FFE884FF-15CDD8FF;I011=FFD06FFF-B02FD8FF;I012=FFFDC4FF-FF2C18FF"
"PRESENTATION-02","HP/SH/BREAK and NP deltas have distinct result semantics","PASS","presentation.nian.generated=FFF489FF-1BDEB4FF;presentation.nian.spent=FFB63DFF-B02889FF;presentation.settlement.hp=FFEEE1FF-99181FFF;presentation.settlement.shell=FFFAAEFF-DA7E18FF;presentation.settlement.break=FFF7E0FF-FFC631FF;taibaiReservedOnly=True"
"PRESENTATION-03","Accepted VFX uses three explicit skill carriers, never card artwork","PASS","I007=carrier.fire_projectile;I008=carrier.sword_qi_slash;I009=carrier.heavy_seal_drop;I010=carrier.fire_projectile;I011=carrier.sword_qi_slash;I012=carrier.heavy_seal_drop;taibaiFamilyReserved=carrier.family.taibai.reserved"
