ownerType,fieldName,fieldType,cardinality,semantic,sourceOfTruth,eligibility,futureConsumer
LayoutResilienceStructuralPredicateSchema,SchemaId,string,1,exact schema identity,contract constant,internal contract,validator
LayoutResilienceStructuralPredicateSchema,SchemaVersion,int,1,exact schema version,contract constant,internal contract,validator
LayoutCellCoordinate,X,int,1,neutral integer x coordinate,caller authored or future projection,coordinate only,future adapters
LayoutCellCoordinate,Y,int,1,neutral integer y coordinate,caller authored or future projection,coordinate only,future adapters
LayoutCellConnection,CellA,LayoutCellCoordinate,1,canonical first undirected endpoint,caller authored pressure,usable neutral cell,pure evaluator
LayoutCellConnection,CellB,LayoutCellCoordinate,1,canonical second undirected endpoint,caller authored pressure,usable neutral cell,pure evaluator
LayoutResiliencePlacedItemFactSnapshot,PlacementId,string,1,ordinal placement identity,future Item projection,approved Item fact,future Item adapter
LayoutResiliencePlacedItemFactSnapshot,ItemId,string,1,ordinal base Item identity,future Item projection,approved Item fact,future Item adapter
LayoutResiliencePlacedItemFactSnapshot,AnchorCell,LayoutCellCoordinate,1,world placement anchor,future Item projection,approved Item fact,validation and signature
LayoutResiliencePlacedItemFactSnapshot,Rotation,int,1,already applied placement rotation,future Item projection,approved Item fact,validation and signature
LayoutResiliencePlacedItemFactSnapshot,ShapeCells,IReadOnlyList<LayoutCellCoordinate>,1..n,local shape integrity evidence,future Item projection,approved Item fact,validation and signature
LayoutResiliencePlacedItemFactSnapshot,OccupiedCells,IReadOnlyList<LayoutCellCoordinate>,1..n,materialized world occupancy,future Item projection,approved Item fact,pure evaluator
LayoutResiliencePlacedItemFactSnapshot,CoreCellWorld,LayoutCellCoordinate,1,materialized world core,future Item projection,approved Item fact,pure evaluator
LayoutResiliencePlacedItemFactSnapshot,IsLit,bool,1,upstream lit fact,future Item projection,approved Item fact,counted consistency validation
LayoutResiliencePlacedItemFactSnapshot,IsCountedInBuild,bool,1,upstream Build participation,future Item projection,approved Item fact,pure evaluator filter
