ruleId,category,subject,expected,result
LRSP-001,schema,schemaId,LayoutResilienceStructuralPredicate.v1,PASS
LRSP-002,schema,schemaVersion,1,PASS
LRSP-003,enum,predicateStateCount,4,PASS
LRSP-004,enum,KnownTrue,1,PASS
LRSP-005,enum,KnownFalse,2,PASS
LRSP-006,enum,Unknown,3,PASS
LRSP-007,enum,NotApplicable,4,PASS
LRSP-008,enum,completenessCount,3,PASS
LRSP-009,enum,Complete,1,PASS
LRSP-010,enum,Incomplete,2,PASS
LRSP-011,enum,NotRequired,3,PASS
LRSP-012,enum,pressureKindCount,3,PASS
LRSP-013,enum,PollutedCellMask,1,PASS
LRSP-014,enum,EyeRelocationOrDisruption,2,PASS
LRSP-015,enum,StructuralConnectionCut,3,PASS
LRSP-016,enum,clauseKindCount,5,PASS
LRSP-017,enum,CountedLayoutPresent,1,PASS
LRSP-018,enum,CountedPlacementCellsUsable,2,PASS
LRSP-019,enum,CountedPlacementCoresUsable,3,PASS
LRSP-020,enum,EffectiveEyeAnchorUsable,4,PASS
LRSP-021,enum,EyeToCountedCoreStructurallyConnected,5,PASS
LRSP-022,enum,clauseStateCount,2,PASS
LRSP-023,enum,Satisfied,1,PASS
LRSP-024,enum,Violated,2,PASS
LRSP-025,enum,zeroAndUndefined,rejected,PASS
LRSP-026,truth,ApplicableCompleteComplete,runPurePredicate,PASS
LRSP-027,truth,ApplicableIncompleteAnyNonNotRequired,Unknown,PASS
LRSP-028,truth,UnknownCompleteOrIncomplete,UnknownWithoutPredicate,PASS
LRSP-029,truth,NotApplicableNotRequiredNotRequired,NotApplicable,PASS
LRSP-030,truth,NotInChannelAny,Invalid,PASS
LRSP-031,truth,ApplicableOrUnknownWithNotRequired,Invalid,PASS
LRSP-032,truth,NotApplicableWithNonNotRequired,Invalid,PASS
LRSP-033,clause,explicitRequiredClausesOnly,true,PASS
LRSP-034,clause,CountedLayoutPresent,anyCountedPlacement,PASS
LRSP-035,clause,CountedPlacementCellsUsable,setInclusionAllCounted,PASS
LRSP-036,clause,CountedPlacementCoresUsable,setInclusionAllCounted,PASS
LRSP-037,clause,EffectiveEyeAnchorUsable,setInclusion,PASS
LRSP-038,clause,EyeToCoreConnection,authoredUndirectedGraphReachability,PASS
LRSP-039,clause,emptyCountedLayout,vacuousExceptExplicitPresentClause,PASS
LRSP-040,algorithm,knownTrue,allRequiredSatisfied,PASS
LRSP-041,algorithm,knownFalse,anyRequiredViolated,PASS
LRSP-042,algorithm,occupiedCardinality,integrityOnlyNoScore,PASS
LRSP-043,canonical,format,sha256Colon64LowerHex,PASS
LRSP-044,canonical,identity,ordinalExact,PASS
LRSP-045,canonical,integer,InvariantCultureDecimal,PASS
LRSP-046,canonical,placementOrder,PlacementIdOrdinal,PASS
LRSP-047,canonical,cellOrder,YThenX,PASS
LRSP-048,canonical,enumOrder,numericAscending,PASS
LRSP-049,canonical,connectionOrder,normalizedEndpointOrder,PASS
LRSP-050,canonical,clauseOrder,numericAscending,PASS
LRSP-051,canonical,inputPermutation,insensitive,PASS
LRSP-052,canonical,externalMutation,insensitiveAfterConstruction,PASS
LRSP-053,validation,nullInput,INPUT_NULL,PASS
LRSP-054,validation,schemaMismatch,SCHEMA_ID_OR_VERSION_MISMATCH,PASS
LRSP-055,validation,identityEmptyOrWhitespace,rejected,PASS
LRSP-056,validation,placementDuplicate,PLACEMENT_ID_DUPLICATE,PASS
LRSP-057,validation,rotation,only0_90_180_270,PASS
LRSP-058,validation,shapeOccupied,nonemptyUniqueEqualCardinality,PASS
LRSP-059,validation,core,memberOfOccupiedCells,PASS
LRSP-060,validation,countedUnlit,COUNTED_NOT_LIT,PASS
LRSP-061,validation,domain,exactBoardEnumeration,PASS
LRSP-062,validation,usable,subsetOfDomain,PASS
LRSP-063,validation,connection,noSelfLoopNormalizedUsableUnique,PASS
LRSP-064,validation,resultClauseSet,exactRequiredSet,PASS
LRSP-065,validation,knownTrue,noViolatedClause,PASS
LRSP-066,validation,knownFalse,atLeastOneViolatedClause,PASS
LRSP-067,validation,unknownOrNotApplicable,noClauseRows,PASS
LRSP-068,isolation,itemRuntimeDependency,zero,PASS
LRSP-069,isolation,boardMapBattleDependency,zero,PASS
LRSP-070,isolation,readinessOrProducer,zero,PASS
LRSP-071,isolation,realRequirementMigration,zero,PASS
LRSP-072,isolation,bpScoreRatioThreshold,zero,PASS

