baseItemId,oldCandidateDefinitionId,oldNodeKind,oldUnlockLevel,oldRequiredRarity,oldSemanticHash,disposition,newCandidateDefinitionId,newNodeKind,newUnlockLevel,newRequiredRarity,newSemanticHash,notes
I001,candidate_core_i001_01,Core1,10,white,089560073d1aec9d7c4d6c117ca2fd2b7b5b21e1056337c80e3d627c4e75f6ef,KEEP_CANONICAL,candidate_core_i001_01,Core1,10,white,089560073d1aec9d7c4d6c117ca2fd2b7b5b21e1056337c80e3d627c4e75f6ef,Task-start semantic hash retained exactly.
I001,candidate_core_i001_02,Core2,20,green,72c02987441aacc1ea1b09c7e35db0cbeae2a8406891f0383893a47ef08950a7,KEEP_CANONICAL,candidate_core_i001_02,Core2,20,green,72c02987441aacc1ea1b09c7e35db0cbeae2a8406891f0383893a47ef08950a7,Task-start semantic hash retained exactly.
I001,candidate_core_i001_03,Core3,30,blue,a20deb302f8ae976f9b8fef9bfd2013c410934291384c87b94e4f6438ab8f132,KEEP_CANONICAL,candidate_core_i001_03,Core3,30,blue,a20deb302f8ae976f9b8fef9bfd2013c410934291384c87b94e4f6438ab8f132,Task-start semantic hash retained exactly.
I001,candidate_core_i001_04,Core4,40,purple,96749ae20139ed06f4f80d43e66ea3e94a3ef316fd93a7ca5698c6a43a70ab06,SUPERSEDED_EXPANSION_DRIFT,,,,,,No canonical target; never mapped or merged into Ultimate.
I001,candidate_core_i001_ultimate,Ultimate,40,orange,5786a0255f5e01c59c798a22837e59e1f550cba1aacc57af6b4421adad6d3541,KEEP_CANONICAL,candidate_core_i001_ultimate,Ultimate,40,orange,5786a0255f5e01c59c798a22837e59e1f550cba1aacc57af6b4421adad6d3541,Task-start semantic hash retained exactly.
I002,candidate_core_i002_01,Core1,10,white,b44b932607df0aa6edca46cff7f2a8fd81aa3ccf97561b2b0f4129e0c46c85e7,KEEP_CANONICAL,candidate_core_i002_01,Core1,10,white,b44b932607df0aa6edca46cff7f2a8fd81aa3ccf97561b2b0f4129e0c46c85e7,Task-start semantic hash retained exactly.
I002,candidate_core_i002_02,Core2,20,green,7e9eeef79db9b42234a021af96d207160e7b2861293d54290c7d902d14d74173,KEEP_CANONICAL,candidate_core_i002_02,Core2,20,green,7e9eeef79db9b42234a021af96d207160e7b2861293d54290c7d902d14d74173,Task-start semantic hash retained exactly.
I002,candidate_core_i002_03,Core3,30,blue,8a4176563c7947ab20343e929e31946bbfa82ceea6600d6ee28001415a8d8464,KEEP_CANONICAL,candidate_core_i002_03,Core3,30,blue,8a4176563c7947ab20343e929e31946bbfa82ceea6600d6ee28001415a8d8464,Task-start semantic hash retained exactly.
I002,candidate_core_i002_04,Core4,40,purple,2056af795426cc12b438c3ec77337bde47819294824880fe5e26a3089590e913,SUPERSEDED_EXPANSION_DRIFT,,,,,,No canonical target; never mapped or merged into Ultimate.
I002,candidate_core_i002_ultimate,Ultimate,40,orange,b46d2ab2f7fbc37efab19ef461709d6a918f3eee7894d8eee31c4142fb987767,KEEP_CANONICAL,candidate_core_i002_ultimate,Ultimate,40,orange,b46d2ab2f7fbc37efab19ef461709d6a918f3eee7894d8eee31c4142fb987767,Task-start semantic hash retained exactly.
