candidateMigrationRequirementId,ownerId,fieldName,evidenceState,requiredStatus,approvedValue,contextCardinality,notApplicableInference,sourceEvidence
layout_resilience.bronze_formation_general.placement_shape,dev_boss_bronze_formation_general,PressureInputId,MISSING,USER_AUTHORING_REQUIRED / INCOMPLETE,<null>,UNRESOLVED,REJECTED,No approved real P2 binding exists.
layout_resilience.bronze_formation_general.placement_shape,dev_boss_bronze_formation_general,PressureKinds,MISSING,USER_AUTHORING_REQUIRED / INCOMPLETE,<null>,UNRESOLVED,REJECTED,Theme and BP are not pressure facts.
layout_resilience.bronze_formation_general.placement_shape,dev_boss_bronze_formation_general,DeclaredBoardSize,MISSING,USER_AUTHORING_REQUIRED / INCOMPLETE,<null>,UNRESOLVED,REJECTED,No authored board extent exists.
layout_resilience.bronze_formation_general.placement_shape,dev_boss_bronze_formation_general,LayoutDomainCells,MISSING,USER_AUTHORING_REQUIRED / INCOMPLETE,<null>,UNRESOLVED,REJECTED,No authored layout domain exists.
layout_resilience.bronze_formation_general.placement_shape,dev_boss_bronze_formation_general,UsableCellsAfterPressure,MISSING,USER_AUTHORING_REQUIRED / INCOMPLETE,<null>,UNRESOLVED,REJECTED,No authored post-pressure cells exist.
layout_resilience.bronze_formation_general.placement_shape,dev_boss_bronze_formation_general,EffectiveEyeAnchorCellAfterPressure,MISSING,USER_AUTHORING_REQUIRED / INCOMPLETE,<null>,UNRESOLVED,REJECTED,No authored effective eye anchor exists.
layout_resilience.bronze_formation_general.placement_shape,dev_boss_bronze_formation_general,PreservedStructuralConnectionsAfterPressure,MISSING,USER_AUTHORING_REQUIRED / INCOMPLETE,<null>,UNRESOLVED,REJECTED,No authored structural graph exists.
layout_resilience.bronze_formation_general.placement_shape,dev_boss_bronze_formation_general,RequiredPredicateClauses,MISSING,USER_AUTHORING_REQUIRED / INCOMPLETE,<null>,UNRESOLVED,REJECTED,No clause selection is approved.
layout_resilience.formation_eye.placement_shape,dev_enemy_formation_eye_problem,PressureInputId,MISSING,USER_AUTHORING_REQUIRED / INCOMPLETE,<null>,UNRESOLVED,REJECTED,No approved real P2 binding exists.
layout_resilience.formation_eye.placement_shape,dev_enemy_formation_eye_problem,PressureKinds,MISSING,USER_AUTHORING_REQUIRED / INCOMPLETE,<null>,UNRESOLVED,REJECTED,Theme and BP are not pressure facts.
layout_resilience.formation_eye.placement_shape,dev_enemy_formation_eye_problem,DeclaredBoardSize,MISSING,USER_AUTHORING_REQUIRED / INCOMPLETE,<null>,UNRESOLVED,REJECTED,No authored board extent exists.
layout_resilience.formation_eye.placement_shape,dev_enemy_formation_eye_problem,LayoutDomainCells,MISSING,USER_AUTHORING_REQUIRED / INCOMPLETE,<null>,UNRESOLVED,REJECTED,No authored layout domain exists.
layout_resilience.formation_eye.placement_shape,dev_enemy_formation_eye_problem,UsableCellsAfterPressure,MISSING,USER_AUTHORING_REQUIRED / INCOMPLETE,<null>,UNRESOLVED,REJECTED,No authored post-pressure cells exist.
layout_resilience.formation_eye.placement_shape,dev_enemy_formation_eye_problem,EffectiveEyeAnchorCellAfterPressure,MISSING,USER_AUTHORING_REQUIRED / INCOMPLETE,<null>,UNRESOLVED,REJECTED,No authored effective eye anchor exists.
layout_resilience.formation_eye.placement_shape,dev_enemy_formation_eye_problem,PreservedStructuralConnectionsAfterPressure,MISSING,USER_AUTHORING_REQUIRED / INCOMPLETE,<null>,UNRESOLVED,REJECTED,No authored structural graph exists.
layout_resilience.formation_eye.placement_shape,dev_enemy_formation_eye_problem,RequiredPredicateClauses,MISSING,USER_AUTHORING_REQUIRED / INCOMPLETE,<null>,UNRESOLVED,REJECTED,No clause selection is approved.
layout_resilience.polluted_tile.placement_shape,dev_enemy_polluted_tile_problem,PressureInputId,MISSING,USER_AUTHORING_REQUIRED / INCOMPLETE,<null>,UNRESOLVED,REJECTED,No approved real P2 binding exists.
