case_id,area,expected,actual,diagnostic_code,result
"assignment-sha-before","boundary","cd0c1492d9319ff258e5f3725182a8c1294b4b8ccc97c33b07ac7a0be2ee76b0","cd0c1492d9319ff258e5f3725182a8c1294b4b8ccc97c33b07ac7a0be2ee76b0","ASSIGNMENT_SHA_MISMATCH","PASS"
"catalog-valid","positive","valid","","CATALOG_INVALID","PASS"
"catalog-schema","positive","C1Stage1FirstClearGuaranteedRewardCatalog.v1","C1Stage1FirstClearGuaranteedRewardCatalog.v1","CATALOG_SCHEMA_MISMATCH","PASS"
"catalog-exact-row-count","positive","1","1","ROW_COUNT_MISMATCH","PASS"
"accepted-query-resolves","positive","success","NONE","ACCEPTED_QUERY_FAILED","PASS"
"definition-schema","positive","C1Stage1FirstClearGuaranteedRewardDefinition.v1","C1Stage1FirstClearGuaranteedRewardDefinition.v1","DEFINITION_SCHEMA_MISMATCH","PASS"
"exact-stage-and-context","positive","CAMPAIGN_NORMAL_LV1/bone_aspect_chapter_1/1-1","CAMPAIGN_NORMAL_LV1/bone_aspect_chapter_1/1-1","STAGE_IDENTITY_MISMATCH","PASS"
"fixed-policy","positive","FirstClearOnline/FirstClearFixed/1","FirstClearOnline/FirstClearFixed/1","FIXED_POLICY_MISMATCH","PASS"
"explicit-ordinary-subject","positive","I002@white/OrdinaryGeneratedItem/C1Lv1StarterItemFactProjection.v1/1","I002@white/OrdinaryGeneratedItem/C1Lv1StarterItemFactProjection.v1/1","SUBJECT_IDENTITY_MISMATCH","PASS"
"source-and-entitlement-identities","positive","released source/scope/policy","c1.first_clear.1-1.i002.white.v1/campaign_normal_lv1.bone_aspect_chapter_1.1-1.first_clear_fixed/reward.first_clear.entitlement.v1","ENTITLEMENT_IDENTITY_MISMATCH","PASS"
"upstream-projection-query","positive","success","NONE","UPSTREAM_PROJECTION_FAILED","PASS"
"upstream-canonicals","positive","released projection/catalog canonicals","9830747edfb3de3318910795820588b2114d28bf108e79fb5b76ef9f6cf664d3/d0dd84f6e2f59344d3a49416d883eb5f4f84b408ab85a96a8dcf6751de97e357","UPSTREAM_CANONICAL_MISMATCH","PASS"
"claim-scope-independent-of-clear-fixture","positive","campaign_normal_lv1.bone_aspect_chapter_1.1-1.first_clear_fixed","campaign_normal_lv1.bone_aspect_chapter_1.1-1.first_clear_fixed/campaign_normal_lv1.bone_aspect_chapter_1.1-1.first_clear_fixed","PER_RUN_SCOPE_LEAK","PASS"
