caseId,contextKind,itemInstanceId,baseItemId,rarity,expected,actual,result,notes
"fixture-six-instances","GeneratedInstancePreview","","","all","6","6","PASS","Shared runtime QA fixture extracted from the projection-contract verifier."
"fixture-five-rarities","GeneratedInstancePreview","","","all","5","5","PASS","white/green/blue/purple/orange coverage."
"open-QA-I001-white","GeneratedInstancePreview","QA-I001-white","I001","white","success","Success","PASS","All QA instances open through exact identity query."
"identity-QA-I001-white","GeneratedInstancePreview","QA-I001-white","I001","white","QA-I001-white|I001","QA-I001-white|I001","PASS","ViewModel retains identities without displaying raw IDs in player sections."
"stats-QA-I001-white","GeneratedInstancePreview","QA-I001-white","I001","white","2","2","PASS","Formatted from projection statId/rawUnits via Stat Schema."
"affix-groups-QA-I001-white","GeneratedInstancePreview","QA-I001-white","I001","white","1/2","1/2","PASS","Grouped strictly by projection slotKind."
"core-subset-QA-I001-white","GeneratedInstancePreview","QA-I001-white","I001","white","visible subset eligible","checked","PASS","Potential is not converted to unlocked or active state."
"player-no-raw-QA-I001-white","GeneratedInstancePreview","QA-I001-white","I001","white","no raw identity/seed/schema/signature/internal IDs or active claims","clean","PASS","Player chapter leak boundary."
"debug-trace-QA-I001-white","GeneratedInstancePreview","QA-I001-white","I001","white","complete generation trace","complete","PASS","Debug tab contains full provenance."
"open-QA-I001-green-A","GeneratedInstancePreview","QA-I001-green-A","I001","green","success","Success","PASS","All QA instances open through exact identity query."
"identity-QA-I001-green-A","GeneratedInstancePreview","QA-I001-green-A","I001","green","QA-I001-green-A|I001","QA-I001-green-A|I001","PASS","ViewModel retains identities without displaying raw IDs in player sections."
"stats-QA-I001-green-A","GeneratedInstancePreview","QA-I001-green-A","I001","green","2","2","PASS","Formatted from projection statId/rawUnits via Stat Schema."
"affix-groups-QA-I001-green-A","GeneratedInstancePreview","QA-I001-green-A","I001","green","1/2","1/2","PASS","Grouped strictly by projection slotKind."
"core-subset-QA-I001-green-A","GeneratedInstancePreview","QA-I001-green-A","I001","green","visible subset eligible","checked","PASS","Potential is not converted to unlocked or active state."
"player-no-raw-QA-I001-green-A","GeneratedInstancePreview","QA-I001-green-A","I001","green","no raw identity/seed/schema/signature/internal IDs or active claims","clean","PASS","Player chapter leak boundary."
"debug-trace-QA-I001-green-A","GeneratedInstancePreview","QA-I001-green-A","I001","green","complete generation trace","complete","PASS","Debug tab contains full provenance."
"open-QA-I001-blue","GeneratedInstancePreview","QA-I001-blue","I001","blue","success","Success","PASS","All QA instances open through exact identity query."
"identity-QA-I001-blue","GeneratedInstancePreview","QA-I001-blue","I001","blue","QA-I001-blue|I001","QA-I001-blue|I001","PASS","ViewModel retains identities without displaying raw IDs in player sections."
"stats-QA-I001-blue","GeneratedInstancePreview","QA-I001-blue","I001","blue","2","2","PASS","Formatted from projection statId/rawUnits via Stat Schema."
"affix-groups-QA-I001-blue","GeneratedInstancePreview","QA-I001-blue","I001","blue","1/2","1/2","PASS","Grouped strictly by projection slotKind."
"core-subset-QA-I001-blue","GeneratedInstancePreview","QA-I001-blue","I001","blue","visible subset eligible","checked","PASS","Potential is not converted to unlocked or active state."
"player-no-raw-QA-I001-blue","GeneratedInstancePreview","QA-I001-blue","I001","blue","no raw identity/seed/schema/signature/internal IDs or active claims","clean","PASS","Player chapter leak boundary."
"debug-trace-QA-I001-blue","GeneratedInstancePreview","QA-I001-blue","I001","blue","complete generation trace","complete","PASS","Debug tab contains full provenance."
"open-QA-I001-purple","GeneratedInstancePreview","QA-I001-purple","I001","purple","success","Success","PASS","All QA instances open through exact identity query."
"identity-QA-I001-purple","GeneratedInstancePreview","QA-I001-purple","I001","purple","QA-I001-purple|I001","QA-I001-purple|I001","PASS","ViewModel retains identities without displaying raw IDs in player sections."
"stats-QA-I001-purple","GeneratedInstancePreview","QA-I001-purple","I001","purple","2","2","PASS","Formatted from projection statId/rawUnits via Stat Schema."
"affix-groups-QA-I001-purple","GeneratedInstancePreview","QA-I001-purple","I001","purple","1/2","1/2","PASS","Grouped strictly by projection slotKind."
"core-subset-QA-I001-purple","GeneratedInstancePreview","QA-I001-purple","I001","purple","visible subset eligible","checked","PASS","Potential is not converted to unlocked or active state."
"player-no-raw-QA-I001-purple","GeneratedInstancePreview","QA-I001-purple","I001","purple","no raw identity/seed/schema/signature/internal IDs or active claims","clean","PASS","Player chapter leak boundary."
"debug-trace-QA-I001-purple","GeneratedInstancePreview","QA-I001-purple","I001","purple","complete generation trace","complete","PASS","Debug tab contains full provenance."
"open-QA-I001-orange","GeneratedInstancePreview","QA-I001-orange","I001","orange","success","Success","PASS","All QA instances open through exact identity query."
"identity-QA-I001-orange","GeneratedInstancePreview","QA-I001-orange","I001","orange","QA-I001-orange|I001","QA-I001-orange|I001","PASS","ViewModel retains identities without displaying raw IDs in player sections."
"stats-QA-I001-orange","GeneratedInstancePreview","QA-I001-orange","I001","orange","2","2","PASS","Formatted from projection statId/rawUnits via Stat Schema."
"affix-groups-QA-I001-orange","GeneratedInstancePreview","QA-I001-orange","I001","orange","1/2","1/2","PASS","Grouped strictly by projection slotKind."
"core-subset-QA-I001-orange","GeneratedInstancePreview","QA-I001-orange","I001","orange","visible subset eligible","checked","PASS","Potential is not converted to unlocked or active state."
"player-no-raw-QA-I001-orange","GeneratedInstancePreview","QA-I001-orange","I001","orange","no raw identity/seed/schema/signature/internal IDs or active claims","clean","PASS","Player chapter leak boundary."
"debug-trace-QA-I001-orange","GeneratedInstancePreview","QA-I001-orange","I001","orange","complete generation trace","complete","PASS","Debug tab contains full provenance."
"open-QA-I001-green-B","GeneratedInstancePreview","QA-I001-green-B","I001","green","success","Success","PASS","All QA instances open through exact identity query."
"identity-QA-I001-green-B","GeneratedInstancePreview","QA-I001-green-B","I001","green","QA-I001-green-B|I001","QA-I001-green-B|I001","PASS","ViewModel retains identities without displaying raw IDs in player sections."
"stats-QA-I001-green-B","GeneratedInstancePreview","QA-I001-green-B","I001","green","2","2","PASS","Formatted from projection statId/rawUnits via Stat Schema."
"affix-groups-QA-I001-green-B","GeneratedInstancePreview","QA-I001-green-B","I001","green","1/2","1/2","PASS","Grouped strictly by projection slotKind."
"core-subset-QA-I001-green-B","GeneratedInstancePreview","QA-I001-green-B","I001","green","visible subset eligible","checked","PASS","Potential is not converted to unlocked or active state."
"player-no-raw-QA-I001-green-B","GeneratedInstancePreview","QA-I001-green-B","I001","green","no raw identity/seed/schema/signature/internal IDs or active claims","clean","PASS","Player chapter leak boundary."
"debug-trace-QA-I001-green-B","GeneratedInstancePreview","QA-I001-green-B","I001","green","complete generation trace","complete","PASS","Debug tab contains full provenance."
