baseItemId,itemName,faMen,qiLei,shape,trigger,basicEffect,lighting,recommendedPlacement,flavorText,iconKey,dataMaturity
"I001","震雷符","震雷法","符","shape_single_1 · 1格 · 核心格(0,0)","核心格已点亮时，每次满足“引雷”的触发条件即可发动；候选内部冷却按载荷读取。","战斗中按节奏引下一记短雷。 本效果为Sandbox候选，不进入正式战斗结算。","核心格进入聚念范围或由正交相邻道具接亮后生效；未点亮时不发动，也不计入Build。","让核心格靠近聚念范围，并保留正交相邻接亮位置；当前zhenlei法门候选Build需要已点亮实例计数。","旧物记：震雷符原是青石坊里常见的符，经震雷法法脉重题符胆后，留下了“引雷”这一手独门用法。","i001_placeholder","BALANCE_CANDIDATE"
"I002","五雷急符","震雷法","符","shape_line2_h · 2格 · 核心格(0,0)","核心格已点亮时，每次满足“急引”的触发条件即可发动；候选内部冷却按载荷读取。","连续触发时提高雷法出手频率。 本效果为Sandbox候选，不进入正式战斗结算。","核心格进入聚念范围或由正交相邻道具接亮后生效；未点亮时不发动，也不计入Build。","让核心格靠近聚念范围，并保留正交相邻接亮位置；当前zhenlei法门候选Build需要已点亮实例计数。","旧物记：五雷急符原是青石坊里常见的符，经震雷法法脉重题符胆后，留下了“急引”这一手独门用法。","i002_placeholder","BALANCE_CANDIDATE"
"I003","震雷破壳印","震雷法","印","shape_line2_v · 2格 · 核心格(0,0)","核心格已点亮时，每次满足“破壳”的触发条件即可发动；候选内部冷却按载荷读取。","对护壳与减伤目标提供破势。 本效果为Sandbox候选，不进入正式战斗结算。","核心格进入聚念范围或由正交相邻道具接亮后生效；未点亮时不发动，也不计入Build。","优先占据阵位点并承接相邻接亮；当前zhenlei法门候选Build需要已点亮实例计数。","旧物记：震雷破壳印原是青石坊里常见的印，经震雷法法脉重题符胆后，留下了“破壳”这一手独门用法。","i003_placeholder","BALANCE_CANDIDATE"
"I004","五雷急令","震雷法","令","shape_line2_h · 2格 · 核心格(1,0)","核心格已点亮时，每次满足“催雷”的触发条件即可发动；候选内部冷却按载荷读取。","条件满足时催发一次震雷令文。 本效果为Sandbox候选，不进入正式战斗结算。","核心格进入聚念范围或由正交相邻道具接亮后生效；未点亮时不发动，也不计入Build。","让核心格靠近聚念范围，并保留正交相邻接亮位置；当前zhenlei法门候选Build需要已点亮实例计数。","旧物记：五雷急令原是青石坊里常见的令，经震雷法法脉重题符胆后，留下了“催雷”这一手独门用法。","i004_placeholder","BALANCE_CANDIDATE"
"I005","照壳雷镜","震雷法","镜","shape_line2_v · 2格 · 核心格(0,1)","核心格已点亮时，每次满足“照壳”的触发条件即可发动；候选内部冷却按载荷读取。","照出护壳弱点并回响雷击。 本效果为Sandbox候选，不进入正式战斗结算。","核心格进入聚念范围或由正交相邻道具接亮后生效；未点亮时不发动，也不计入Build。","放在能接触两件同法门道具的位置；当前zhenlei法门候选Build需要已点亮实例计数。","旧物记：照壳雷镜原是青石坊里常见的镜，经震雷法法脉重题符胆后，留下了“照壳”这一手独门用法。","i005_placeholder","BALANCE_CANDIDATE"
"I006","天鼓槌","震雷法","法","shape_line2_h · 2格 · 核心格(0,0)","核心格已点亮时，每次满足“天鼓”的触发条件即可发动；候选内部冷却按载荷读取。","周期性震鸣，作为震雷大件。 本效果为Sandbox候选，不进入正式战斗结算。","核心格进入聚念范围或由正交相邻道具接亮后生效；未点亮时不发动，也不计入Build。","让核心格靠近聚念范围，并保留正交相邻接亮位置；当前zhenlei法门候选Build需要已点亮实例计数。","旧物记：天鼓槌原是青石坊里常见的法，经震雷法法脉重题符胆后，留下了“天鼓”这一手独门用法。","i006_placeholder","BALANCE_CANDIDATE"
"I007","离火符","离火法","符","shape_single_1 · 1格 · 核心格(0,0)","核心格已点亮时，每次满足“燃符”的触发条件即可发动；候选内部冷却按载荷读取。","点燃一段离火伤害。 本效果为Sandbox候选，不进入正式战斗结算。","核心格进入聚念范围或由正交相邻道具接亮后生效；未点亮时不发动，也不计入Build。","让核心格靠近聚念范围，并保留正交相邻接亮位置；当前lihuo法门候选Build需要已点亮实例计数。","旧物记：离火符原是青石坊里常见的符，经离火法法脉重题符胆后，留下了“燃符”这一手独门用法。","i007_placeholder","BALANCE_CANDIDATE"
"I008","焚邪长符","离火法","符","shape_line2_v · 2格 · 核心格(0,0)","核心格已点亮时，每次满足“焚邪”的触发条件即可发动；候选内部冷却按载荷读取。","长符持续压制邪气目标。 本效果为Sandbox候选，不进入正式战斗结算。","核心格进入聚念范围或由正交相邻道具接亮后生效；未点亮时不发动，也不计入Build。","让核心格靠近聚念范围，并保留正交相邻接亮位置；当前lihuo法门候选Build需要已点亮实例计数。","旧物记：焚邪长符原是青石坊里常见的符，经离火法法脉重题符胆后，留下了“焚邪”这一手独门用法。","i008_placeholder","BALANCE_CANDIDATE"
"I009","离火焚邪印","离火法","印","shape_single_1 · 1格 · 核心格(0,0)","核心格已点亮时，每次满足“落火”的触发条件即可发动；候选内部冷却按载荷读取。","印心落火，强化离火持续段。 本效果为Sandbox候选，不进入正式战斗结算。","核心格进入聚念范围或由正交相邻道具接亮后生效；未点亮时不发动，也不计入Build。","优先占据阵位点并承接相邻接亮；当前lihuo法门候选Build需要已点亮实例计数。","旧物记：离火焚邪印原是青石坊里常见的印，经离火法法脉重题符胆后，留下了“落火”这一手独门用法。","i009_placeholder","BALANCE_CANDIDATE"
"I010","风火令旗","离火法","令","shape_line2_v · 2格 · 核心格(0,1)","核心格已点亮时，每次满足“风助”的触发条件即可发动；候选内部冷却按载荷读取。","以令旗带起短促风火节奏。 本效果为Sandbox候选，不进入正式战斗结算。","核心格进入聚念范围或由正交相邻道具接亮后生效；未点亮时不发动，也不计入Build。","让核心格靠近聚念范围，并保留正交相邻接亮位置；当前lihuo法门候选Build需要已点亮实例计数。","旧物记：风火令旗原是青石坊里常见的令，经离火法法脉重题符胆后，留下了“风助”这一手独门用法。","i010_placeholder","BALANCE_CANDIDATE"
