item_instance_id,base_item_id,placement_id,effect_id,source_kind,machine_operation,machine_unit,magnitude_presence,magnitude_units,disposition,reason_code,source_identities
"wb_i007_orange_404310007","I007","P_BOARD_I007","affix_nian_efficiency:effect","Affix","Unapproved","unknown","Present","1267","Unknown","AFFIX_MACHINE_CONTRACT_NOT_APPROVED_V1","affixId=affix_nian_efficiency|affixValueProfileId=candidate_value_affix_nian_efficiency|slotId=random_01|slotKind=Random"
"wb_i007_orange_404310007","I007","P_BOARD_I007","candidate_core_i007_01","Core","UnapprovedCoreEffect","unknown","Missing","","Unknown","CORE_MAGNITUDE_NOT_APPROVED_IN_ITEM_REQUEST_CONTRACT_V1","Cultivation/BattleSandboxDevHandtestAllLv40|IF01/wb_i007_orange_404310007/P_BOARD_I007/I007|ItemBalanceWorkbenchCatalog/ITEM_FOUR_CORE_CANDIDATE_DATA_CORRECTION01_R1/I007/candidate_core_i007_01|ItemSystemSnapshot.v2/P_BOARD_I007/I007|Projection/b6367c163c306aa6a523c84720e83611c3255d3544dfbc1c3665a5ec75dfe91a|TalismanBag.Items.Awakening.DefaultItemCoreEffectDefinitionProvider/I007/I007_CORE_01|activeFact=KnownTrue|awakeningNodeId=I007_CORE_01|candidateDefinitionId=candidate_core_i007_01|candidate_core_i007_01#4a9bcf09e9fd4552629472c1abec48d8260f95b56fd4cfd041307da7fb6c4d36|eligibleFact=KnownTrue|litFact=KnownTrue|nodeKind=Core1|unlockedFact=KnownTrue|visibleFact=KnownTrue"
"wb_i007_orange_404310007","I007","P_BOARD_I007","candidate_core_i007_02","Core","UnapprovedCoreEffect","unknown","Missing","","Unknown","CORE_MAGNITUDE_NOT_APPROVED_IN_ITEM_REQUEST_CONTRACT_V1","Cultivation/BattleSandboxDevHandtestAllLv40|IF01/wb_i007_orange_404310007/P_BOARD_I007/I007|ItemBalanceWorkbenchCatalog/ITEM_FOUR_CORE_CANDIDATE_DATA_CORRECTION01_R1/I007/candidate_core_i007_02|ItemSystemSnapshot.v2/P_BOARD_I007/I007|Projection/b6367c163c306aa6a523c84720e83611c3255d3544dfbc1c3665a5ec75dfe91a|TalismanBag.Items.Awakening.DefaultItemCoreEffectDefinitionProvider/I007/I007_CORE_02|activeFact=KnownTrue|awakeningNodeId=I007_CORE_02|candidateDefinitionId=candidate_core_i007_02|candidate_core_i007_02#d127145f072f649c76cf5be4e7ad78684e4b5973a69784395d3bc53f5b78a19e|eligibleFact=KnownTrue|litFact=KnownTrue|nodeKind=Core2|unlockedFact=KnownTrue|visibleFact=KnownTrue"
"wb_i007_orange_404310007","I007","P_BOARD_I007","candidate_core_i007_03","Core","UnapprovedCoreEffect","unknown","Missing","","Unknown","CORE_MAGNITUDE_NOT_APPROVED_IN_ITEM_REQUEST_CONTRACT_V1","Cultivation/BattleSandboxDevHandtestAllLv40|IF01/wb_i007_orange_404310007/P_BOARD_I007/I007|ItemBalanceWorkbenchCatalog/ITEM_FOUR_CORE_CANDIDATE_DATA_CORRECTION01_R1/I007/candidate_core_i007_03|ItemSystemSnapshot.v2/P_BOARD_I007/I007|Projection/b6367c163c306aa6a523c84720e83611c3255d3544dfbc1c3665a5ec75dfe91a|TalismanBag.Items.Awakening.DefaultItemCoreEffectDefinitionProvider/I007/I007_CORE_03|activeFact=KnownTrue|awakeningNodeId=I007_CORE_03|candidateDefinitionId=candidate_core_i007_03|candidate_core_i007_03#f87b2236dea6aafd4742fe204afb656aa0b59863a2794a510ae3cb448fafc16a|eligibleFact=KnownTrue|litFact=KnownTrue|nodeKind=Core3|unlockedFact=KnownTrue|visibleFact=KnownTrue"
"wb_i007_orange_404310007","I007","P_BOARD_I007","candidate_core_i007_ultimate","Core","UnapprovedCoreEffect","unknown","Missing","","Unknown","CORE_MAGNITUDE_NOT_APPROVED_IN_ITEM_REQUEST_CONTRACT_V1","Cultivation/BattleSandboxDevHandtestAllLv40|IF01/wb_i007_orange_404310007/P_BOARD_I007/I007|ItemBalanceWorkbenchCatalog/ITEM_FOUR_CORE_CANDIDATE_DATA_CORRECTION01_R1/I007/candidate_core_i007_ultimate|ItemSystemSnapshot.v2/P_BOARD_I007/I007|Projection/b6367c163c306aa6a523c84720e83611c3255d3544dfbc1c3665a5ec75dfe91a|TalismanBag.Items.Awakening.DefaultItemCoreEffectDefinitionProvider/I007/I007_CORE_ULT|activeFact=KnownTrue|awakeningNodeId=I007_CORE_ULT|candidateDefinitionId=candidate_core_i007_ultimate|candidate_core_i007_ultimate#5060ae0f96b031348688fe633911b90d3abc89d068627c489c601b7f47ab5e4e|eligibleFact=KnownTrue|litFact=KnownTrue|nodeKind=Ultimate|unlockedFact=KnownTrue|visibleFact=KnownTrue"
"wb_i007_orange_404310007","I007","P_BOARD_I007","famen:lihuo:build4:effect","Build","ExtraTrigger","trigger","Missing","","NotExecuted","BATTLE_TRIGGER_LEDGER_NOT_OWNED_BY_ITEM_V1","activeStagePieceCount=4|buildId=famen:lihuo|qualifiedItemCount=4"
"wb_i007_orange_404310007","I007","P_BOARD_I007","famen:lihuo:build6:effect","Build","Unknown","unknown","Missing","","NotExecuted","BUILD6_STAGE_INACTIVE","activeStagePieceCount=4|buildId=famen:lihuo|qualifiedItemCount=4"
"wb_i007_orange_404310007","I007","P_BOARD_I007","famen:lihuo:text:burn","TextSemantic","UnknownTextSemantic","unknown","Missing","","Unknown","TEXT_ONLY_BURN_SEMANTICS_NOT_EXECUTED_V1","buildId=famen:lihuo|textInferenceForbidden=true"
"wb_i008_orange_404310008","I008","P_BOARD_I008","candidate_core_i008_01","Core","UnapprovedCoreEffect","unknown","Missing","","Unknown","CORE_MAGNITUDE_NOT_APPROVED_IN_ITEM_REQUEST_CONTRACT_V1","Cultivation/BattleSandboxDevHandtestAllLv40|IF01/wb_i008_orange_404310008/P_BOARD_I008/I008|ItemBalanceWorkbenchCatalog/ITEM_FOUR_CORE_CANDIDATE_DATA_CORRECTION01_R1/I008/candidate_core_i008_01|ItemSystemSnapshot.v2/P_BOARD_I008/I008|Projection/64b4addeef44128d8ffa448693d2cd9f93cce46b030a4a690e9b500f88c30041|TalismanBag.Items.Awakening.DefaultItemCoreEffectDefinitionProvider/I008/I008_CORE_01|activeFact=KnownTrue|awakeningNodeId=I008_CORE_01|candidateDefinitionId=candidate_core_i008_01|candidate_core_i008_01#b3d94567f7694aa06bda3d72024f0d0416a7ca30bf2e697a779e863369dc2af2|eligibleFact=KnownTrue|litFact=KnownTrue|nodeKind=Core1|unlockedFact=KnownTrue|visibleFact=KnownTrue"
"wb_i008_orange_404310008","I008","P_BOARD_I008","candidate_core_i008_02","Core","UnapprovedCoreEffect","unknown","Missing","","Unknown","CORE_MAGNITUDE_NOT_APPROVED_IN_ITEM_REQUEST_CONTRACT_V1","Cultivation/BattleSandboxDevHandtestAllLv40|IF01/wb_i008_orange_404310008/P_BOARD_I008/I008|ItemBalanceWorkbenchCatalog/ITEM_FOUR_CORE_CANDIDATE_DATA_CORRECTION01_R1/I008/candidate_core_i008_02|ItemSystemSnapshot.v2/P_BOARD_I008/I008|Projection/64b4addeef44128d8ffa448693d2cd9f93cce46b030a4a690e9b500f88c30041|TalismanBag.Items.Awakening.DefaultItemCoreEffectDefinitionProvider/I008/I008_CORE_02|activeFact=KnownTrue|awakeningNodeId=I008_CORE_02|candidateDefinitionId=candidate_core_i008_02|candidate_core_i008_02#e2a607a44c77808cb2cb850d3df987b8e8c429e56282212c71892d7e5dc02cef|eligibleFact=KnownTrue|litFact=KnownTrue|nodeKind=Core2|unlockedFact=KnownTrue|visibleFact=KnownTrue"
