"specId","specCategory","scopeId","displayName","stableKeyOrValue","requirement","designStatus","devOnly","isEnabled","entersFormalFlow"
"BA-VIS-GLOBAL-01","GLOBAL_POSITIONING","bone_aspect","全局视觉语言","chinese_weird_modern_qingshifang_bone_porcelain_contract_array","中国志怪现代化；青石坊现实生活底色；骨瓷、骨片、契纸、阵纹形成版本识别","VISUAL_LANGUAGE_LOCKED","true","false","false"
"BA-VIS-COLOR-01","PRIMARY_COLOR","bone_aspect","骨瓷白","bone_porcelain_white","Assignment 第 4 节精确主色；不在本包锁定数值色值","VISUAL_LANGUAGE_LOCKED","true","false","false"
"BA-VIS-COLOR-02","PRIMARY_COLOR","bone_aspect","旧纸黄","aged_paper_yellow","Assignment 第 4 节精确主色；不在本包锁定数值色值","VISUAL_LANGUAGE_LOCKED","true","false","false"
"BA-VIS-COLOR-03","PRIMARY_COLOR","bone_aspect","旧木褐","old_wood_brown","Assignment 第 4 节精确主色；不在本包锁定数值色值","VISUAL_LANGUAGE_LOCKED","true","false","false"
"BA-VIS-COLOR-04","PRIMARY_COLOR","bone_aspect","暗朱砂红","dark_cinnabar_red","Assignment 第 4 节精确主色；不在本包锁定数值色值","VISUAL_LANGUAGE_LOCKED","true","false","false"
"BA-VIS-COLOR-05","PRIMARY_COLOR","bone_aspect","青石灰","limestone_gray","Assignment 第 4 节精确主色；不在本包锁定数值色值","VISUAL_LANGUAGE_LOCKED","true","false","false"
"BA-VIS-FAMILY-01","VISUAL_FAMILY","bone_aspect_chapter_1","骨瓷与旧街","bone_aspect_visual_c1_bone_porcelain","核心材质：骨瓷、旧木、符绳、青石、暗朱砂骨纹；主要叙事：骨相从熟悉老街的旧物内部渗出","VISUAL_FAMILY_LOCKED","true","false","false"
"BA-VIS-FAMILY-02","VISUAL_FAMILY","bone_aspect_chapter_2","契纸与错误身份","bone_aspect_visual_c2_contract_identity","核心材质：契纸、旧钞、骨牌、反写招牌、身份叠影；主要叙事：身份、才华和命运被交易与定价","VISUAL_FAMILY_LOCKED","true","false","false"
"BA-VIS-FAMILY-03","VISUAL_FAMILY","bone_aspect_chapter_3","阵石与记忆叠影","bone_aspect_visual_c3_array_stone_memory","核心材质：阵石、残符、山雾、朱砂显影、记忆叠影；主要叙事：明箓山旧阵、资格判断与残缺记忆","VISUAL_FAMILY_LOCKED","true","false","false"
"BA-VIS-FAMILY-04","VISUAL_FAMILY","bone_aspect_chapter_4","赝骨与复合法相","bone_aspect_visual_c4_counterfeit_composite","核心材质：骨瓷、契纸、重复旧木结构、骨环、空白骨片；主要叙事：被夺身份汇聚为不可定价的终局冲突","VISUAL_FAMILY_LOCKED","true","false","false"
"BA-VIS-MATERIAL-01","MATERIAL_NARRATIVE","bone_aspect","骨瓷","material.bone_aspect.bone_porcelain","叙事含义：被加工、被替换的身份；主要使用范围：第一章、第四章","MATERIAL_LANGUAGE_LOCKED","true","false","false"
"BA-VIS-MATERIAL-02","MATERIAL_NARRATIVE","bone_aspect","契纸","material.bone_aspect.contract_paper","叙事含义：交易、定价、身份契约；主要使用范围：第二章、第四章","MATERIAL_LANGUAGE_LOCKED","true","false","false"
"BA-VIS-MATERIAL-03","MATERIAL_NARRATIVE","bone_aspect","阵石","material.bone_aspect.array_stone","叙事含义：明箓山规则、旧阵与资格；主要使用范围：第三章","MATERIAL_LANGUAGE_LOCKED","true","false","false"
"BA-VIS-MATERIAL-04","MATERIAL_NARRATIVE","bone_aspect","朱砂骨纹","material.bone_aspect.cinnabar_bone_pattern","叙事含义：骨相被书写与控制；主要使用范围：全版本","MATERIAL_LANGUAGE_LOCKED","true","false","false"
"BA-VIS-MATERIAL-05","MATERIAL_NARRATIVE","bone_aspect","身份叠影","material.bone_aspect.identity_overlay","叙事含义：可能成为的错误人生；主要使用范围：第二章、第三章、第四章","MATERIAL_LANGUAGE_LOCKED","true","false","false"
