contract,field,playerVisible,developerOnly,source,notes
BattleStartRequest,requestId,false,false,adapter,Correlation id only.
BattleStartRequest,chapterId / stageId / roundId,false,false,V0.3 route / round config,Read-only stage identity.
BattleStartRequest,enemyProfileId / bossProfileId,false,true,V0.3 round config,Raw profile ids are not player-facing.
BattleStartRequest,formalFlow / devOnly,false,true,adapter,Boundary flags.
BattleLayoutSnapshot,boardId / gridWidth / gridHeight,false,false,V0.3 or V0.4 layout source,Neutral board identity.
BattleLayoutSnapshot,placedItems,true,false,V0.3 loadout / V0.4 layout,Player may inspect placed item visuals.
BattleLayoutSnapshot,formationEyes / energySources,true,false,FormationEnergyContract,Player may inspect readable energy state.
BattleLayoutSnapshot,energyDiagnostics / validationWarnings,false,true,adapter validator,Diagnostics only.
BattleItemSnapshot,displayName / shapeId / occupiedCells,true,false,loadout or BuildSandbox snapshot,Visual item result.
BattleItemSnapshot,itemStats,true,false,V0.3 computed stats / V0.4 itemStat,Readable combat stat summary.
BattleItemSnapshot,runtimeId / sourceDataPath / fullRolls,false,true,source snapshots,Internal provenance and answer-layer data.
BattleEnemySnapshot,hp / shield / attackDamage / castProgress,true,false,enemy runtime or sandbox preview,Readable enemy state.
BattleEnemySnapshot,validationTargetBuilds / exactWeaknessTiming,false,true,devOnly pools,Answer-layer diagnostics.
BuildEvaluationSnapshot,activeSynergies / readinessSummary,true,false,BuildEvaluationResult,Player-safe build summary.
BuildEvaluationSnapshot,hardSolutionTags / required* / dropBiasWeights,false,true,BuildSandbox problem data,Dev-only answer layer.
BattleResultSnapshot,resultType / win / lose / nextRouteHint,true,false,runtime loop preview,Result presentation data.
BattleResultSnapshot,shouldWriteSave / shouldGrantReward / rewardClaimToken,false,true,result mapper,Commit policy stays formal-flow owned.
